id,nom,latitude,longitude
1009b,Jonquilles,44.85589,-0.48649
3622b,Pinel,44.82414,-0.52135
51b,Martouret,44.83666,-0.5115
2739b,Ecole Jean Cordier,44.81498,-0.62061
294b,Thouars,44.79203,-0.59141
181b,Puyo,44.89826,-0.74645
1467b,Hontane,44.91539,-0.67763
820b,Fontaudin,44.85007,-0.49393
5889b,Eglise de Caudéran,44.85289,-0.61458
608b,Pelleport,44.82078,-0.56587
2250b,Fayzeau,44.82538,-0.48062
535b,Paulin de Nole,44.95487,-0.49842
2041b,Treytins,44.87935,-0.63454
326b,AFPA Pessac,44.79011,-0.6498
3420b,Lycée du Bâtiment,44.91112,-0.61941
3621b,Plateaux,44.82835,-0.52323
3352b,Orphelins,44.79736,-0.56854
3623b,Pinel,44.82565,-0.52159
1008b,U.C.B.B,44.91702,-0.54292
4039b,Lauriers (station Tram),44.87895,-0.51808
293b,Radio,44.78475,-0.68366
52b,Roux,44.87458,-0.69776
2577b,Beutre Antenne Sociale,44.8164,-0.70083
180b,France,44.79415,-0.6706
1466b,Vallon,44.8212,-0.62516
5887b,Tassigny,44.85655,-0.61359
5280b,Cazalet,44.79949,-0.66943
5888b,Eglise de Caudéran,44.85155,-0.61434
1465b,Saint-Romain,44.8492,-0.52787
327b,Les Jalles,44.89565,-0.63908
2042b,Courtefesse,44.94984,-0.51185
2576b,Allée de Curé,44.91134,-0.68428
686b,Vélodrome,44.85823,-0.60547
534b,Peyronnet,44.82797,-0.56016
3353b,A N P E,44.7895,-0.56477
1007b,Boncour,44.81301,-0.6648
296b,Pagneau,44.81417,-0.70029
5886b,Tassigny,44.85481,-0.61415
2737b,Pont de l'Orient,44.80561,-0.64854
606b,Chantiers de la Garonne,44.85934,-0.54416
5281b,Cazalet,44.79944,-0.6692
328b,Mermoz,44.86524,-0.66548
3354b,Orphelins,44.79633,-0.56821
1099b,Malbec,44.82324,-0.56584
687b,La Forêt,44.86262,-0.64914
4037b,Mairie de Cenon,44.85614,-0.53227
182b,Mahéla,44.82266,-0.6048
50b,Avenue du Haut-Lévêque,44.79088,-0.65645
1006b,Beauséjour,44.8011,-0.68448
5885b,Avenue d'Eysines,44.86007,-0.61266
2738b,Cimetière,44.81082,-0.62524
821b,Bleuets,44.85692,-0.63605
605b,Gelès,44.88999,-0.74283
758b,Tristan,44.89843,-0.71037
532b,Labatut,44.83527,-0.6327
3620b,Plateaux,44.82827,-0.52342
688b,Président Wilson,44.83935,-0.63323
3355b,Kosma,44.79268,-0.56066
2953b,Cimetière d'Eysines,44.88492,-0.65627
5884b,Avenue d'Eysines,44.8596,-0.61288
4036b,Curie,44.862,-0.53191
1005b,Liberté,44.80775,-0.55317
3960b,Malagène,44.90717,-0.63608
6383b,Jardin Botanique,44.8425,-0.55594
3356b,Cimetière de Saint-Médard,44.89541,-0.7261
531b,Saint-Romain,44.84927,-0.52785
689b,Montherlant,44.79491,-0.5808
322b,Privat,44.82484,-0.59903
1093b,Petit Lacanau,44.93296,-0.62036
6456b,Rue du Manoir,44.88656,-0.5197
5883b,Cardinal Lecot,44.912,-0.64881
2954b,Le Vigean (Centre Commercial),44.88284,-0.63103
210b,Dumont,44.88331,-0.64793
4035b,Curie,44.86229,-0.53153
297b,Lewis-Brown,44.86326,-0.56106
3358b,De Lattre de Tassigny,44.90489,-0.62589
3961b,Lycée du Bâtiment (Entrée),44.91228,-0.61971
1910b,Labourets,44.91848,-0.51744
6382b,Stalingrad,44.83957,-0.55984
3357b,Lestage,44.87433,-0.69544
756b,Bibliothèque,44.80518,-0.54313
323b,Sévène,44.8052,-0.58037
6395b,République,44.89489,-0.71404
1094b,Pêcheurs,44.83429,-0.59891
6455b,Rue du Manoir,44.88661,-0.51978
1461b,Avenue Ausone,44.8705,-0.59243
5882b,Cardinal Lecot,44.91193,-0.64869
