arret_id,ligne_id,direction_id,sequence,macro_direction
5235,59,7,5,0
5234,59,14,30,0
3723,59,7,15,0
5233,59,7,6,0
5232,59,14,29,0
3722,59,14,20,0
3721,59,7,16,0
5231,59,7,7,0
5230,59,14,28,0
3720,59,14,19,0
3684,59,7,32,0
5488,59,14,4,0
5131,59,7,26,0
5229,59,7,8,0
5130,59,14,9,0
5444,59,7,34,0
5443,59,14,2,0
5228,59,14,27,0
5442,59,14,3,0
5441,59,7,33,0
5445,59,14,1,0
3712,59,14,15,0
3711,59,7,21,0
3714,59,14,16,0
3713,59,7,20,0
3710,59,14,14,0
4589,59,14,26,0
3719,59,7,17,0
3690,59,7,29,0
4588,59,7,10,0
4587,59,14,25,0
3691,59,14,7,0
3716,59,14,17,0
3692,59,7,28,0
3715,59,7,19,0
3693,59,7,31,0
3718,59,14,18,0
3694,59,14,5,0
3717,59,7,18,0
3695,59,7,30,0
3686,59,7,31,0
3685,59,14,5,0
3688,59,7,30,0
4590,59,7,9,0
3687,59,14,6,0
3689,59,14,7,0
5214,59,14,3,0
5215,59,14,2,0
5216,59,7,33,0
5217,59,14,1,0
3706,59,14,12,0
3707,59,7,23,0
3704,59,14,11,0
3705,59,7,24,0
3708,59,14,13,0
3709,59,7,22,0
5212,59,14,4,0
3702,59,14,10,0
3703,59,7,25,0
5213,59,7,32,0
4579,59,14,21,0
4583,59,14,23,0
4584,59,7,12,0
4585,59,14,24,0
4586,59,7,11,0
3699,59,7,27,0
4580,59,7,14,0
3698,59,14,8,0
4581,59,14,22,0
3697,59,7,29,0
4582,59,7,13,0
3696,59,14,6,0
5240,59,14,33,0
5242,59,7,1,0
5241,59,7,2,0
5236,59,14,31,0
5237,59,7,4,0
5238,59,14,32,0
5239,59,7,3,0
3725,60,29,4,0
3724,60,18,29,0
5259,60,29,26,0
5258,60,18,6,0
5535,60,18,1,0
3729,60,29,6,0
3728,60,18,27,0
5533,60,18,2,0
3727,60,29,5,0
3726,60,18,28,0
5260,60,18,5,0
5261,60,29,27,0
5253,60,29,23,0
3743,60,29,12,0
3742,60,18,21,0
5252,60,18,9,0
3741,60,29,11,0
3740,60,18,22,0
5257,60,29,25,0
3747,60,29,14,0
3746,60,18,19,0
5256,60,18,7,0
5255,60,29,24,0
3745,60,29,13,0
3744,60,18,20,0
5254,60,18,8,0
3749,60,29,15,0
3748,60,18,18,0
3761,60,29,21,0
3760,60,18,12,0
3753,60,18,15,0
3754,60,29,17,0
3751,60,29,16,0
3752,60,18,16,0
3757,60,29,19,0
3758,60,18,13,0
3755,60,29,18,0
3756,60,18,14,0
3759,60,29,20,0
5247,60,29,1,0
3750,60,18,17,0
3730,60,18,26,0
3734,60,18,25,0
5244,60,29,3,0
3733,60,29,7,0
3736,60,18,24,0
5246,60,18,30,0
5245,60,29,2,0
3735,60,29,8,0
3738,60,18,23,0
3737,60,29,9,0
3739,60,29,10,0
5531,60,18,3,0
5532,60,29,30,0
5530,60,29,29,0
3762,60,18,11,0
3763,60,29,22,0
3764,60,18,10,0
5529,60,18,4,0
5528,60,29,28,0
5436,61,8,16,0
5437,61,11,2,0
5434,61,11,3,0
5435,61,8,15,0
5415,61,8,1,0
5412,61,11,16,0
5438,61,11,1,0
5400,61,11,14,0
5413,61,8,2,0
3775,61,8,9,0
3776,61,11,10,0
3773,61,8,10,0
3774,61,11,9,0
3770,61,11,7,0
3772,61,11,8,0
3771,61,8,11,0
5394,61,11,11,0
5395,61,8,7,0
5396,61,11,12,0
3765,61,11,4,0
5397,61,8,6,0
3766,61,11,5,0
5398,61,11,13,0
3767,61,8,13,0
5399,61,8,5,0
3768,61,11,6,0
3769,61,8,12,0
5404,61,8,8,0
5403,61,8,3,0
5402,61,11,15,0
5433,61,8,14,0
5401,61,8,4,0
830b,01,44,24,0
346b,01,24,2,0
279b,01,24,30,0
5623b,01,24,7,0
2454b,01,44,12,0
146b,01,44,14,0
1223b,01,44,22,0
3347b,01,24,10,0
6408b,01,24,12,0
2259b,01,24,3,0
5274b,01,24,6,0
5624b,01,24,11,0
773b,01,44,8,0
1747b,01,44,25,0
644b,01,24,24,0
1165b,01,24,13,0
5622b,01,44,26,0
2469b,01,24,27,0
1456b,01,44,19,0
722b,01,24,25,0
3647b,01,24,34,0
467b,01,44,32,0
5690b,01,44,23,0
1253b,01,24,20,0
1074b,01,44,3,0
2453b,01,44,11,0
5273b,01,44,28,0
1332b,01,44,7,0
4058b,01,44,1,0
2468b,01,24,26,0
778b,01,44,18,0
725b,01,24,18,0
2466b,01,24,17,0
2273b,01,24,14,0
735b,01,44,6,0
2095b,01,44,10,0
2267b,01,24,4,0
1610b,01,44,9,0
1929b,01,24,29,0
8b,01,24,8,0
1700b,01,24,19,0
2467b,01,24,23,0
3648b,01,44,2,0
1695b,01,44,30,0
90b,01,44,15,0
5677b,01,24,9,0
601b,01,24,21,0
1410b,01,44,5,0
730b,01,24,22,0
159b,01,24,16,0
1697b,01,44,29,0
2255b,01,24,5,0
2455b,01,44,16,0
162b,01,44,20,0
4577b,01,24,31,0
40b,01,44,4,0
299b,01,44,13,0
2945b,01,24,1,0
3560b,01,24,33,0
5271b,01,44,27,0
2470b,01,24,28,0
2456b,01,44,21,0
1696b,01,44,31,0
1234b,01,24,15,0
688b,01,44,17,0
6447b,01,24,32,0
3163b,02,3,23,0
2412b,02,3,7,0
1808b,02,3,11,0
3157b,02,3,12,0
246b,02,24,11,0
1737b,02,24,4,0
2639b,02,24,9,0
6403b,02,24,1,0
1565b,02,24,8,0
2934b,02,24,5,0
1792b,02,24,21,0
3167b,02,24,9,0
242b,02,3,17,0
3307b,02,3,24,0
2545b,02,3,29,0
2974b,02,24,18,0
2983b,02,24,2,0
2411b,02,3,4,0
3500b,02,3,8,0
3325b,02,24,4,0
3647b,02,24,26,0
218b,02,3,15,0
2972b,02,24,19,0
1632b,02,24,5,0
457b,02,24,13,0
210b,02,3,34,0
833b,02,24,3,0
2933b,02,3,31,0
3572b,02,3,35,0
1919b,02,24,6,0
1074b,02,3,3,0
2423b,02,24,23,0
2511b,02,24,10,0
235b,02,24,2,0
2422b,02,24,22,0
4690b,02,3,1,0
1263b,02,3,13,0
591b,02,3,6,0
2973b,02,3,9,0
1589b,02,3,27,0
1943b,02,3,5,0
367b,02,24,8,0
221b,02,24,20,0
2986b,02,24,1,0
286b,02,24,10,0
2936b,02,3,33,0
348b,02,24,7,0
2981b,02,3,30,0
3170b,02,24,15,0
3169b,02,24,14,0
3319b,02,3,25,0
755b,02,3,20,0
3160b,02,3,18,0
2976b,02,24,17,0
3648b,02,3,2,0
3159b,02,3,16,0
375b,02,3,21,0
2935b,02,24,3,0
3171b,02,24,16,0
3168b,02,24,12,0
997b,02,3,19,0
821b,02,24,7,0
3560b,02,24,25,0
3161b,02,3,22,0
3025b,02,3,10,0
202b,02,3,32,0
2278b,02,24,6,0
2910b,02,3,26,0
3336b,02,3,28,0
3158b,02,3,14,0
6447b,02,24,24,0
14b,03,24,24,0
3039b,03,24,18,0
919b,03,16,12,0
3312b,03,16,25,0
3030b,03,16,32,0
1550b,03,24,5,0
181b,03,24,9,0
2998b,03,24,29,0
1130b,03,24,8,0
72b,03,16,18,0
213b,03,16,45,0
1777b,03,16,30,0
3058b,03,24,2,0
2978b,03,24,43,0
3048b,03,24,11,0
3038b,03,16,39,0
13b,03,24,12,0
31b,03,24,14,0
3500b,03,16,8,0
3040b,03,16,40,0
3050b,03,16,51,0
1284b,03,16,29,0
2481b,03,24,21,0
5325b,03,16,50,0
3027b,03,16,26,0
2977b,03,24,45,0
573b,03,16,45,0
3057b,03,16,56,0
2982b,03,24,38,0
1051b,03,16,28,0
3047b,03,16,47,0
5315b,03,16,1,0
3037b,03,24,19,0
4950b,03,24,6,0
462b,03,16,31,0
1355b,03,24,23,0
3032b,03,24,22,0
3051b,03,24,7,0
1590b,03,16,49,0
3026b,03,24,42,0
1059b,03,16,27,0
996b,03,24,5,0
2976b,03,24,47,0
5326b,03,24,3,0
3648b,03,16,2,0
3046b,03,16,43,0
328b,03,24,32,0
1065b,03,24,46,0
687b,03,16,21,0
739b,03,24,30,0
1149b,03,16,44,0
2908b,03,16,16,0
3066b,03,16,49,0
1000b,03,16,57,0
3052b,03,16,52,0
3031b,03,24,25,0
3059b,03,24,9,0
372b,03,24,34,0
2975b,03,16,11,0
3025b,03,16,10,0
3045b,03,24,15,0
2965b,03,24,10,0
2900b,03,24,7,0
873b,03,24,41,0
6447b,03,24,54,0
2412b,03,16,7,0
546b,03,16,22,0
3034b,03,16,37,0
1317b,03,24,36,0
376b,03,24,28,0
2988b,03,24,37,0
1792b,03,24,51,0
988b,03,16,13,0
1104b,03,16,48,0
2848b,03,16,44,0
3044b,03,24,16,0
2974b,03,24,48,0
