id,lundi,mardi,mercredi,jeudi,vendredi,samedi,dimanche,dateDebut,dateFin
110,1,1,1,0,0,0,0,20170724,20170830
111,1,1,1,1,1,0,0,20170724,20170901
112,0,0,0,0,0,1,0,20170729,20170826
113,0,0,0,0,0,1,0,20170729,20170826
114,0,0,0,0,0,1,0,20170729,20170826
115,0,0,0,1,1,0,0,20170727,20170901
116,0,0,0,0,0,1,0,20170729,20170826
117,1,1,1,0,0,0,0,20170724,20170830
118,1,1,1,1,1,0,0,20170724,20170901
119,0,0,0,1,1,0,0,20170831,20170901
10,0,0,0,1,1,0,0,20170727,20170825
11,1,1,1,1,1,0,0,20170724,20170901
12,0,0,0,1,1,0,0,20170831,20170901
13,0,0,0,0,1,0,0,20170724,20170901
14,0,0,0,0,0,0,1,20170730,20170827
15,0,0,0,0,0,0,1,20170730,20170827
16,1,1,1,0,0,0,0,20170724,20170823
17,1,1,1,1,1,0,0,20170724,20170901
18,1,1,1,1,1,0,0,20170724,20170901
19,1,1,1,1,1,0,0,20170724,20170901
120,1,1,1,1,1,0,0,20170724,20170901
121,0,0,0,1,1,0,0,20170803,20170818
1,0,0,0,0,0,1,0,20170729,20170826
122,0,0,0,0,0,0,1,20170806,20170806
2,0,0,0,0,0,1,0,20170729,20170826
123,0,0,0,0,0,0,1,20170730,20170827
3,1,1,1,1,1,0,0,20170724,20170901
124,1,1,1,1,1,0,0,20170724,20170901
4,0,0,0,0,0,1,0,20170729,20170826
125,1,1,1,1,1,0,0,20170724,20170728
5,0,0,0,1,1,0,0,20170727,20170825
126,1,1,1,1,1,0,0,20170731,20170901
6,1,1,1,0,0,0,0,20170731,20170816
127,1,1,1,0,0,0,0,20170724,20170830
7,0,0,0,0,0,1,0,20170729,20170826
128,0,0,0,1,1,0,0,20170727,20170901
8,0,0,0,0,0,1,0,20170729,20170826
129,1,1,1,1,0,0,0,20170724,20170901
9,0,0,0,1,1,0,0,20170831,20170901
20,0,0,0,0,0,1,0,20170729,20170826
21,0,0,0,0,0,1,0,20170729,20170826
22,0,0,0,0,0,1,0,20170729,20170826
23,0,0,0,0,0,1,0,20170729,20170826
24,0,0,0,0,0,0,1,20170730,20170827
25,0,0,0,0,1,0,0,20170724,20170901
26,0,0,0,0,0,1,0,20170729,20170826
27,1,1,1,0,0,0,0,20170801,20170809
28,1,1,1,1,1,0,0,20170724,20170901
29,0,0,0,0,0,0,1,20170730,20170827
130,0,0,0,0,0,0,1,20170730,20170827
131,0,0,0,1,1,0,0,20170803,20170818
132,1,1,1,0,0,0,0,20170724,20170830
133,0,0,0,1,1,0,0,20170727,20170901
134,0,0,0,0,0,0,1,20170730,20170827
135,0,0,0,1,1,0,0,20170727,20170901
136,1,1,1,1,1,0,0,20170724,20170901
137,0,0,0,1,1,0,0,20170727,20170901
138,1,1,1,0,0,0,0,20170731,20170816
139,1,1,1,0,0,0,0,20170828,20170830
30,1,1,1,0,0,0,0,20170828,20170830
31,1,1,1,0,0,0,0,20170731,20170816
32,1,1,1,0,0,0,0,20170724,20170823
33,0,0,0,0,0,0,1,20170730,20170827
34,0,0,0,1,1,0,0,20170727,20170825
35,0,0,0,1,1,0,0,20170727,20170901
36,0,0,0,1,1,0,0,20170803,20170818
37,0,0,0,0,0,0,1,20170730,20170827
38,0,0,0,1,1,0,0,20170727,20170825
39,0,0,0,1,1,0,0,20170831,20170901
140,1,1,1,0,0,0,0,20170828,20170830
141,1,1,1,0,0,0,0,20170724,20170823
142,0,0,0,0,0,1,0,20170729,20170826
143,1,1,1,1,1,0,0,20170724,20170901
144,1,1,1,0,0,0,0,20170828,20170830
145,0,0,0,1,1,0,0,20170727,20170901
146,1,1,1,1,1,0,0,20170724,20170901
147,0,0,0,0,0,0,1,20170730,20170827
148,1,1,1,0,0,0,0,20170724,20170823
149,1,1,1,1,1,0,0,20170724,20170901
40,0,0,0,0,0,0,1,20170730,20170827
41,1,1,1,0,0,0,0,20170828,20170830
42,0,0,0,0,0,1,0,20170729,20170826
43,0,0,0,1,1,0,0,20170727,20170825
44,0,0,0,0,0,0,1,20170730,20170827
45,0,0,0,0,0,1,0,20170729,20170826
46,0,0,0,1,1,0,0,20170831,20170901
47,1,1,1,1,1,0,0,20170724,20170901
48,0,0,0,0,0,1,0,20170729,20170826
49,0,0,0,1,1,0,0,20170831,20170901
150,1,1,1,0,0,0,0,20170828,20170830
151,0,0,0,0,0,0,1,20170730,20170827
152,1,1,1,1,1,0,0,20170724,20170901
153,0,0,0,1,1,0,0,20170831,20170901
154,1,1,1,1,1,0,0,20170724,20170901
155,1,1,1,1,1,0,0,20170724,20170901
156,0,0,0,0,0,0,1,20170730,20170827
157,1,1,1,0,0,0,0,20170724,20170823
158,1,1,1,1,1,0,0,20170724,20170901
159,0,0,0,1,1,0,0,20170831,20170901
50,0,0,0,0,0,0,1,20170730,20170827
51,0,0,0,1,1,0,0,20170727,20170825
52,1,1,1,0,0,0,0,20170724,20170823
53,0,0,0,1,1,0,0,20170727,20170825
54,1,1,1,0,0,0,0,20170724,20170823
55,1,1,1,0,0,0,0,20170724,20170830
56,1,1,1,1,1,0,0,20170724,20170901
57,1,1,1,1,1,0,0,20170724,20170901
58,0,0,0,0,0,1,0,20170729,20170826
59,1,1,1,1,0,0,0,20170724,20170901
160,0,0,0,0,0,1,0,20170729,20170826
161,0,0,0,0,0,1,0,20170729,20170826
162,0,0,0,0,0,0,1,20170730,20170827
163,0,0,0,0,0,1,0,20170729,20170826
164,1,1,1,0,0,0,0,20170724,20170823
165,0,0,0,0,0,1,0,20170729,20170826
166,0,0,0,0,0,1,0,20170729,20170826
167,0,0,0,0,0,1,0,20170729,20170826
168,0,0,0,0,0,1,0,20170812,20170819
169,0,0,0,0,0,1,0,20170805,20170805
60,0,0,0,0,0,1,0,20170729,20170826
61,0,0,0,0,0,1,0,20170729,20170826
62,0,0,0,0,0,0,1,20170730,20170827
63,1,1,1,1,1,0,0,20170724,20170901
64,0,0,0,0,0,1,0,20170729,20170826
65,0,0,0,0,0,1,0,20170729,20170826
66,1,1,1,1,1,0,0,20170724,20170901
67,0,0,0,0,0,1,0,20170729,20170826
68,0,0,0,0,0,0,1,20170806,20170806
69,1,1,1,0,0,0,0,20170828,20170830
170,0,0,0,0,0,1,0,20170729,20170826
171,0,0,0,1,1,0,0,20170727,20170901
172,0,0,0,0,0,0,1,20170730,20170827
173,0,0,0,0,0,1,0,20170729,20170826
174,0,0,0,0,0,0,1,20170730,20170827
175,1,1,1,1,1,0,0,20170724,20170901
176,1,1,1,1,1,0,0,20170724,20170901
177,0,0,0,0,0,0,1,20170815,20170815
178,0,0,0,0,0,0,1,20170730,20170827
179,0,0,0,1,1,0,0,20170831,20170901
70,0,0,0,0,0,0,1,20170815,20170815
71,1,1,1,1,1,0,0,20170724,20170901
72,1,1,1,1,1,0,0,20170724,20170901
73,0,0,0,1,1,0,0,20170727,20170901
74,0,0,0,0,0,0,1,20170730,20170827
75,1,1,1,1,1,0,0,20170724,20170901
76,0,0,0,0,0,1,0,20170729,20170826
77,1,1,1,1,1,0,0,20170724,20170901
78,0,0,0,1,1,0,0,20170728,20170825
79,0,0,0,0,0,1,0,20170729,20170826
180,0,0,0,0,0,1,0,20170729,20170826
181,0,0,0,1,1,0,0,20170831,20170901
182,0,0,0,1,1,0,0,20170727,20170825
183,0,0,0,0,0,0,1,20170730,20170827
184,0,0,0,0,0,1,0,20170729,20170826
185,1,1,1,0,0,0,0,20170828,20170830
186,0,0,0,1,1,0,0,20170727,20170825
187,1,1,1,1,1,0,0,20170724,20170901
188,0,0,0,0,0,1,0,20170729,20170826
189,0,0,0,0,0,0,1,20170730,20170827
80,0,0,0,0,0,0,1,20170730,20170827
81,0,0,0,0,0,0,1,20170730,20170827
82,0,0,0,1,1,0,0,20170803,20170818
83,0,0,0,0,0,1,0,20170729,20170826
84,0,0,0,0,0,0,1,20170730,20170827
85,0,0,0,0,0,0,1,20170815,20170815
86,0,0,0,0,0,0,1,20170730,20170827
87,1,1,1,1,1,0,0,20170724,20170901
88,0,0,0,0,0,0,1,20170730,20170827
89,1,1,1,0,0,0,0,20170724,20170830
190,0,0,0,1,1,0,0,20170727,20170825
191,0,0,0,0,0,1,0,20170729,20170826
192,0,0,0,1,1,0,0,20170831,20170901
193,0,0,0,1,1,0,0,20170831,20170901
194,0,0,0,1,1,0,0,20170831,20170901
195,0,0,0,1,1,0,0,20170831,20170901
196,0,0,0,1,1,0,0,20170727,20170825
197,1,1,1,1,1,0,0,20170727,20170727
198,0,0,0,1,1,0,0,20170727,20170901
199,0,0,0,1,1,0,0,20170727,20170901
90,0,0,0,1,1,0,0,20170803,20170818
91,0,0,0,1,1,0,0,20170804,20170804
92,0,0,0,1,1,0,0,20170727,20170727
93,0,0,0,1,1,0,0,20170727,20170825
94,0,0,0,0,0,1,0,20170729,20170826
95,0,0,0,0,0,1,0,20170729,20170826
96,0,0,0,0,0,0,1,20170730,20170827
97,0,0,0,0,0,1,0,20170729,20170826
98,0,0,0,0,0,0,1,20170730,20170827
99,1,1,1,1,1,0,0,20170724,20170901
200,0,0,0,1,1,0,0,20170727,20170825
201,1,1,1,1,1,0,0,20170724,20170901
100,0,0,0,0,0,1,0,20170729,20170826
101,1,1,1,1,1,0,0,20170724,20170901
102,0,0,0,0,0,0,1,20170730,20170827
103,0,0,0,1,1,0,0,20170831,20170901
104,0,0,0,1,1,0,0,20170727,20170825
105,0,0,0,1,1,0,0,20170727,20170901
106,0,0,0,0,0,1,0,20170729,20170826
107,0,0,0,0,0,1,0,20170729,20170826
108,0,0,0,0,0,1,0,20170729,20170826
109,1,1,1,1,1,0,0,20170724,20170901
