arret_id,trajet_id,heure_depart,stop_sequence,terminus
5626b,22521,970,1,0
5625b,22521,970,2,0
5326b,22521,971,3,0
3835b,22521,972,4,0
996b,22521,973,5,0
4217b,22521,974,6,0
2900b,22521,975,7,0
1130b,22521,975,8,0
3059b,22521,976,9,0
3044b,22521,977,10,0
3041b,22521,977,11,0
3039b,22521,978,12,0
3037b,22521,978,13,0
3035b,22521,979,14,0
2481b,22521,980,15,0
3032b,22521,980,16,0
1355b,22521,981,17,0
14b,22521,982,18,0
3031b,22521,983,19,0
2447b,22521,984,20,0
3324b,22521,985,21,0
376b,22521,986,22,0
2998b,22521,987,23,0
739b,22521,987,24,0
2579b,22521,988,25,0
328b,22521,988,26,0
2991b,22521,989,27,0
372b,22521,990,28,0
2989b,22521,990,29,0
1317b,22521,991,30,0
2988b,22521,992,31,0
2982b,22521,993,32,0
1761b,22521,994,33,0
2980b,22521,994,34,0
873b,22521,995,35,0
3026b,22521,996,36,0
2978b,22521,998,37,0
1760b,22521,998,38,0
2977b,22521,1000,39,0
1065b,22521,1001,40,0
2976b,22521,1003,41,0
2974b,22521,1003,42,0
2972b,22521,1005,43,0
221b,22521,1006,44,0
1792b,22521,1007,45,0
2422b,22521,1008,46,0
2423b,22521,1009,47,0
3278b,22521,1011,48,0
3560b,22521,1014,49,0
3647b,22521,1017,50,0
5315b,22521,1019,51,1
5626b,35789,468,1,0
5625b,35789,468,2,0
5326b,35789,469,3,0
3835b,35789,470,4,0
996b,35789,471,5,0
4217b,35789,472,6,0
2900b,35789,472,7,0
1130b,35789,473,8,0
3059b,35789,473,9,0
3044b,35789,474,10,0
3041b,35789,474,11,0
3039b,35789,475,12,0
3037b,35789,475,13,0
3035b,35789,476,14,0
2481b,35789,477,15,0
3032b,35789,477,16,0
1355b,35789,478,17,0
14b,35789,479,18,0
3031b,35789,480,19,0
2447b,35789,481,20,0
3324b,35789,481,21,0
376b,35789,482,22,0
2998b,35789,483,23,0
739b,35789,483,24,0
2579b,35789,484,25,0
328b,35789,484,26,0
2991b,35789,485,27,0
372b,35789,486,28,0
2989b,35789,486,29,0
1317b,35789,487,30,0
2988b,35789,488,31,0
2982b,35789,489,32,0
1761b,35789,489,33,0
2980b,35789,490,34,0
873b,35789,491,35,0
3026b,35789,491,36,0
2978b,35789,493,37,0
1760b,35789,493,38,0
2977b,35789,494,39,0
1065b,35789,495,40,0
2976b,35789,497,41,0
2974b,35789,498,42,0
2972b,35789,501,43,0
221b,35789,502,44,0
1792b,35789,504,45,0
2422b,35789,505,46,0
2423b,35789,507,47,0
3278b,35789,509,48,0
3560b,35789,511,49,0
3647b,35789,514,50,0
5315b,35789,516,51,1
3270b,35777,1275,1,0
3045b,35777,1277,2,0
3044b,35777,1279,3,0
3041b,35777,1279,4,0
3039b,35777,1280,5,0
3037b,35777,1280,6,0
3035b,35777,1281,7,0
2481b,35777,1282,8,0
3032b,35777,1282,9,0
1355b,35777,1283,10,0
14b,35777,1283,11,0
3031b,35777,1284,12,0
2447b,35777,1285,13,0
3324b,35777,1286,14,0
376b,35777,1287,15,0
2998b,35777,1288,16,0
739b,35777,1288,17,0
2579b,35777,1289,18,0
328b,35777,1289,19,0
2991b,35777,1290,20,0
372b,35777,1291,21,0
2989b,35777,1291,22,0
1317b,35777,1292,23,0
2988b,35777,1293,24,0
2982b,35777,1294,25,0
1761b,35777,1294,26,0
2980b,35777,1295,27,0
873b,35777,1296,28,0
3026b,35777,1296,29,0
2978b,35777,1298,30,0
1760b,35777,1298,31,0
2977b,35777,1299,32,0
1065b,35777,1300,33,0
2976b,35777,1302,34,0
2974b,35777,1302,35,0
2972b,35777,1304,36,0
221b,35777,1305,37,0
1792b,35777,1306,38,0
2422b,35777,1307,39,0
2423b,35777,1308,40,0
3278b,35777,1310,41,0
3560b,35777,1312,42,0
3647b,35777,1315,43,0
5315b,35777,1317,44,1
5626b,22499,440,1,0
5625b,22499,440,2,0
5326b,22499,441,3,0
3835b,22499,442,4,0
996b,22499,443,5,0
4217b,22499,444,6,0
2900b,22499,444,7,0
1130b,22499,445,8,0
3059b,22499,445,9,0
3044b,22499,446,10,0
