arret_id,trajet_id,heure_depart,stop_sequence,terminus
2762b,7702,1036,28,0
2763b,7702,1037,29,0
1974b,7702,1038,30,0
1040b,7702,1039,31,0
5524b,7702,1039,32,0
2764b,7702,1040,33,0
1713b,7702,1041,34,0
2765b,7702,1042,35,0
1131b,7702,1043,36,0
1197b,7702,1044,37,0
2766b,7702,1045,38,0
180b,7702,1046,39,0
1499b,7702,1046,40,0
2824b,7702,1047,41,0
772b,7702,1048,42,0
2559b,7702,1049,43,0
524b,7702,1050,44,0
1298b,7702,1050,45,0
2850b,7702,1051,46,0
2852b,7702,1052,47,0
5653b,7702,1053,48,0
1270b,7702,1054,49,0
2768b,7702,1055,50,0
4770b,7702,1056,51,0
4772b,7702,1057,52,0
2810b,7702,1058,53,0
2811b,7702,1060,54,0
2813b,7702,1062,55,1
2813b,25273,875,1,0
2809b,25273,875,2,0
2818b,25273,875,3,0
2819b,25273,876,4,0
4771b,25273,876,5,0
2734b,25273,876,6,0
293b,25273,877,7,0
2821b,25273,878,8,0
5290b,25273,879,9,0
954b,25273,879,10,0
1341b,25273,879,11,0
1006b,25273,880,12,0
2567b,25273,881,13,0
633b,25273,882,14,0
2817b,25273,882,15,0
514b,25273,883,16,0
109b,25273,884,17,0
2782b,25273,884,18,0
1238b,25273,885,19,0
2783b,25273,885,20,0
2784b,25273,886,21,0
2785b,25273,887,22,0
2786b,25273,888,23,0
5525b,25273,888,24,0
1339b,25273,889,25,0
2787b,25273,889,26,0
2788b,25273,891,27,0
1309b,25273,891,28,0
2789b,25273,892,29,0
2790b,25273,892,30,0
1358b,25273,893,31,0
2791b,25273,893,32,0
1140b,25273,894,33,0
2792b,25273,894,34,0
693b,25273,895,35,0
2434b,25273,896,36,0
1252b,25273,897,37,0
1077b,25273,898,38,0
2830b,25273,900,39,0
2740b,25273,902,40,0
2741b,25273,903,41,0
2742b,25273,904,42,0
2743b,25273,905,43,0
391b,25273,906,44,0
3547b,25273,911,45,0
3858b,25273,912,46,0
3216b,25273,914,47,0
17b,25273,916,48,0
3558b,25273,918,49,0
3559b,25273,919,50,0
1971b,25273,921,51,0
922b,25273,922,52,0
951b,25273,923,53,0
3250b,25273,923,54,0
2333b,25273,924,55,0
208b,25273,926,56,0
297b,25273,926,57,0
2446b,25273,928,58,0
2621b,25273,929,59,1
2813b,36519,810,1,0
2809b,36519,810,2,0
2818b,36519,810,3,0
2819b,36519,811,4,0
4771b,36519,811,5,0
2734b,36519,811,6,0
293b,36519,812,7,0
2821b,36519,813,8,0
5290b,36519,814,9,0
954b,36519,814,10,0
1341b,36519,814,11,0
1006b,36519,815,12,0
2567b,36519,816,13,0
633b,36519,817,14,0
2817b,36519,817,15,0
514b,36519,818,16,0
109b,36519,819,17,0
2782b,36519,819,18,0
1238b,36519,820,19,0
2783b,36519,820,20,0
2784b,36519,821,21,0
