arret_id,trajet_id,heure_depart,stop_sequence,terminus
3823b,10995,1285,1,0
3216b,10995,1286,2,0
3278b,10995,1289,3,0
7731b,10995,1292,4,0
3559b,10995,1293,5,0
7725b,10995,1295,6,0
7726b,10995,1296,7,0
7727b,10995,1297,8,0
5946b,10995,1300,9,0
7728b,10995,1301,10,0
3869b,10995,1303,11,0
382b,10995,1303,12,0
898b,10995,1304,13,0
1325b,10995,1305,14,0
1654b,10995,1305,15,0
342b,10995,1306,16,0
875b,10995,1307,17,0
870b,10995,1307,18,0
913b,10995,1308,19,0
912b,10995,1308,20,0
1215b,10995,1311,21,0
2545b,10995,1311,22,0
2981b,10995,1312,23,0
2933b,10995,1313,24,0
202b,10995,1314,25,0
2936b,10995,1315,26,0
2937b,10995,1316,27,0
658b,10995,1317,28,0
6883b,10995,1317,29,0
41b,10995,1318,30,0
416b,10995,1318,31,0
1066b,10995,1319,32,0
1026b,10995,1319,33,0
2704b,10995,1321,34,0
10b,10995,1322,35,0
848b,10995,1323,36,0
3297b,10995,1324,37,0
2943b,10995,1324,38,0
2600b,10995,1325,39,0
807b,10995,1325,40,0
2576b,10995,1326,41,0
1046b,10995,1326,42,0
1559b,10995,1326,43,0
206b,10995,1327,44,0
2946b,10995,1328,45,0
2947b,10995,1329,46,1
2939b,3,993,1,0
2887b,3,993,2,0
2938b,3,994,3,0
2935b,3,996,4,0
1737b,3,997,5,0
2934b,3,998,6,0
1919b,3,999,7,0
348b,3,1000,8,0
1565b,3,1001,9,0
2546b,3,1003,10,0
126b,3,1005,11,0
157b,3,1006,12,0
598b,3,1006,13,0
561b,3,1007,14,0
214b,3,1008,15,0
284b,3,1009,16,0
686b,3,1010,17,0
673b,3,1011,18,0
691b,3,1012,19,0
1652b,3,1013,20,0
2329b,3,1016,21,0
2642b,3,1018,22,0
1653b,3,1018,23,0
2643b,3,1020,24,0
837b,3,1023,25,0
7729b,3,1025,26,0
7730b,3,1028,27,0
2443b,3,1034,28,0
1692b,3,1038,29,0
2444b,3,1040,30,0
5621b,3,1041,31,0
3823b,3,1046,32,1
2947b,35705,790,1,0
1133b,35705,790,2,0
1278b,35705,791,3,0
2554b,35705,792,4,0
744b,35705,793,5,0
5978b,35705,793,6,0
355b,35705,794,7,0
341b,35705,795,8,0
1478b,35705,796,9,0
2912b,35705,797,10,0
1481b,35705,798,11,0
2944b,35705,799,12,0
3302b,35705,799,13,0
2942b,35705,801,14,0
1157b,35705,802,15,0
1489b,35705,802,16,0
2500b,35705,804,17,0
2940b,35705,805,18,0
1312b,35705,806,19,0
1068b,35705,806,20,0
1421b,35705,807,21,0
5980b,35705,808,22,0
2887b,35705,809,23,0
2938b,35705,809,24,0
2935b,35705,811,25,0
1737b,35705,812,26,0
2934b,35705,813,27,0
1919b,35705,813,28,0
348b,35705,815,29,0
1565b,35705,815,30,0
2546b,35705,817,31,0
126b,35705,819,32,0
157b,35705,820,33,0
598b,35705,820,34,0
561b,35705,821,35,0
214b,35705,822,36,0
284b,35705,823,37,0
686b,35705,824,38,0
673b,35705,825,39,0
691b,35705,826,40,0
1652b,35705,828,41,0
2329b,35705,830,42,0
2642b,35705,833,43,0
1653b,35705,833,44,0
2643b,35705,835,45,0
837b,35705,838,46,0
7729b,35705,840,47,0
7730b,35705,843,48,0
2443b,35705,849,49,0
1692b,35705,853,50,0
2444b,35705,855,51,0
5621b,35705,856,52,0
3823b,35705,859,53,1
2939b,39606,1045,1,0
2887b,39606,1045,2,0
2938b,39606,1046,3,0
2935b,39606,1048,4,0
1737b,39606,1049,5,0
2934b,39606,1050,6,0
1919b,39606,1050,7,0
348b,39606,1052,8,0
1565b,39606,1052,9,0
2546b,39606,1054,10,0
126b,39606,1056,11,0
157b,39606,1057,12,0
598b,39606,1057,13,0
561b,39606,1058,14,0
214b,39606,1059,15,0
284b,39606,1060,16,0
686b,39606,1061,17,0
673b,39606,1062,18,0
691b,39606,1063,19,0
1652b,39606,1064,20,0
2329b,39606,1067,21,0
2642b,39606,1069,22,0
1653b,39606,1069,23,0
2643b,39606,1071,24,0
837b,39606,1074,25,0
7729b,39606,1076,26,0
7730b,39606,1078,27,0
2443b,39606,1083,28,0
1692b,39606,1086,29,0
2444b,39606,1092,30,0
5621b,39606,1093,31,0
3823b,39606,1097,32,1
3823b,35790,533,1,0
3216b,35790,534,2,0
3278b,35790,536,3,0
7731b,35790,538,4,0
3559b,35790,540,5,0
7725b,35790,543,6,0
7726b,35790,545,7,0
7727b,35790,548,8,0
5946b,35790,552,9,0
7728b,35790,554,10,0
3869b,35790,557,11,0
382b,35790,558,12,0
898b,35790,559,13,0
1325b,35790,560,14,0
1654b,35790,560,15,0
342b,35790,561,16,0
875b,35790,562,17,0
870b,35790,563,18,0
913b,35790,563,19,0
912b,35790,564,20,0
1215b,35790,567,21,0
2545b,35790,567,22,0
2981b,35790,568,23,0
2933b,35790,570,24,0
202b,35790,571,25,0
2936b,35790,573,26,0
2937b,35790,574,27,0
658b,35790,575,28,0
2939b,35790,576,29,1
3823b,35775,960,1,0
3216b,35775,961,2,0
3278b,35775,964,3,0
7731b,35775,967,4,0
3559b,35775,968,5,0
7725b,35775,971,6,0
7726b,35775,973,7,0
7727b,35775,975,8,0
5946b,35775,979,9,0
7728b,35775,981,10,0
3869b,35775,983,11,0
382b,35775,985,12,0
898b,35775,986,13,0
1325b,35775,988,14,0
1654b,35775,988,15,0
342b,35775,989,16,0
875b,35775,990,17,0
870b,35775,991,18,0
913b,35775,991,19,0
912b,35775,992,20,0
1215b,35775,995,21,0
2545b,35775,995,22,0
2981b,35775,996,23,0
2933b,35775,998,24,0
202b,35775,999,25,0
2936b,35775,1001,26,0
2937b,35775,1002,27,0
658b,35775,1003,28,0
2939b,35775,1004,29,1
3823b,24688,325,1,0
3216b,24688,326,2,0
3278b,24688,328,3,0
7731b,24688,330,4,0
3559b,24688,331,5,0
7725b,24688,334,6,0
