arret_id,trajet_id,heure_depart,stop_sequence,terminus
342b,11855,616,16,0
875b,11855,617,17,0
870b,11855,618,18,0
913b,11855,618,19,0
912b,11855,619,20,0
1215b,11855,622,21,0
7936b,11855,624,22,0
7933b,11855,626,23,0
7932b,11855,627,24,0
53b,11855,628,25,0
949b,11855,630,26,0
2951b,11855,631,27,1
3823b,3945,1320,1,0
3216b,3945,1321,2,0
3278b,3945,1323,3,0
7731b,3945,1324,4,0
3559b,3945,1325,5,0
7725b,3945,1327,6,0
7726b,3945,1328,7,0
7727b,3945,1330,8,0
5946b,3945,1333,9,0
7728b,3945,1334,10,0
3869b,3945,1336,11,0
382b,3945,1336,12,0
898b,3945,1337,13,0
1325b,3945,1338,14,0
1654b,3945,1338,15,0
342b,3945,1339,16,0
875b,3945,1340,17,0
870b,3945,1341,18,0
913b,3945,1341,19,0
912b,3945,1342,20,0
1215b,3945,1345,21,0
7936b,3945,1347,22,0
7933b,3945,1348,23,0
7932b,3945,1349,24,0
53b,3945,1350,25,0
949b,3945,1352,26,0
7940b,3945,1352,27,0
3679b,3945,1353,28,0
1026b,3945,1357,29,0
2704b,3945,1359,30,0
10b,3945,1360,31,0
848b,3945,1361,32,0
3297b,3945,1362,33,0
2943b,3945,1362,34,0
2600b,3945,1363,35,0
807b,3945,1363,36,0
2576b,3945,1364,37,0
1046b,3945,1364,38,0
1559b,3945,1364,39,0
206b,3945,1365,40,0
2946b,3945,1366,41,0
2947b,3945,1367,42,1
3823b,18511,1195,1,0
3216b,18511,1196,2,0
3278b,18511,1198,3,0
7731b,18511,1201,4,0
3559b,18511,1202,5,0
7725b,18511,1204,6,0
7726b,18511,1205,7,0
7727b,18511,1207,8,0
5946b,18511,1210,9,0
7728b,18511,1211,10,0
3869b,18511,1213,11,0
382b,18511,1214,12,0
898b,18511,1215,13,0
1325b,18511,1216,14,0
1654b,18511,1216,15,0
342b,18511,1217,16,0
875b,18511,1218,17,0
870b,18511,1218,18,0
913b,18511,1219,19,0
912b,18511,1219,20,0
1215b,18511,1222,21,0
7936b,18511,1224,22,0
7933b,18511,1225,23,0
7932b,18511,1227,24,0
53b,18511,1227,25,0
949b,18511,1229,26,0
2951b,18511,1230,27,1
3823b,3936,325,1,0
3216b,3936,326,2,0
3278b,3936,329,3,0
7731b,3936,331,4,0
3559b,3936,332,5,0
7725b,3936,333,6,0
7726b,3936,334,7,0
7727b,3936,335,8,0
5946b,3936,337,9,0
7728b,3936,338,10,0
3869b,3936,340,11,0
382b,3936,340,12,0
898b,3936,341,13,0
1325b,3936,342,14,0
1654b,3936,342,15,0
342b,3936,343,16,0
875b,3936,343,17,0
870b,3936,344,18,0
913b,3936,344,19,0
912b,3936,345,20,0
1215b,3936,347,21,0
7936b,3936,349,22,0
7933b,3936,350,23,0
7932b,3936,351,24,0
53b,3936,351,25,0
949b,3936,353,26,0
2951b,3936,354,27,1
2947b,18508,995,1,0
1133b,18508,995,2,0
1278b,18508,996,3,0
2554b,18508,997,4,0
744b,18508,998,5,0
1628b,18508,998,6,0
2584b,18508,999,7,0
2944b,18508,1000,8,0
3302b,18508,1000,9,0
2942b,18508,1001,10,0
1157b,18508,1002,11,0
1489b,18508,1002,12,0
2500b,18508,1004,13,0
2940b,18508,1005,14,0
1312b,18508,1006,15,0
1068b,18508,1006,16,0
1421b,18508,1007,17,0
5980b,18508,1008,18,0
2887b,18508,1009,19,0
2938b,18508,1009,20,0
2935b,18508,1011,21,0
7942b,18508,1012,22,0
7935b,18508,1014,23,0
7937b,18508,1015,24,0
2546b,18508,1018,25,0
126b,18508,1020,26,0
157b,18508,1021,27,0
598b,18508,1021,28,0
561b,18508,1022,29,0
214b,18508,1023,30,0
284b,18508,1024,31,0
686b,18508,1025,32,0
673b,18508,1026,33,0
691b,18508,1027,34,0
7951b,18508,1028,35,0
2642b,18508,1030,36,0
1653b,18508,1030,37,0
2643b,18508,1031,38,0
837b,18508,1033,39,0
7729b,18508,1034,40,0
7730b,18508,1035,41,0
2443b,18508,1038,42,0
1692b,18508,1040,43,0
2444b,18508,1043,44,0
5621b,18508,1044,45,0
3823b,18508,1048,46,1
2947b,34846,1415,1,0
1133b,34846,1415,2,0
1278b,34846,1416,3,0
2554b,34846,1417,4,0
744b,34846,1418,5,0
1628b,34846,1418,6,0
2584b,34846,1418,7,0
2944b,34846,1419,8,0
3302b,34846,1419,9,0
2942b,34846,1421,10,0
1157b,34846,1421,11,0
1489b,34846,1422,12,0
2500b,34846,1423,13,0
2940b,34846,1424,14,0
1312b,34846,1424,15,0
1068b,34846,1425,16,0
1421b,34846,1426,17,0
5980b,34846,1427,18,0
2887b,34846,1427,19,0
2938b,34846,1428,20,0
2935b,34846,1429,21,0
7942b,34846,1430,22,0
7935b,34846,1432,23,0
7937b,34846,1432,24,0
2546b,34846,1435,25,0
126b,34846,1436,26,0
157b,34846,1437,27,0
598b,34846,1437,28,0
561b,34846,1438,29,0
214b,34846,1438,30,0
284b,34846,1439,31,0
686b,34846,1440,32,0
673b,34846,1440,33,0
691b,34846,1441,34,0
7951b,34846,1442,35,0
2642b,34846,1443,36,0
1653b,34846,1443,37,0
2643b,34846,1444,38,0
837b,34846,1446,39,0
7729b,34846,1447,40,0
7730b,34846,1448,41,0
2443b,34846,1451,42,0
1692b,34846,1453,43,0
2444b,34846,1456,44,0
5621b,34846,1456,45,0
3823b,34846,1458,46,1
7940b,11808,432,1,0
2887b,11808,432,2,0
2938b,11808,433,3,0
2935b,11808,435,4,0
7942b,11808,437,5,0
7935b,11808,440,6,0
7937b,11808,441,7,0
2546b,11808,445,8,0
126b,11808,447,9,0
157b,11808,448,10,0
598b,11808,449,11,0
561b,11808,450,12,0
214b,11808,451,13,0
284b,11808,452,14,0
686b,11808,453,15,0
673b,11808,454,16,0
691b,11808,455,17,0
7951b,11808,457,18,0
2642b,11808,459,19,0
1653b,11808,459,20,0
2643b,11808,460,21,0
837b,11808,462,22,0
7729b,11808,463,23,0
7730b,11808,464,24,0
2443b,11808,467,25,0
1692b,11808,469,26,0
2444b,11808,472,27,0
5621b,11808,473,28,0
3823b,11808,477,29,1
2947b,34890,716,1,0
1133b,34890,716,2,0
1278b,34890,717,3,0
2554b,34890,718,4,0
744b,34890,719,5,0
1628b,34890,719,6,0
2584b,34890,719,7,0
2944b,34890,720,8,0
3302b,34890,720,9,0
2942b,34890,721,10,0
1157b,34890,722,11,0
1489b,34890,722,12,0
2500b,34890,724,13,0
2940b,34890,725,14,0
1312b,34890,726,15,0
1068b,34890,726,16,0
1421b,34890,727,17,0
5980b,34890,728,18,0
2887b,34890,729,19,0
2938b,34890,729,20,0
2935b,34890,731,21,0
7942b,34890,732,22,0
7935b,34890,734,23,0
7937b,34890,734,24,0
2546b,34890,737,25,0
126b,34890,739,26,0
157b,34890,740,27,0
598b,34890,740,28,0
561b,34890,741,29,0
214b,34890,742,30,0
284b,34890,743,31,0
686b,34890,744,32,0
673b,34890,745,33,0
691b,34890,746,34,0
7951b,34890,748,35,0
2642b,34890,750,36,0
1653b,34890,750,37,0
2643b,34890,751,38,0
837b,34890,753,39,0
7729b,34890,754,40,0
7730b,34890,755,41,0
2443b,34890,757,42,0
1692b,34890,759,43,0
2444b,34890,763,44,0
5621b,34890,764,45,0
3823b,34890,767,46,1
2951b,34893,625,1,0
2887b,34893,626,2,0
2938b,34893,626,3,0
2935b,34893,628,4,0
7942b,34893,629,5,0
7935b,34893,631,6,0
7937b,34893,631,7,0
2546b,34893,634,8,0
126b,34893,636,9,0
157b,34893,637,10,0
598b,34893,637,11,0
561b,34893,638,12,0
214b,34893,639,13,0
284b,34893,640,14,0
686b,34893,641,15,0
673b,34893,642,16,0
691b,34893,643,17,0
7951b,34893,645,18,0
2642b,34893,647,19,0
1653b,34893,647,20,0
2643b,34893,648,21,0
837b,34893,650,22,0
7729b,34893,651,23,0
7730b,34893,652,24,0
2443b,34893,654,25,0
1692b,34893,656,26,0
2444b,34893,660,27,0
5621b,34893,660,28,0
3823b,34893,663,29,1
3823b,11887,1130,1,0
3216b,11887,1132,2,0
3278b,11887,1135,3,0
7731b,11887,1137,4,0
3559b,11887,1138,5,0
7725b,11887,1141,6,0
7726b,11887,1143,7,0
7727b,11887,1145,8,0
5946b,11887,1149,9,0
7728b,11887,1150,10,0
3869b,11887,1153,11,0
382b,11887,1154,12,0
898b,11887,1155,13,0
1325b,11887,1157,14,0
1654b,11887,1157,15,0
342b,11887,1158,16,0
875b,11887,1159,17,0
870b,11887,1160,18,0
913b,11887,1161,19,0
912b,11887,1162,20,0
1215b,11887,1165,21,0
7936b,11887,1167,22,0
7933b,11887,1169,23,0
7932b,11887,1170,24,0
53b,11887,1171,25,0
949b,11887,1173,26,0
7940b,11887,1173,27,0
3679b,11887,1174,28,0
1026b,11887,1180,29,0
2704b,11887,1182,30,0
10b,11887,1183,31,0
848b,11887,1184,32,0
3297b,11887,1186,33,0
2943b,11887,1186,34,0
2600b,11887,1187,35,0
807b,11887,1187,36,0
2576b,11887,1189,37,0
1046b,11887,1189,38,0
1559b,11887,1189,39,0
206b,11887,1190,40,0
2946b,11887,1191,41,0
2947b,11887,1192,42,1
2947b,32756,767,1,0
1133b,32756,767,2,0
1278b,32756,768,3,0
2554b,32756,769,4,0
744b,32756,770,5,0
1628b,32756,770,6,0
2584b,32756,771,7,0
2944b,32756,772,8,0
3302b,32756,772,9,0
2942b,32756,773,10,0
1157b,32756,774,11,0
1489b,32756,774,12,0
2500b,32756,776,13,0
2940b,32756,777,14,0
1312b,32756,778,15,0
1068b,32756,778,16,0
1421b,32756,779,17,0
5980b,32756,780,18,0
2887b,32756,781,19,0
2938b,32756,781,20,0
2935b,32756,783,21,0
7942b,32756,784,22,0
7935b,32756,786,23,0
7937b,32756,787,24,0
2546b,32756,790,25,0
126b,32756,792,26,0
157b,32756,793,27,0
598b,32756,793,28,0
561b,32756,794,29,0
214b,32756,795,30,0
284b,32756,796,31,0
686b,32756,797,32,0
673b,32756,798,33,0
691b,32756,799,34,0
7951b,32756,801,35,0
2642b,32756,803,36,0
1653b,32756,803,37,0
2643b,32756,804,38,0
837b,32756,806,39,0
7729b,32756,807,40,0
