arret_id,trajet_id,heure_depart,stop_sequence,terminus
3341b,1006,770,1,0
5599b,1006,770,2,0
5651b,1006,771,3,0
4790b,1006,771,4,0
1338b,1006,773,5,0
2726b,1006,773,6,0
2727b,1006,774,7,0
266b,1006,775,8,0
2494b,1006,777,9,0
2728b,1006,779,10,0
2712b,1006,781,11,0
2713b,1006,781,12,0
5735b,1006,782,13,0
2715b,1006,784,14,0
771b,1006,785,15,0
3352b,1006,787,16,0
1647b,1006,787,17,0
692b,1006,788,18,0
2716b,1006,789,19,0
2717b,1006,790,20,0
2718b,1006,790,21,0
862b,1006,792,22,0
2349b,1006,793,23,0
1288b,1006,795,24,0
7982b,1006,795,25,0
185b,1006,796,26,0
412b,1006,797,27,0
2403b,1006,798,28,0
2404b,1006,799,29,0
3501b,1006,801,30,0
3549b,1006,802,31,0
1606b,1006,803,32,0
7821b,1006,807,33,1
3341b,1001,375,1,0
5599b,1001,375,2,0
5651b,1001,376,3,0
4790b,1001,376,4,0
1338b,1001,378,5,0
2726b,1001,378,6,0
2727b,1001,379,7,0
266b,1001,380,8,0
2494b,1001,381,9,0
2728b,1001,382,10,0
2712b,1001,384,11,0
2713b,1001,384,12,0
5735b,1001,385,13,0
2715b,1001,386,14,0
771b,1001,387,15,0
3352b,1001,389,16,0
1647b,1001,389,17,0
692b,1001,390,18,0
2716b,1001,390,19,0
2717b,1001,391,20,0
2718b,1001,392,21,0
862b,1001,393,22,0
2349b,1001,394,23,0
1288b,1001,396,24,0
7982b,1001,396,25,0
185b,1001,397,26,0
412b,1001,398,27,0
2403b,1001,399,28,0
2404b,1001,400,29,0
3501b,1001,402,30,0
3549b,1001,403,31,0
1606b,1001,404,32,0
7821b,1001,408,33,1
7821b,1040,355,1,0
8081b,1040,355,2,0
3548b,1040,356,3,0
823b,1040,357,4,0
3801b,1040,359,5,0
3546b,1040,359,6,0
2397b,1040,361,7,0
2164b,1040,361,8,0
2398b,1040,362,9,0
1014b,1040,363,10,0
7981b,1040,364,11,0
421b,1040,365,12,0
2689b,1040,366,13,0
471b,1040,367,14,0
231b,1040,367,15,0
2690b,1040,368,16,0
227b,1040,368,17,0
881b,1040,369,18,0
2691b,1040,370,19,0
3354b,1040,371,20,0
2485b,1040,371,21,0
2692b,1040,372,22,0
974b,1040,374,23,0
2693b,1040,375,24,0
370b,1040,376,25,0
887b,1040,376,26,0
2487b,1040,378,27,0
2b,1040,379,28,0
966b,1040,380,29,0
639b,1040,380,30,0
643b,1040,382,31,0
2897b,1040,383,32,0
285b,1040,384,33,0
5600b,1040,384,34,0
3341b,1040,386,35,1
7821b,24417,1170,1,0
8081b,24417,1170,2,0
3548b,24417,1171,3,0
823b,24417,1172,4,0
3801b,24417,1174,5,0
3546b,24417,1174,6,0
2397b,24417,1176,7,0
2164b,24417,1177,8,0
2398b,24417,1177,9,0
1014b,24417,1178,10,0
7981b,24417,1180,11,0
421b,24417,1181,12,0
2689b,24417,1182,13,0
471b,24417,1184,14,0
231b,24417,1184,15,0
2690b,24417,1185,16,0
227b,24417,1186,17,0
881b,24417,1187,18,0
2691b,24417,1188,19,0
3354b,24417,1189,20,0
2485b,24417,1189,21,0
2692b,24417,1190,22,0
974b,24417,1192,23,0
2693b,24417,1193,24,0
370b,24417,1195,25,0
887b,24417,1195,26,0
2487b,24417,1198,27,0
2b,24417,1199,28,0
966b,24417,1200,29,0
639b,24417,1200,30,0
643b,24417,1202,31,0
2897b,24417,1203,32,0
285b,24417,1204,33,0
5600b,24417,1204,34,0
3341b,24417,1206,35,1
7821b,36408,995,1,0
8081b,36408,995,2,0
3548b,36408,997,3,0
823b,36408,998,4,0
3801b,36408,1000,5,0
3546b,36408,1001,6,0
2397b,36408,1003,7,0
2164b,36408,1004,8,0
2398b,36408,1005,9,0
1014b,36408,1006,10,0
7981b,36408,1007,11,0
421b,36408,1009,12,0
2689b,36408,1011,13,0
471b,36408,1013,14,0
231b,36408,1014,15,0
2690b,36408,1015,16,0
227b,36408,1016,17,0
881b,36408,1017,18,0
2691b,36408,1018,19,0
3354b,36408,1020,20,0
2485b,36408,1021,21,0
2692b,36408,1022,22,0
974b,36408,1025,23,0
2693b,36408,1027,24,0
370b,36408,1030,25,0
887b,36408,1031,26,0
2487b,36408,1034,27,0
2b,36408,1035,28,0
966b,36408,1036,29,0
639b,36408,1037,30,0
643b,36408,1039,31,0
2897b,36408,1040,32,0
285b,36408,1041,33,0
5600b,36408,1042,34,0
3341b,36408,1044,35,1
7821b,1080,915,1,0
8081b,1080,915,2,0
3548b,1080,917,3,0
823b,1080,918,4,0
3801b,1080,920,5,0
3546b,1080,920,6,0
2397b,1080,922,7,0
2164b,1080,923,8,0
2398b,1080,923,9,0
1014b,1080,924,10,0
7981b,1080,926,11,0
421b,1080,927,12,0
2689b,1080,928,13,0
471b,1080,930,14,0
231b,1080,930,15,0
2690b,1080,931,16,0
227b,1080,932,17,0
881b,1080,933,18,0
2691b,1080,934,19,0
3354b,1080,935,20,0
2485b,1080,935,21,0
2692b,1080,937,22,0
974b,1080,939,23,0
2693b,1080,940,24,0
370b,1080,942,25,0
887b,1080,942,26,0
2487b,1080,945,27,0
2b,1080,946,28,0
966b,1080,947,29,0
639b,1080,947,30,0
643b,1080,949,31,0
2897b,1080,950,32,0
285b,1080,951,33,0
5600b,1080,951,34,0
3341b,1080,953,35,1
3341b,12416,845,1,0
5599b,12416,845,2,0
5651b,12416,846,3,0
4790b,12416,846,4,0
1338b,12416,848,5,0
2726b,12416,848,6,0
2727b,12416,849,7,0
266b,12416,850,8,0
2494b,12416,852,9,0
2728b,12416,854,10,0
2712b,12416,856,11,0
2713b,12416,856,12,0
5735b,12416,857,13,0
2715b,12416,859,14,0
771b,12416,860,15,0
3352b,12416,862,16,0
1647b,12416,862,17,0
692b,12416,863,18,0
2716b,12416,864,19,0
2717b,12416,865,20,0
2718b,12416,865,21,0
862b,12416,867,22,0
2349b,12416,868,23,0
1288b,12416,870,24,0
7982b,12416,870,25,0
185b,12416,871,26,0
412b,12416,872,27,0
2403b,12416,873,28,0
2404b,12416,874,29,0
3501b,12416,876,30,0
3549b,12416,877,31,0
1606b,12416,879,32,0
7821b,12416,883,33,1
7821b,1092,1545,1,0
8081b,1092,1545,2,0
3548b,1092,1546,3,0
823b,1092,1547,4,0
3801b,1092,1549,5,0
3546b,1092,1549,6,0
2397b,1092,1551,7,0
2164b,1092,1551,8,0
2398b,1092,1552,9,0
1014b,1092,1553,10,0
7981b,1092,1554,11,0
421b,1092,1555,12,0
2689b,1092,1556,13,0
471b,1092,1557,14,0
231b,1092,1557,15,0
2690b,1092,1558,16,0
227b,1092,1559,17,0
881b,1092,1560,18,0
2691b,1092,1561,19,0
3354b,1092,1562,20,0
2485b,1092,1562,21,0
2692b,1092,1563,22,0
974b,1092,1564,23,0
2693b,1092,1565,24,0
370b,1092,1566,25,0
887b,1092,1566,26,0
2487b,1092,1569,27,0
2b,1092,1569,28,0
966b,1092,1570,29,0
639b,1092,1571,30,0
643b,1092,1572,31,0
2897b,1092,1573,32,0
285b,1092,1574,33,0
5600b,1092,1574,34,0
3341b,1092,1576,35,1
7821b,24385,955,1,0
8081b,24385,955,2,0
3548b,24385,957,3,0
823b,24385,958,4,0
3801b,24385,960,5,0
3546b,24385,961,6,0
2397b,24385,963,7,0
2164b,24385,964,8,0
2398b,24385,965,9,0
1014b,24385,966,10,0
7981b,24385,967,11,0
421b,24385,969,12,0
2689b,24385,971,13,0
471b,24385,973,14,0
231b,24385,974,15,0
2690b,24385,975,16,0
227b,24385,976,17,0
881b,24385,977,18,0
2691b,24385,978,19,0
3354b,24385,980,20,0
2485b,24385,980,21,0
2692b,24385,982,22,0
974b,24385,984,23,0
2693b,24385,986,24,0
370b,24385,988,25,0
887b,24385,989,26,0
2487b,24385,992,27,0
2b,24385,993,28,0
966b,24385,994,29,0
639b,24385,995,30,0
643b,24385,997,31,0
2897b,24385,998,32,0
285b,24385,999,33,0
5600b,24385,1000,34,0
3341b,24385,1002,35,1
3341b,36333,1250,1,0
5599b,36333,1250,2,0
5651b,36333,1251,3,0
4790b,36333,1251,4,0
1338b,36333,1253,5,0
2726b,36333,1253,6,0
2727b,36333,1254,7,0
266b,36333,1255,8,0
2494b,36333,1256,9,0
2728b,36333,1258,10,0
2712b,36333,1260,11,0
2713b,36333,1260,12,0
5735b,36333,1261,13,0
2715b,36333,1262,14,0
771b,36333,1263,15,0
3352b,36333,1264,16,0
1647b,36333,1264,17,0
692b,36333,1265,18,0
2716b,36333,1266,19,0
2717b,36333,1267,20,0
2718b,36333,1267,21,0
862b,36333,1269,22,0
2349b,36333,1269,23,0
1288b,36333,1270,24,0
7982b,36333,1270,25,0
185b,36333,1271,26,0
412b,36333,1272,27,0
2403b,36333,1273,28,0
2404b,36333,1274,29,0
3501b,36333,1275,30,0
3549b,36333,1276,31,0
1606b,36333,1277,32,0
7821b,36333,1281,33,1
3341b,26995,1085,1,0
5599b,26995,1085,2,0
5651b,26995,1086,3,0
4790b,26995,1087,4,0
1338b,26995,1089,5,0
2726b,26995,1090,6,0
2727b,26995,1091,7,0
266b,26995,1092,8,0
2494b,26995,1094,9,0
2728b,26995,1096,10,0
2712b,26995,1099,11,0
2713b,26995,1100,12,0
5735b,26995,1101,13,0
2715b,26995,1103,14,0
771b,26995,1105,15,0
3352b,26995,1107,16,0
1647b,26995,1108,17,0
692b,26995,1109,18,0
2716b,26995,1110,19,0
2717b,26995,1111,20,0
2718b,26995,1112,21,0
862b,26995,1114,22,0
2349b,26995,1115,23,0
1288b,26995,1117,24,0
7982b,26995,1117,25,0
185b,26995,1119,26,0
412b,26995,1120,27,0
2403b,26995,1122,28,0
2404b,26995,1123,29,0
3501b,26995,1125,30,0
3549b,26995,1126,31,0
1606b,26995,1128,32,0
7821b,26995,1133,33,1
7821b,12354,1365,1,0
8081b,12354,1365,2,0
3548b,12354,1367,3,0
823b,12354,1368,4,0
3801b,12354,1370,5,0
3546b,12354,1370,6,0
2397b,12354,1372,7,0
2164b,12354,1372,8,0
2398b,12354,1373,9,0
1014b,12354,1374,10,0
7981b,12354,1375,11,0
421b,12354,1376,12,0
2689b,12354,1377,13,0
471b,12354,1378,14,0
231b,12354,1378,15,0
2690b,12354,1379,16,0
