arret_id,trajet_id,heure_depart,stop_sequence,terminus
185b,21510,1460,26,0
412b,21510,1461,27,0
2403b,21510,1462,28,0
2404b,21510,1463,29,0
3501b,21510,1464,30,0
3549b,21510,1465,31,0
1606b,21510,1466,32,0
7821b,21510,1470,33,1
7821b,21513,1450,1,0
8081b,21513,1450,2,0
3548b,21513,1451,3,0
823b,21513,1452,4,0
3801b,21513,1454,5,0
3546b,21513,1454,6,0
2397b,21513,1456,7,0
2164b,21513,1457,8,0
2398b,21513,1457,9,0
1014b,21513,1458,10,0
7981b,21513,1460,11,0
421b,21513,1461,12,0
2689b,21513,1462,13,0
471b,21513,1464,14,0
231b,21513,1464,15,0
2690b,21513,1465,16,0
227b,21513,1466,17,0
881b,21513,1467,18,0
2691b,21513,1468,19,0
3354b,21513,1469,20,0
2485b,21513,1469,21,0
2692b,21513,1470,22,0
974b,21513,1471,23,0
2693b,21513,1472,24,0
370b,21513,1473,25,0
887b,21513,1473,26,0
2487b,21513,1476,27,0
2b,21513,1477,28,0
966b,21513,1478,29,0
639b,21513,1478,30,0
643b,21513,1480,31,0
2897b,21513,1481,32,0
285b,21513,1482,33,0
5600b,21513,1482,34,0
3341b,21513,1484,35,1
3341b,33580,805,1,0
5599b,33580,805,2,0
5651b,33580,806,3,0
4790b,33580,806,4,0
1338b,33580,808,5,0
2726b,33580,808,6,0
2727b,33580,809,7,0
266b,33580,810,8,0
2494b,33580,812,9,0
2728b,33580,814,10,0
2712b,33580,816,11,0
2713b,33580,817,12,0
5735b,33580,817,13,0
2715b,33580,820,14,0
771b,33580,821,15,0
3352b,33580,823,16,0
1647b,33580,823,17,0
692b,33580,824,18,0
2716b,33580,825,19,0
2717b,33580,826,20,0
2718b,33580,826,21,0
862b,33580,828,22,0
2349b,33580,829,23,0
1288b,33580,831,24,0
7982b,33580,831,25,0
185b,33580,833,26,0
412b,33580,834,27,0
2403b,33580,835,28,0
2404b,33580,836,29,0
3501b,33580,838,30,0
3549b,33580,839,31,0
1606b,33580,841,32,0
7821b,33580,845,33,1
3341b,21587,985,1,0
5599b,21587,985,2,0
5651b,21587,986,3,0
4790b,21587,986,4,0
1338b,21587,988,5,0
2726b,21587,988,6,0
2727b,21587,989,7,0
266b,21587,990,8,0
2494b,21587,992,9,0
2728b,21587,994,10,0
2712b,21587,997,11,0
2713b,21587,997,12,0
5735b,21587,998,13,0
2715b,21587,1000,14,0
771b,21587,1001,15,0
3352b,21587,1003,16,0
1647b,21587,1004,17,0
692b,21587,1004,18,0
2716b,21587,1005,19,0
2717b,21587,1007,20,0
2718b,21587,1007,21,0
862b,21587,1009,22,0
2349b,21587,1010,23,0
1288b,21587,1012,24,0
7982b,21587,1012,25,0
185b,21587,1013,26,0
412b,21587,1014,27,0
2403b,21587,1015,28,0
2404b,21587,1016,29,0
3501b,21587,1018,30,0
3549b,21587,1019,31,0
1606b,21587,1021,32,0
7821b,21587,1026,33,1
3341b,21582,435,1,0
5599b,21582,435,2,0
5651b,21582,436,3,0
4790b,21582,436,4,0
1338b,21582,438,5,0
2726b,21582,438,6,0
2727b,21582,439,7,0
266b,21582,440,8,0
2494b,21582,442,9,0
2728b,21582,443,10,0
2712b,21582,445,11,0
2713b,21582,445,12,0
5735b,21582,446,13,0
2715b,21582,447,14,0
771b,21582,448,15,0
3352b,21582,450,16,0
1647b,21582,450,17,0
692b,21582,451,18,0
2716b,21582,452,19,0
2717b,21582,453,20,0
2718b,21582,453,21,0
862b,21582,455,22,0
2349b,21582,456,23,0
1288b,21582,458,24,0
7982b,21582,458,25,0
185b,21582,459,26,0
412b,21582,460,27,0
2403b,21582,461,28,0
2404b,21582,462,29,0
3501b,21582,464,30,0
3549b,21582,465,31,0
1606b,21582,467,32,0
7821b,21582,471,33,1
3341b,33543,955,1,0
5599b,33543,955,2,0
5651b,33543,956,3,0
4790b,33543,956,4,0
1338b,33543,958,5,0
2726b,33543,959,6,0
2727b,33543,960,7,0
266b,33543,961,8,0
2494b,33543,963,9,0
2728b,33543,965,10,0
2712b,33543,967,11,0
2713b,33543,968,12,0
5735b,33543,968,13,0
2715b,33543,971,14,0
771b,33543,972,15,0
3352b,33543,974,16,0
1647b,33543,975,17,0
692b,33543,975,18,0
2716b,33543,976,19,0
2717b,33543,978,20,0
2718b,33543,978,21,0
862b,33543,980,22,0
2349b,33543,981,23,0
1288b,33543,983,24,0
7982b,33543,983,25,0
185b,33543,985,26,0
412b,33543,986,27,0
2403b,33543,987,28,0
2404b,33543,988,29,0
3501b,33543,990,30,0
3549b,33543,991,31,0
1606b,33543,993,32,0
7821b,33543,998,33,1
7821b,9252,1215,1,0
8081b,9252,1215,2,0
3548b,9252,1216,3,0
823b,9252,1217,4,0
3801b,9252,1219,5,0
3546b,9252,1219,6,0
2397b,9252,1221,7,0
2164b,9252,1222,8,0
2398b,9252,1222,9,0
1014b,9252,1223,10,0
7981b,9252,1225,11,0
421b,9252,1226,12,0
2689b,9252,1227,13,0
471b,9252,1229,14,0
231b,9252,1229,15,0
2690b,9252,1230,16,0
227b,9252,1231,17,0
881b,9252,1232,18,0
2691b,9252,1233,19,0
3354b,9252,1234,20,0
2485b,9252,1234,21,0
2692b,9252,1235,22,0
974b,9252,1237,23,0
2693b,9252,1238,24,0
370b,9252,1239,25,0
887b,9252,1239,26,0
2487b,9252,1242,27,0
2b,9252,1242,28,0
966b,9252,1243,29,0
639b,9252,1244,30,0
643b,9252,1245,31,0
2897b,9252,1246,32,0
285b,9252,1247,33,0
5600b,9252,1247,34,0
3341b,9252,1249,35,1
3341b,9276,730,1,0
5599b,9276,730,2,0
5651b,9276,731,3,0
4790b,9276,732,4,0
1338b,9276,734,5,0
2726b,9276,734,6,0
2727b,9276,735,7,0
266b,9276,736,8,0
2494b,9276,738,9,0
2728b,9276,739,10,0
2712b,9276,741,11,0
2713b,9276,741,12,0
5735b,9276,742,13,0
2715b,9276,743,14,0
771b,9276,744,15,0
3352b,9276,746,16,0
1647b,9276,746,17,0
692b,9276,747,18,0
2716b,9276,748,19,0
2717b,9276,749,20,0
2718b,9276,749,21,0
862b,9276,751,22,0
2349b,9276,752,23,0
1288b,9276,753,24,0
7982b,9276,753,25,0
185b,9276,754,26,0
412b,9276,755,27,0
2403b,9276,756,28,0
2404b,9276,757,29,0
3501b,9276,758,30,0
3549b,9276,759,31,0
1606b,9276,760,32,0
7821b,9276,764,33,1
3341b,9292,848,1,0
5599b,9292,848,2,0
5651b,9292,849,3,0
4790b,9292,849,4,0
1338b,9292,851,5,0
2726b,9292,851,6,0
2727b,9292,852,7,0
266b,9292,853,8,0
2494b,9292,855,9,0
2728b,9292,857,10,0
2712b,9292,859,11,0
2713b,9292,859,12,0
5735b,9292,860,13,0
2715b,9292,862,14,0
771b,9292,863,15,0
3352b,9292,865,16,0
1647b,9292,865,17,0
692b,9292,866,18,0
2716b,9292,867,19,0
2717b,9292,868,20,0
2718b,9292,868,21,0
862b,9292,870,22,0
2349b,9292,871,23,0
1288b,9292,873,24,0
7982b,9292,873,25,0
185b,9292,874,26,0
412b,9292,875,27,0
2403b,9292,876,28,0
2404b,9292,877,29,0
3501b,9292,879,30,0
3549b,9292,880,31,0
1606b,9292,881,32,0
7821b,9292,885,33,1
7821b,18017,800,1,0
8081b,18017,800,2,0
3548b,18017,801,3,0
823b,18017,802,4,0
3801b,18017,804,5,0
3546b,18017,804,6,0
2397b,18017,806,7,0
2164b,18017,807,8,0
2398b,18017,807,9,0
1014b,18017,808,10,0
7981b,18017,810,11,0
421b,18017,811,12,0
2689b,18017,812,13,0
471b,18017,813,14,0
231b,18017,813,15,0
2690b,18017,814,16,0
227b,18017,815,17,0
881b,18017,816,18,0
2691b,18017,817,19,0
3354b,18017,818,20,0
2485b,18017,818,21,0
2692b,18017,819,22,0
974b,18017,821,23,0
2693b,18017,822,24,0
370b,18017,823,25,0
887b,18017,823,26,0
2487b,18017,826,27,0
2b,18017,826,28,0
966b,18017,827,29,0
639b,18017,828,30,0
643b,18017,829,31,0
2897b,18017,830,32,0
285b,18017,831,33,0
5600b,18017,831,34,0
3341b,18017,833,35,1
3341b,33655,1055,1,0
5599b,33655,1055,2,0
5651b,33655,1056,3,0
4790b,33655,1057,4,0
1338b,33655,1059,5,0
2726b,33655,1060,6,0
2727b,33655,1061,7,0
266b,33655,1062,8,0
2494b,33655,1064,9,0
2728b,33655,1066,10,0
2712b,33655,1069,11,0
2713b,33655,1070,12,0
5735b,33655,1071,13,0
2715b,33655,1073,14,0
771b,33655,1075,15,0
3352b,33655,1077,16,0
1647b,33655,1078,17,0
692b,33655,1079,18,0
2716b,33655,1080,19,0
2717b,33655,1081,20,0
2718b,33655,1082,21,0
862b,33655,1084,22,0
2349b,33655,1085,23,0
1288b,33655,1087,24,0
7982b,33655,1087,25,0
185b,33655,1089,26,0
412b,33655,1090,27,0
2403b,33655,1092,28,0
2404b,33655,1093,29,0
3501b,33655,1095,30,0
3549b,33655,1096,31,0
1606b,33655,1098,32,0
7821b,33655,1103,33,1
3341b,18000,595,1,0
5599b,18000,595,2,0
5651b,18000,596,3,0
4790b,18000,596,4,0
1338b,18000,598,5,0
2726b,18000,598,6,0
2727b,18000,599,7,0
266b,18000,600,8,0
2494b,18000,602,9,0
2728b,18000,604,10,0
2712b,18000,606,11,0
2713b,18000,606,12,0
5735b,18000,607,13,0
2715b,18000,608,14,0
771b,18000,609,15,0
3352b,18000,611,16,0
1647b,18000,611,17,0
692b,18000,612,18,0
2716b,18000,613,19,0
2717b,18000,614,20,0
2718b,18000,614,21,0
862b,18000,616,22,0
2349b,18000,617,23,0
1288b,18000,619,24,0
7982b,18000,619,25,0
185b,18000,620,26,0
412b,18000,621,27,0
2403b,18000,622,28,0
2404b,18000,623,29,0
3501b,18000,625,30,0
3549b,18000,626,31,0
1606b,18000,628,32,0
7821b,18000,632,33,1
7821b,21621,1260,1,0
8081b,21621,1260,2,0
3548b,21621,1261,3,0
823b,21621,1262,4,0
3801b,21621,1264,5,0
3546b,21621,1264,6,0
2397b,21621,1266,7,0
2164b,21621,1267,8,0
2398b,21621,1267,9,0
1014b,21621,1268,10,0
7981b,21621,1270,11,0
421b,21621,1271,12,0
2689b,21621,1272,13,0
471b,21621,1273,14,0
231b,21621,1273,15,0
2690b,21621,1274,16,0
227b,21621,1275,17,0
881b,21621,1276,18,0
2691b,21621,1277,19,0
3354b,21621,1278,20,0
2485b,21621,1278,21,0
2692b,21621,1279,22,0
974b,21621,1281,23,0
2693b,21621,1282,24,0
370b,21621,1283,25,0
887b,21621,1283,26,0
2487b,21621,1286,27,0
2b,21621,1286,28,0
966b,21621,1287,29,0
639b,21621,1288,30,0
643b,21621,1289,31,0
2897b,21621,1290,32,0
285b,21621,1291,33,0
5600b,21621,1291,34,0
3341b,21621,1293,35,1
7821b,21620,965,1,0
8081b,21620,965,2,0
3548b,21620,967,3,0
823b,21620,968,4,0
3801b,21620,970,5,0
3546b,21620,970,6,0
2397b,21620,972,7,0
2164b,21620,973,8,0
2398b,21620,973,9,0
1014b,21620,974,10,0
7981b,21620,976,11,0
421b,21620,977,12,0
2689b,21620,978,13,0
471b,21620,980,14,0
231b,21620,981,15,0
2690b,21620,981,16,0
227b,21620,982,17,0
881b,21620,983,18,0
2691b,21620,984,19,0
3354b,21620,986,20,0
2485b,21620,986,21,0
2692b,21620,988,22,0
974b,21620,990,23,0
2693b,21620,991,24,0
370b,21620,993,25,0
887b,21620,993,26,0
2487b,21620,996,27,0
2b,21620,997,28,0
966b,21620,998,29,0
639b,21620,998,30,0
643b,21620,1000,31,0
2897b,21620,1001,32,0
285b,21620,1002,33,0
5600b,21620,1002,34,0
3341b,21620,1004,35,1
7821b,31071,440,1,0
8081b,31071,440,2,0
3548b,31071,441,3,0
823b,31071,442,4,0
3801b,31071,444,5,0
3546b,31071,444,6,0
2397b,31071,445,7,0
2164b,31071,446,8,0
2398b,31071,446,9,0
1014b,31071,447,10,0
7981b,31071,448,11,0
421b,31071,449,12,0
2689b,31071,450,13,0
471b,31071,452,14,0
231b,31071,452,15,0
2690b,31071,453,16,0
227b,31071,454,17,0
881b,31071,455,18,0
2691b,31071,456,19,0
3354b,31071,457,20,0
2485b,31071,457,21,0
2692b,31071,458,22,0
974b,31071,459,23,0
2693b,31071,460,24,0
370b,31071,461,25,0
887b,31071,461,26,0
2487b,31071,464,27,0
