arret_id,trajet_id,heure_depart,stop_sequence,terminus
5441,30553,1031,38,0
5444,30553,1033,39,0
7091,30553,1035,40,1
3706,30556,375,1,0
3708,30556,376,2,0
3710,30556,378,3,0
3712,30556,380,4,0
3714,30556,382,5,0
3716,30556,383,6,0
3718,30556,385,7,0
3720,30556,386,8,0
3722,30556,388,9,0
4579,30556,389,10,0
4581,30556,391,11,0
4583,30556,393,12,0
4585,30556,394,13,0
4587,30556,396,14,0
4589,30556,397,15,0
5228,30556,398,16,0
5230,30556,400,17,0
5232,30556,401,18,0
5234,30556,404,19,0
5236,30556,405,20,0
5238,30556,407,21,0
5240,30556,408,22,0
5243,30556,410,23,0
7329,30556,412,24,1
5217,8834,1046,1,0
5215,8834,1047,2,0
5214,8834,1049,3,0
5212,8834,1051,4,0
3694,8834,1052,5,0
3696,8834,1054,6,0
3691,8834,1056,7,0
3698,8834,1058,8,0
5130,8834,1059,9,0
3702,8834,1061,10,0
3704,8834,1062,11,0
3706,8834,1064,12,0
3708,8834,1066,13,0
3710,8834,1068,14,0
3712,8834,1070,15,0
3714,8834,1072,16,0
3716,8834,1073,17,0
3718,8834,1075,18,0
3720,8834,1077,19,0
3722,8834,1079,20,0
4579,8834,1080,21,0
4581,8834,1082,22,0
4583,8834,1083,23,0
4585,8834,1085,24,0
4587,8834,1087,25,0
4589,8834,1088,26,0
5228,8834,1089,27,0
5230,8834,1090,28,0
5232,8834,1091,29,0
5234,8834,1094,30,0
5236,8834,1096,31,0
5238,8834,1097,32,0
5240,8834,1099,33,0
5243,8834,1101,34,0
7329,8834,1102,35,1
7091,8861,1305,1,0
5443,8861,1307,2,0
5442,8861,1308,3,0
5488,8861,1310,4,0
3685,8861,1311,5,0
3687,8861,1312,6,0
3689,8861,1314,7,0
3691,8861,1316,8,0
3698,8861,1318,9,0
5130,8861,1319,10,0
3702,8861,1321,11,0
3704,8861,1322,12,0
3706,8861,1324,13,0
3708,8861,1326,14,0
3710,8861,1327,15,0
3712,8861,1330,16,0
3714,8861,1331,17,0
3716,8861,1332,18,0
3718,8861,1334,19,0
3720,8861,1335,20,0
3722,8861,1338,21,0
4579,8861,1339,22,0
4581,8861,1340,23,0
4583,8861,1342,24,0
4585,8861,1343,25,0
4587,8861,1345,26,0
4589,8861,1347,27,0
5228,8861,1348,28,0
5230,8861,1349,29,0
5232,8861,1350,30,0
5234,8861,1353,31,0
5236,8861,1354,32,0
5238,8861,1356,33,0
5240,8861,1358,34,0
5243,8861,1360,35,0
7329,8861,1361,36,1
4588,6201,944,1,0
4586,6201,946,2,0
4584,6201,947,3,0
4582,6201,949,4,0
4580,6201,951,5,0
3723,6201,952,6,0
3721,6201,954,7,0
3719,6201,956,8,0
3717,6201,958,9,0
3715,6201,959,10,0
3713,6201,961,11,0
3711,6201,963,12,0
3709,6201,965,13,0
3707,6201,966,14,0
3705,6201,968,15,0
3703,6201,970,16,0
5131,6201,971,17,1
7091,6200,1047,1,0
5443,6200,1049,2,0
5442,6200,1051,3,0
5488,6200,1053,4,0
3685,6200,1054,5,0
3687,6200,1055,6,0
3689,6200,1056,7,0
3691,6200,1058,8,0
3698,6200,1061,9,0
5130,6200,1062,10,0
3702,6200,1063,11,0
3704,6200,1065,12,0
3706,6200,1067,13,0
3708,6200,1068,14,0
3710,6200,1070,15,0
3712,6200,1072,16,0
3714,6200,1074,17,0
3716,6200,1075,18,0
3718,6200,1077,19,0
3720,6200,1078,20,0
3722,6200,1080,21,0
4579,6200,1081,22,0
4581,6200,1083,23,0
4583,6200,1085,24,0
4585,6200,1086,25,0
4587,6200,1088,26,0
4589,6200,1089,27,0
5228,6200,1090,28,0
5230,6200,1091,29,0
5232,6200,1093,30,0
5234,6200,1095,31,0
5236,6200,1097,32,0
5238,6200,1098,33,0
5240,6200,1100,34,0
5243,6200,1102,35,0
7329,6200,1104,36,1
7091,6203,896,1,0
5443,6203,898,2,0
5442,6203,899,3,0
5488,6203,901,4,0
3685,6203,903,5,0
3687,6203,904,6,0
3689,6203,905,7,0
3691,6203,907,8,0
3698,6203,910,9,0
5130,6203,911,10,0
3702,6203,912,11,0
3704,6203,914,12,0
3706,6203,916,13,0
3708,6203,917,14,0
3710,6203,919,15,0
3712,6203,922,16,0
3714,6203,923,17,0
3716,6203,925,18,0
3718,6203,926,19,0
3720,6203,928,20,0
3722,6203,930,21,0
4579,6203,931,22,0
4581,6203,933,23,0
4583,6203,934,24,0
4585,6203,936,25,0
4587,6203,938,26,0
4589,6203,939,27,0
5228,6203,940,28,0
5230,6203,941,29,0
5232,6203,943,30,0
5234,6203,945,31,0
5236,6203,947,32,0
5238,6203,949,33,0
5240,6203,950,34,0
5243,6203,952,35,0
7329,6203,954,36,0
7331,6203,956,37,0
7333,6203,958,38,0
7335,6203,960,39,0
7337,6203,962,40,1
5217,8872,615,1,0
5215,8872,617,2,0
5214,8872,619,3,0
5212,8872,620,4,0
3694,8872,622,5,0
3696,8872,623,6,0
3691,8872,625,7,0
3698,8872,628,8,0
5130,8872,629,9,0
3702,8872,630,10,0
3704,8872,632,11,0
3706,8872,634,12,0
3708,8872,635,13,0
3710,8872,637,14,0
3712,8872,640,15,0
3714,8872,641,16,0
3716,8872,643,17,0
3718,8872,644,18,0
3720,8872,646,19,0
3722,8872,648,20,0
4579,8872,649,21,0
4581,8872,651,22,0
4583,8872,652,23,0
4585,8872,654,24,0
4587,8872,656,25,0
4589,8872,657,26,0
5228,8872,658,27,0
5230,8872,659,28,0
5232,8872,661,29,0
5234,8872,663,30,0
5236,8872,665,31,0
5238,8872,667,32,0
5240,8872,668,33,0
5243,8872,670,34,0
7329,8872,672,35,1
7337,8870,736,1,0
7336,8870,738,2,0
7334,8870,740,3,0
7332,8870,742,4,0
7330,8870,745,5,0
5242,8870,747,6,0
5241,8870,748,7,0
5239,8870,750,8,0
5237,8870,752,9,0
5235,8870,753,10,0
5233,8870,756,11,0
5231,8870,757,12,0
5229,8870,758,13,0
4590,8870,759,14,0
4588,8870,761,15,0
4586,8870,762,16,0
4584,8870,764,17,0
4582,8870,766,18,0
4580,8870,767,19,0
3723,8870,769,20,0
3721,8870,771,21,0
3719,8870,772,22,0
3717,8870,774,23,0
3715,8870,775,24,0
3713,8870,777,25,0
3711,8870,779,26,0
3709,8870,781,27,0
3707,8870,782,28,0
3705,8870,784,29,0
3703,8870,785,30,0
5131,8870,786,31,0
3699,8870,787,32,0
3692,8870,790,33,0
3690,8870,792,34,0
3688,8870,793,35,0
3686,8870,794,36,0
3684,8870,795,37,0
5441,8870,797,38,0
5444,8870,799,39,0
7091,8870,801,40,1
5217,6212,1131,1,0
5215,6212,1132,2,0
5214,6212,1134,3,0
5212,6212,1136,4,0
3694,6212,1137,5,0
3696,6212,1139,6,0
3691,6212,1141,7,0
3698,6212,1143,8,0
5130,6212,1144,9,0
3702,6212,1146,10,0
3704,6212,1147,11,0
3706,6212,1149,12,0
3708,6212,1151,13,0
3710,6212,1152,14,0
3712,6212,1155,15,0
3714,6212,1156,16,0
3716,6212,1158,17,0
3718,6212,1159,18,0
3720,6212,1161,19,0
3722,6212,1163,20,0
4579,6212,1164,21,0
4581,6212,1166,22,0
4583,6212,1167,23,0
4585,6212,1169,24,0
4587,6212,1170,25,0
4589,6212,1172,26,0
5228,6212,1173,27,0
5230,6212,1174,28,0
5232,6212,1175,29,0
5234,6212,1178,30,0
5236,6212,1179,31,0
5238,6212,1181,32,0
5240,6212,1183,33,0
5243,6212,1184,34,0
7329,6212,1186,35,0
7331,6212,1188,36,0
7333,6212,1191,37,0
7335,6212,1192,38,0
7337,6212,1194,39,1
3706,6207,292,1,0
3708,6207,293,2,0
3710,6207,295,3,0
3712,6207,297,4,0
3714,6207,299,5,0
3716,6207,300,6,0
3718,6207,302,7,0
3720,6207,303,8,0
3722,6207,305,9,0
4579,6207,306,10,0
4581,6207,308,11,0
4583,6207,310,12,0
4585,6207,311,13,0
4587,6207,313,14,0
4589,6207,314,15,0
5228,6207,315,16,0
5230,6207,317,17,0
5232,6207,318,18,0
5234,6207,320,19,0
5236,6207,322,20,0
5238,6207,324,21,0
5240,6207,325,22,0
5243,6207,327,23,0
7329,6207,329,24,0
7331,6207,331,25,0
7333,6207,333,26,0
7335,6207,335,27,0
7337,6207,337,28,1
5217,8866,1005,1,0
5215,8866,1006,2,0
5214,8866,1008,3,0
5212,8866,1010,4,0
3694,8866,1011,5,0
3696,8866,1013,6,0
3691,8866,1015,7,0
3698,8866,1017,8,0
5130,8866,1019,9,0
3702,8866,1020,10,0
3704,8866,1022,11,0
3706,8866,1024,12,0
3708,8866,1025,13,0
3710,8866,1027,14,0
3712,8866,1029,15,0
3714,8866,1031,16,0
3716,8866,1032,17,0
3718,8866,1034,18,0
3720,8866,1036,19,0
3722,8866,1038,20,0
4579,8866,1039,21,0
4581,8866,1041,22,0
4583,8866,1042,23,0
4585,8866,1044,24,0
4587,8866,1046,25,0
4589,8866,1047,26,0
5228,8866,1048,27,0
5230,8866,1049,28,0
5232,8866,1051,29,0
5234,8866,1053,30,0
5236,8866,1055,31,0
5238,8866,1056,32,0
5240,8866,1058,33,0
5243,8866,1060,34,0
7329,8866,1062,35,1
7337,8882,1097,1,0
7336,8882,1099,2,0
7334,8882,1101,3,0
7332,8882,1103,4,0
7330,8882,1105,5,0
5242,8882,1107,6,0
5241,8882,1109,7,0
5239,8882,1110,8,0
5237,8882,1112,9,0
5235,8882,1114,10,0
5233,8882,1116,11,0
5231,8882,1118,12,0
5229,8882,1119,13,0
4590,8882,1120,14,0
4588,8882,1121,15,0
4586,8882,1123,16,0
4584,8882,1125,17,0
4582,8882,1126,18,0
4580,8882,1128,19,0
3723,8882,1129,20,0
3721,8882,1131,21,0
3719,8882,1133,22,0
3717,8882,1134,23,0
3715,8882,1136,24,0
3713,8882,1137,25,0
3711,8882,1140,26,0
