arret_id,trajet_id,heure_depart,stop_sequence,terminus
4524b,31413,810,1,0
3788b,31413,810,2,0
2161b,31413,811,3,0
1716b,31413,812,4,0
186b,31413,812,5,0
1276b,31413,813,6,0
1513b,31413,813,7,0
1146b,31413,814,8,0
1451b,31413,814,9,0
606b,31413,815,10,0
1726b,31413,816,11,0
3314b,31413,817,12,0
4750b,31413,818,13,0
2195b,31413,819,14,0
244b,31413,819,15,0
1809b,31413,820,16,0
2194b,31413,820,17,0
2078b,31413,822,18,0
5747b,31413,823,19,0
5780b,31413,825,20,0
5778b,31413,826,21,0
2076b,31413,827,22,0
3894b,31413,828,23,0
5762b,31413,831,24,0
5757b,31413,831,25,0
950b,31413,832,26,0
1108b,31413,833,27,0
2028b,31413,834,28,0
1995b,31413,835,29,0
2071b,31413,835,30,0
2056b,31413,835,31,0
1514b,31413,836,32,0
1820b,31413,837,33,0
2248b,31413,838,34,0
2251b,31413,838,35,0
2144b,31413,839,36,0
2150b,31413,840,37,0
1870b,31413,840,38,0
2151b,31413,840,39,0
2148b,31413,841,40,0
3939b,31413,842,41,0
5418b,31413,843,42,0
3941b,31413,845,43,0
4850b,31413,846,44,0
5766b,31413,846,45,0
1882b,31413,848,46,0
2160b,31413,848,47,0
1571b,31413,850,48,0
1523b,31413,851,49,0
726b,31413,853,50,0
247b,31413,854,51,0
2011b,31413,854,52,0
2118b,31413,856,53,0
7593b,31413,858,54,0
7592b,31413,860,55,0
7594b,31413,861,56,0
7570b,31413,861,57,0
7569b,31413,862,58,0
2522b,31413,862,59,0
1888b,31413,863,60,0
1677b,31413,863,61,0
1376b,31413,863,62,0
2558b,31413,864,63,0
1121b,31413,865,64,1
2093b,31445,765,1,0
2081b,31445,765,2,0
1524b,31445,765,3,0
1428b,31445,766,4,0
3296b,31445,766,5,0
1090b,31445,766,6,0
305b,31445,767,7,0
2869b,31445,767,8,0
7591b,31445,768,9,0
1684b,31445,768,10,0
1675b,31445,770,11,0
1915b,31445,771,12,0
1682b,31445,772,13,0
668b,31445,773,14,0
1732b,31445,775,15,0
1346b,31445,775,16,0
1303b,31445,777,17,0
1751b,31445,777,18,0
5767b,31445,779,19,0
3943b,31445,780,20,0
3942b,31445,780,21,0
5419b,31445,782,22,0
3940b,31445,783,23,0
