ordre,id,nom_court,nom_long
1,59,A,Ligne A
2,60,B,Ligne B
3,61,C,Ligne C
4,01,1,Lianes 1
5,10,10,Lianes 10
6,11,11,Lianes 11
8,15,15,Lianes 15
9,16,16,Lianes 16
10,02,2,Lianes 2
11,20,20,Ligne 20
12,21,21,Ligne 21
13,23,23,Ligne 23
14,24,24,Ligne 24
15,26,26,Ligne 26
16,27,27,Ligne 27
17,28,28,Ligne 28
18,29,29,Ligne 29
19,03_merged_1101103,3,Lianes 3 et Express
20,03_merged_1101104,3,Lianes 3
21,30,30,Ligne 30
22,32,32,Corol 32
23,33,33,Corol 33
24,34,34,Corol 34
25,35,35,Corol 35
26,36,36,Corol 36
27,37,37,Corol 37
28,38,38,Flexo 38
29,39,39,Résago Le Taillan
30,04,4,Lianes 4
31,40,40,Citéis 40
32,41,41,Citéis 41
33,42,42,Citéis 42
34,43,43,Citéis 43
35,44,44,Citéis 44
36,45,45,Citéis 45
37,46,46,Citéis 46
38,47,47,Citéis 47
39,48,48,Flexo 48
40,49,49,Flexo 49
41,05,5,Lianes 5
42,50,50,Flexo 50
43,51,51,Flexo 51
44,52,52,Flexo 52
45,54,54,Flexo 54
46,55,55,Flexo 55
47,56,56,Ligne 56 Express
48,57,57,Flexo 57
49,58,58,Ligne 58
50,06,6,Lianes 6
51,62,62,Ligne 62
52,63,63,Special Bègles Dimanche
53,64,64,Ligne 64
54,67,67,Ligne 67
55,68,68,Flexo 68
56,07,7,Lianes 7
57,70,70,Ligne 70
58,71,71,Ligne 71
59,72,72,Ligne 72
60,73,73,Ligne 73
61,74,74,Spécifique 74
62,76,76,Ligne 76
63,77,77,Ligne 77
64,78,78,Spécifique 78
65,79,79,Spécifique 79
66,08,8,Lianes 8
67,80,80,Spécifique 80
68,83,83,Ligne 83
69,86,86,Spécifique 86
70,87,87,Ligne 87
71,88,88,Ligne 88
72,89,89,Ligne 89
73,09,9,Lianes 9
74,90,90,Ligne 90
75,91,91,Ligne 91
76,92,92,Ligne 92
77,93,93,Spécifique 93
78,94,94,Spécifique 94
79,95,95,Spécifique 95
80,96,96,Spécifique 96
