direction_id,ligne_id,id,calendrier_id,macro_direction
39,44,1012,35,0
39,44,3695,95,0
39,44,36361,95,0
39,44,24318,320,0
118,44,3881,320,0
118,44,3891,35,0
39,44,24615,304,0
118,44,36532,320,0
39,44,3959,304,0
39,44,12721,95,0
39,44,1370,320,0
118,44,24755,320,0
39,44,36744,95,0
118,44,24740,35,0
118,44,36704,320,0
118,44,34014,304,0
118,44,36834,304,0
39,44,10160,304,0
39,44,10381,95,0
118,44,22263,304,0
39,44,10400,95,0
118,44,10537,320,0
39,44,10551,95,0
39,44,22645,95,0
118,44,10635,35,0
118,44,19176,304,0
39,44,32120,35,0
39,44,32079,35,0
39,44,10894,320,0
39,44,34812,320,0
39,44,20288,304,0
118,44,32179,304,0
118,44,10995,320,0
118,44,32364,35,0
39,44,8027,95,0
39,44,8148,304,0
39,44,20579,304,0
118,44,32547,35,0
118,44,8224,304,0
118,44,30025,320,0
118,44,30047,304,0
118,44,32769,95,0
118,44,20762,35,0
118,44,8493,95,0
39,44,17259,35,0
118,44,42286,320,0
118,44,30284,35,0
118,44,29291,35,0
118,44,8514,304,0
39,44,19852,320,0
39,44,20813,35,0
118,44,6092,35,0
39,44,32932,320,0
118,44,19924,320,0
118,44,42426,304,0
39,44,42407,320,0
39,44,15097,320,0
118,44,27054,95,0
39,44,27038,35,0
39,44,29697,95,0
118,44,17603,35,0
39,44,29669,320,0
39,44,27018,95,0
39,44,42620,35,0
39,44,30644,304,0
39,44,6406,304,0
39,44,30773,95,0
39,44,15158,320,0
118,44,42747,304,0
39,44,17758,320,0
39,44,30824,320,0
118,44,15271,320,0
39,44,30885,304,0
118,44,42859,95,0
118,44,40351,304,0
118,44,30914,95,0
39,44,15360,35,0
39,44,39308,304,0
118,44,42945,320,0
118,44,6707,95,0
39,44,4165,35,0
118,44,15499,35,0
39,44,15477,35,0
39,44,40523,320,0
118,44,40608,35,0
39,44,25066,304,0
118,44,25076,304,0
39,44,40655,35,0
118,44,25008,95,0
118,44,37188,95,0
39,44,4491,304,0
118,44,25115,35,0
39,44,39743,304,0
118,44,15796,320,0
118,44,13173,304,0
118,44,37114,320,0
118,44,4583,304,0
118,44,27892,35,0
39,44,13213,95,0
39,44,4659,304,0
118,44,40981,95,0
118,44,25341,95,0
39,44,40939,320,0
39,44,15994,304,0
118,44,13337,35,0
118,44,37382,320,0
39,44,4777,35,0
118,44,25461,35,0
118,44,13650,95,0
118,44,13602,95,0
118,44,4977,304,0
39,44,2322,320,0
39,44,25737,304,0
39,44,23051,304,0
118,44,37849,35,0
118,44,2581,35,0
39,44,11356,304,0
118,44,37968,35,0
118,44,23253,95,0
39,44,11474,320,0
118,44,23362,95,0
39,44,23378,95,0
39,44,35321,35,0
118,44,23549,304,0
39,44,35450,35,0
39,44,35630,95,0
39,44,23652,304,0
118,44,2962,35,0
118,44,2971,320,0
39,44,35706,320,0
118,44,11714,95,0
39,44,21102,320,0
118,44,21117,320,0
39,44,21249,35,0
39,44,35889,95,0
118,44,33207,35,0
118,44,33174,35,0
39,44,35978,304,0
39,44,9084,95,0
118,44,9094,95,0
39,44,18011,320,0
118,44,18019,304,0
118,44,18020,35,0
118,44,33610,304,0
118,44,33614,95,0
39,44,18041,95,0
39,44,9364,304,0
39,44,21753,35,0
118,44,21759,304,0
