identifiant,type,nom,directionForward,directionBackward
TBC01_01,Bus,Liane 1,MERIGNAC Aéroport,BORDEAUX Quinconces Munich
TBC02_02,Bus,Liane 2,EYSINES Centre / EYSINES Place Florale,BORDEAUX Quinconces
TBC03_03,Bus,Liane 3 et 53 Express,Saint Médard Issac/Gare Routière/ Saint Aubin Villepreux,Bordeaux Quinconces Munich
TBC04_04,Bus,Liane 4,PESSAC Magonty,BORDEAUX St Louis
TBC05_05,Bus,Liane 5,LE TAILLAN La Boétie / EYSINES Centre,VILLENAVE Piscine Chambéry
TBC06_06,Bus,Liane 6,BLANQUEFORT Caychac,BORDEAUX Palais de Justice
TBC07_07,Bus,Liane 7,AMBARES Parabelle,BORDEAUX Les Aubiers
TBC08_08,Bus,Liane 8,GRADIGNAN Malartic,BORDEAUX Hôpital Pellegrin
TBC09_09,Bus,Liane 9,BORDEAUX Brandenburg,BORDEAUX Gare St Jean
TBC10_10,Bus,Liane 10,BOULIAC Centre Commercial,GRADIGNAN  Beausoleil
TBC11_11,Bus,Liane 11,MERIGNAC 5 Chemins / MERIGNAC ZI du Phare / MERIGNAC Beaudésert,BEGLES Rives d'Arcins
TBC15_15,Bus,Liane 15,BORDEAUX Brandenburg / BORDEAUX Parc des Expositions,VILLENAVE Bourg / VILLENAVE Pont de la Maye
TBC16_16,Bus,Liane 16,MERIGNAC Centre,BORDEAUX Gare Saint-Jean
TBC20_20,Bus,Ligne 20,Thouars,BORDEAUX Victoire
TBC21_21,Bus,Ligne 21,GRADIGNAN Ornon,TALENCE Peixotto
TBC23_23,Bus,Ligne 23,PESSAC Toctoucau / PESSAC Romainville,MERIGNAC Fontaine d'Arlac / PESSAC Centre
TBC24_24,Bus,Ligne 24,PESSAC Bougnard,BORDEAUX Porte de Bourgogne
TBC26_26,Bus,Ligne 26,BEGLES Le Dorat ,BORDEAUX Quinconces
TBC27_27,Bus,Ligne 27,LORMONT Buttinière,BORDEAUX Stalingrad
TBC28_28,Bus,Ligne 28,BORDEAUX Galin,BORDEAUX Stalingrad
TBC29_29,Bus,Ligne 29,BLANQUEFORT Ecoparc / EYSINES Lycée Charles Péguy,BORDEAUX Quinconces 
TBC30_30,Bus,Ligne 30,ST AUBIN DE MEDOC Lycée Sud Médoc / LE HAILLAN Parc Ste Christine,MERIGNAC  Cimetière Intercommunal
TBC32_32,Bus,Corol 32,BOULIAC Centre Commercial,BORDEAUX Bassins à Flot
TBC33_33,Bus,Corol 33,MERIGNAC Soleil,BORDEAUX Parc des Expositions
TBC34_34,Bus,Corol 34,MERIGNAC Cité des Pins ,Cité des Pins - Rives d'arcins
TBC35_35,Bus,Corol 35,BORDEAUX Les Aubiers,TALENCE Peixotto
TBC36_36,Bus,Corol 36,VILLENAVE Anatole France / PESSAC Gare,BEGLES Terres Neuves
TBC37_37,Bus,Corol 37,ST AUBIN DE MEDOC Lycée Sud Médoc ,BORDEAUX Les Aubiers
TBC38_38,Bus,Flexo 38,Bouliac Vettiner,Bordeaux Stalingrad
TBC39_39,Bus,Resago Le Taillan,Tanais,Mairie du Taillan Médoc / Lycée Sud Médoc
TBC40_40,Bus,Citéis 40,LORMONT Buttinière,CENON Beausite / LORMONT Lauriers
TBC41_41,Bus,Citéis 41,BORDEAUX Pins Francs,BORDEAUX Le Tondu
TBC42_42,Bus,Citéis 42,42a  --> MERIGNAC Centre - PESSAC Centre - MERIGNAC Lycée Daguin,42b --> PESSAC Centre - MERIGNAC Centre - MERIGNAC Lycée Daguin
TBC43_43,Bus,Citéis 43,BEGLES Poste,BORDEAUX Victoire
TBC44_44,Bus,Citéis 44,PESSAC Candau,PESSAC Unitec
TBC45_45,Bus,Citéis 45,45a / BORDEAUX Pont de pierre - BORDEAUX Victoire - BORDEAUX Jardin Botanique,45b / BORDEAUX Pont St Jean - BORDEAUX Victoire - BORDEAUX Jardin Botanique
TBC46_46,Bus,Citéis 46,46a --> BORDEAUX Grand Parc - LE BOUSCAT Mairie - BORDEAUX Ravezies ,46b --> Le BOUSCAT Mairie - BORDEAUX Grand Parc - BORDEAUX Ravezies
TBC47_47,Bus,Citéis 47,BORDEAUX Victoire  ,BORDEAUX Quinconces  
TBC48_48,Bus,Flexo 48,MERIGNAC Grange Noire,PESSAC Haut Livrac
TBC49_49,Bus,Flexo 49,AMBARES Du Roy,AMBARES Collège Claude Massé
TBC50_50,Bus,Flexo 50,AMBARES René Coty,BORDEAUX Stalingrad
TBC51_51,Bus,Flexo 51,ARTIGUES Virecourt,BORDEAUX Galin
TBC52_52,Bus,Flexo 52,BOULIAC Vettiner,BORDEAUX Galin
TBC54_54,Bus,Flexo 54,Pesac Collège F. Mitterrand, Pessac Eiffel
TBC55_55,Bus,Flexo 55,République,
TBC56_56,Bus,Ligne 56 Express,PAREMPUYRE Lisière du Vignoble,BORDEAUX Palais de Justice
TBC57_57,Bus,Flexo 57,PAREMPUYRE Libération,BORDEAUX  Les Aubiers
TBC58_58,Bus,Ligne 58,GRADIGNAN Village 6,BORDEAUX Pont St Jean
TBC62_62,Bus,Ligne 62,BOULIAC Fayzeau,BORDEAUX Stalingrad
TBC63_63,Bus,Ligne 63,BEGLES Poste,BEGLES Martyrs de la resistance
TBC64_64,Bus,Ligne 64,ARTIGUES Fontderode,LORMONT Buttinière
TBC67_67,Bus,Ligne 67,LORMONT Buttinière,
TBC68_68,Bus,Flexo 68,LORMONT Buttinière,
TBC70_70,Bus,Ligne 70,MERIGNAC IMA ,MERIGNAC Lycée Daguin 
TBC71_71,Bus,Ligne 71,ST AUBIN DE MEDOC Lycée Sud Médoc,MERIGNAC Centre
TBC72_72,Bus,Ligne 72,EYSINES Centre,BORDEAUX Martinique
TBC73_73,Bus,Ligne 73,BRUGES Zone de Fret / BRUGES Villabois / BRUGES Zone de Fret(Milan),BORDEAUX Les Aubiers
TBC74_74,Bus,Spécifique 74,BORDEAUX Gabriel Fauré,BORDEAUX Roger Allo
TBC76_76,Bus,Ligne 76,PAREMPUYRE Lisière du Vignoble  ,BORDEAUX Claveau 
TBC77_77,Bus,Ligne 77,PAREMPUYRE Lisière du Vignoble,BLANQUEFORT Lycée du Bâtiment
TBC78_78,Bus,Spécifique 78,BLNQUEFORT Lycée Jean Monnet,EYSINES Centre
