id,nom,latitude,longitude
1411,Bellangerais,48.132111,-1.67291
1410,Hélias,48.136512,-1.662483
1414,Merlin,48.116416,-1.712265
1413,Villejean-Churchill,48.118607,-1.707954
1412,Cours Kennedy,48.1214,-1.707774
1419,Les Arts,48.111433,-1.713382
1418,Géniaux,48.109813,-1.710311
1417,Les Arts,48.111171,-1.712864
1416,Atalante Champeaux,48.113484,-1.714299
1420,Atalante Champeaux,48.113632,-1.712585
1422,Merlin,48.116261,-1.711309
1421,Chambre Agriculture,48.114636,-1.715503
1424,Cours Kennedy,48.121238,-1.70795
1423,Villejean-Churchill,48.118508,-1.70816
1426,Bellangerais,48.132124,-1.672635
1425,Trois Croix,48.128,-1.682448
1428,Hôtel de Région,48.134522,-1.658625
1427,Hélias,48.136404,-1.663348
1429,Joliot-Curie,48.127628,-1.650898
2942,Collège Pôle Sud,48.042032,-1.696207
1437,Villebois-Mareuil,48.100804,-1.649824
1436,Cimetière de l'Est,48.103612,-1.649802
1435,Chardonnet,48.105688,-1.650713
1434,Pont de Strasbourg,48.109314,-1.655207
1433,Durafour Strasbourg,48.113595,-1.65655
1432,Vitré Foulon,48.118769,-1.649907
1431,Vitré Péguy,48.119516,-1.65114
1430,Painlevé,48.123645,-1.659306
1439,Bourgeois,48.098234,-1.655137
1438,Le Dantec,48.099251,-1.652881
1440,Le Blosne,48.087647,-1.653923
1446,Argonautes,48.089583,-1.674997
1445,Clemenceau,48.093147,-1.674668
1447,Henri Fréville,48.08721,-1.675075
1442,Binquenais,48.091639,-1.66733
1441,Triangle,48.08608,-1.660855
1444,Combes,48.093622,-1.66964
1443,Binquenais Collège,48.091624,-1.662448
1449,Norvège,48.086865,-1.683079
1450,Coubertin,48.08669,-1.688453
1451,Lycée Bréquigny,48.086857,-1.691262
2103,Rigourdière,48.113318,-1.59004
2104,Haut Grippé,48.114919,-1.590425
2101,Village Collectivités,48.131755,-1.597946
2102,Erbonière,48.106097,-1.625877
2107,Ménouriais,48.099651,-1.603046
2106,Champelé,48.116039,-1.582351
3250,Orgerblon,48.014928,-1.663838
2122,Buisson,48.104575,-1.630458
2121,Longs Champs Est,48.130368,-1.631314
3248,ZA L'Hermitière,47.962638,-1.685005
2114,Château de Vaux,48.137351,-1.62275
3246,Collège Récipon,48.002386,-1.668891
2115,Château de Vaux,48.137379,-1.622408
3245,L'Hermitière Village,47.964349,-1.681718
3249,Orgerblon,48.014928,-1.663969
1609,Tournebride,48.114194,-1.636482
1608,Collège Cleunay,48.098331,-1.70864
1605,Pont de Strasbourg,48.110157,-1.656509
1606,Place Hoche,48.115697,-1.676699
1603,Les Préales,48.11325,-1.641287
1604,Les Préales,48.113551,-1.640947
2129,Clos Courtel,48.127869,-1.629152
2127,Champs Blancs,48.134856,-1.621311
