arret_id,ligne_id,direction_id,sequence,accessible,macro_direction
3002,0001,15,4,1,1
3001,0001,64,35,1,0
1017,0001,64,19,0,0
1016,0001,15,21,1,1
1213,0001,15,15,1,1
1015,0001,64,17,0,0
1212,0001,15,14,1,1
1014,0001,64,16,1,0
3038,0001,64,33,1,0
3037,0001,15,5,1,1
1057,0001,15,16,0,1
1056,0001,15,17,1,1
1012,0001,64,15,1,0
1033,0001,15,30,1,1
3013,0001,64,34,1,0
1032,0001,15,29,1,1
1031,0001,15,28,1,1
1470,0001,15,12,1,1
1030,0001,15,27,1,1
1029,0001,15,26,1,1
3009,0001,64,32,1,0
1028,0001,15,25,1,1
3008,0001,64,31,1,0
3007,0001,15,7,1,1
1027,0001,15,24,1,1
3006,0001,15,6,1,1
1026,0001,15,23,1,1
1025,0001,15,22,0,1
1024,0001,64,18,1,0
1023,0001,15,20,1,1
1088,0001,64,20,0,0
1087,0001,64,21,1,0
1085,0001,64,23,1,0
1316,0001,64,25,1,0
1039,0001,15,36,1,1
1038,0001,15,35,1,1
1037,0001,15,34,1,1
2126,0001,64,1,1,0
1477,0001,64,22,1,0
1036,0001,15,33,1,1
2125,0001,15,38,1,1
1035,0001,15,32,1,1
2003,0001,15,37,1,1
2124,0001,64,2,1,0
1034,0001,15,31,1,1
2002,0001,64,3,1,0
1319,0001,64,28,1,0
1318,0001,64,27,1,0
1317,0001,64,26,1,0
1055,0001,15,18,1,1
1011,0001,64,14,1,0
1054,0001,15,19,0,1
1010,0001,64,13,1,0
3032,0001,15,3,1,1
1327,0001,15,13,1,1
1008,0001,64,11,1,0
1007,0001,64,10,1,0
1325,0001,15,11,1,1
1006,0001,64,9,1,0
1324,0001,15,10,1,1
1005,0001,64,8,1,0
3029,0001,64,36,1,0
3028,0001,15,1,1,1
1323,0001,15,9,1,1
1004,0001,64,7,1,0
3027,0001,15,2,1,1
1322,0001,15,8,1,1
1003,0001,64,6,1,0
1002,0001,64,5,1,0
1321,0001,64,30,1,0
1001,0001,64,4,1,0
1243,0001,64,24,1,0
1320,0001,64,29,1,0
1009,0001,64,12,1,0
1066,0002,75,36,1,0
1064,0002,75,34,1,0
1063,0002,75,33,1,0
1062,0002,75,32,0,0
1061,0002,75,31,1,0
1060,0002,75,30,1,0
2822,0002,74,35,0,1
1213,0002,74,13,1,1
1057,0002,74,14,0,1
1650,0002,74,7,1,1
1056,0002,74,15,1,1
2825,0002,74,38,1,1
2824,0002,74,37,1,1
1077,0002,75,35,1,0
1076,0002,74,6,1,1
1075,0002,74,5,1,1
1074,0002,74,4,1,1
1073,0002,74,3,1,1
1072,0002,74,2,1,1
1071,0002,74,1,1,1
1070,0002,75,40,1,0
1102,0002,74,29,0,1
1069,0002,75,39,1,0
1101,0002,75,14,1,0
1068,0002,75,38,1,0
1100,0002,74,27,1,1
1067,0002,75,37,1,0
2836,0002,74,36,1,1
1080,0002,74,10,0,1
1044,0002,75,17,1,0
1088,0002,75,25,0,0
1043,0002,75,16,1,0
1087,0002,75,26,1,0
1042,0002,75,15,1,0
1041,0002,74,28,0,1
1085,0002,75,28,1,0
1040,0002,75,13,1,0
1082,0002,74,12,1,1
1081,0002,74,11,1,1
1315,0002,74,18,1,1
2844,0002,75,1,1,0
2843,0002,74,40,1,1
2842,0002,75,2,1,0
1477,0002,75,27,1,0
1079,0002,74,9,1,1
1078,0002,74,8,1,1
2809,0002,75,7,1,0
2808,0002,75,6,1,0
2807,0002,74,37,1,1
2806,0002,75,5,1,0
2805,0002,75,4,1,0
2804,0002,75,3,1,0
2846,0002,74,39,1,1
1091,0002,75,23,1,0
1090,0002,75,24,1,0
1055,0002,74,16,1,1
1099,0002,74,26,1,1
1054,0002,74,17,0,1
1097,0002,74,25,1,1
1096,0002,74,24,1,1
1371,0002,74,30,0,1
1051,0002,74,19,1,1
1095,0002,74,23,1,1
1094,0002,74,22,1,1
1050,0002,75,22,1,0
1093,0002,74,21,1,1
1092,0002,74,20,1,1
2812,0002,75,8,1,0
1049,0002,75,21,1,0
1048,0002,75,20,1,0
1047,0002,75,19,1,0
1046,0002,75,18,1,0
1243,0002,75,29,1,0
2819,0002,74,34,1,1
2818,0002,74,33,1,1
2817,0002,75,10,1,0
2816,0002,74,31,1,1
2815,0002,75,11,1,0
2814,0002,74,32,1,1
2813,0002,75,9,1,0
1328,0002,75,12,0,0
1143,0003,37,12,1,1
1141,0003,37,10,1,1
1139,0003,37,8,1,1
1138,0003,37,7,1,1
1137,0003,37,6,1,1
1136,0003,37,5,1,1
1135,0003,37,4,1,1
1333,0003,37,9,1,1
1134,0003,37,3,1,1
1619,0003,37,23,1,1
1618,0003,36,7,1,0
1550,0003,37,13,1,1
1152,0003,37,21,1,1
1151,0003,37,20,1,1
1150,0003,37,19,1,1
1107,0003,36,5,1,0
1106,0003,36,4,1,0
