id,lundi,mardi,mercredi,jeudi,vendredi,samedi,dimanche,dateDebut,dateFin
19,1,0,0,0,0,0,0,20160509,20160606
35,0,0,1,0,0,0,0,20160511,20160608
17,1,0,0,0,0,0,0,20160509,20160606
36,0,0,1,0,0,0,0,20160511,20160608
18,1,0,0,0,0,0,0,20160509,20160606
33,0,1,0,0,0,0,0,20160510,20160607
15,0,0,0,1,0,0,0,20160512,20160609
34,0,1,0,0,0,0,0,20160510,20160607
16,0,0,0,1,0,0,0,20160512,20160609
39,0,0,0,0,0,1,0,20160514,20160611
13,0,0,0,1,0,0,0,20160512,20160609
14,0,0,0,1,0,0,0,20160512,20160609
37,0,0,1,0,0,0,0,20160511,20160608
11,0,0,0,0,0,0,1,20160508,20160612
38,0,0,1,0,0,0,0,20160511,20160608
12,0,0,0,0,0,0,1,20160508,20160515
21,0,1,0,0,0,0,0,20160510,20160607
20,1,0,0,0,0,0,0,20160509,20160606
43,0,0,0,0,1,0,0,20160520,20160610
42,0,0,0,0,1,0,0,20160513,20160513
41,0,0,0,0,1,0,0,20160513,20160513
40,0,0,0,0,0,1,0,20160514,20160611
45,0,0,0,0,1,0,0,20160513,20160610
44,0,0,0,0,1,0,0,20160520,20160610
46,0,0,0,0,1,0,0,20160513,20160610
22,0,1,0,0,0,0,0,20160510,20160607
23,0,0,0,1,0,0,0,20160512,20160609
24,0,0,0,1,0,0,0,20160512,20160609
25,1,0,0,0,0,0,0,20160509,20160606
26,1,0,0,0,0,0,0,20160509,20160606
27,0,1,0,0,0,0,0,20160510,20160607
28,0,1,0,0,0,0,0,20160510,20160607
29,0,0,1,0,0,0,0,20160511,20160608
3,1,0,0,0,0,0,0,20160509,20160606
2,0,0,0,1,0,0,0,20160512,20160609
10,0,0,0,0,0,0,1,20160516,20160516
1,0,0,0,0,0,0,1,20160508,20160612
7,0,0,0,0,1,0,0,20160513,20160610
30,0,0,1,0,0,0,0,20160511,20160608
6,0,0,0,0,0,1,0,20160514,20160611
5,0,0,1,0,0,0,0,20160511,20160608
32,0,0,0,0,1,0,0,20160513,20160610
4,0,1,0,0,0,0,0,20160510,20160607
31,0,0,0,0,1,0,0,20160513,20160610
9,0,0,0,0,0,0,1,20160516,20160516
8,0,0,0,0,0,0,1,20160522,20160612
