arretId,correspondanceId,distance
stadren1,stadrep2,75
egherm1,egherm2,103
coteaux1,coteaux2,69
coteaux2,coteaux1,69
touca1,touca2,50
touca1,geriat2,187
touca2,touca1,50
bignon2,bignon1,61
bignon2,cram1,110
bignon2,cram2,81
steannec,steannaa,25
steannec,steanne1,142
steannec,steanne2,59
bignon1,bignon2,61
bignon1,htsance,149
bignon1,cram1,51
bignon1,cram2,51
cenbruz,cenbru2,32
egherm2,egherm1,103
lavoisi2,lavoisi1,35
lavoisi1,lavoisi2,35
painlev1,painlev2,70
painlev1,painlen1,83
painlev1,metz2,198
chenam1,chenam2,2
painlev2,painlev1,70
painlev2,painlen1,38
sevivin1,sevivin2,152
parcexp1,parcexp2,23
sevivin2,sevivin1,152
sevivin2,brizeux1,200
parcexp2,parcexp1,23
parrena1,parrena2,38
parrena2,parrena1,38
chenam2,chenam1,2
quentin2,quentin1,21
quentin2,vitrpeg2,108
quentin2,vitrpeg1,92
quentin2,vitrfou2,183
quentin2,vitrfou1,194
quentin2,vitrdan1,172
quentin2,vitrdan2,196
quentin1,quentin2,21
quentin1,vitrpeg2,87
quentin1,vitrpeg1,73
quentin1,vitrfou2,169
quentin1,vitrfou1,174
quentin1,vitrdan1,150
quentin1,vitrdan2,175
riaval2,riaval1,28
riaval1,riaval2,28
repto1,repjof2,46
repto1,repjof3,50
repto1,repjof4,18
repto1,repx2,146
repto1,zola1,187
repto1,repwe,160
repto1,repwb,104
repto1,ptpastm1,193
repto1,repjaurs,63
repto1,repjaurn,71
repto1,repea,98
repto1,repbottb,76
repto1,repbottc,146
repto1,repjoffa,39
cimorg2,cimorg1,31
cimorg1,cimorg2,31
chdagu2,chdagu1,94
chdagu1,chdagu2,94
repjof2,repto1,46
repjof2,repjof3,12
repjof2,repjof4,28
repjof2,repx2,103
repjof2,repwe,116
repjof2,repwb,59
repjof2,ptnemoun,157
repjof2,ptnemous,158
repjof2,repjaurs,42
repjof2,repjaurn,51
repjof2,repea,53
repjof2,repbottb,50
repjof2,mairieb,179
repjof2,repbottc,114
repjof2,repjoffa,15
victoir2,victoir1,8
repjof3,repto1,50
