id,direction
1,Patton
2,Lycée Bréquigny
3,Cleunay
4,Saint-Laurent
5,Chartres Collège Pôle Sud
6,Romillé Langan Chap. Béch. Miniac
7,Cesson-Sévigné Champs Blancs
8,Chantepie Rosa Parks
9,J.F. Kennedy
10,La Poterie
11,Saint-Jacques Morinais
12,Cesson-Sévigné Rigourdière
13,Noyal Saint-Erblon
14,Rennes Lycée Bréquigny
15,Orgères Bourgbarré
17,Rennes Lycée Bréquigny
16,Thorigné-Fouillard Portail
19,Betton Chevaigné
18,Betton
21,Rennes La Poterie
20,Cesson-Sévigné Lycée Ozanam
23,Rennes Lycée Assomption
22,Cesson-Sévigné Acigné
25,Betton Champ Devant
24,Saint-Grégoire Lycée Jean-Paul II
27,Betton Chevaigné
26,Rennes Lycée Assomption
29,Rennes République
28,Rennes Collège Cleunay
31,Saint-Laurent
30,Chavagne
34,Montgermont La Chapelle
35,Montgermont Chapelle Gévezé
32,Henri Fréville
33,Pacé Collèges
38,Montgermont Chapelle Gévezé
39,Saint-Grégoire Lycée Jean-Paul II
36,Vezin-le-Coquet Haie de Terre
37,Saint-Gilles Île des Bois
42,Chevaigné
43,Cesson-Sévigné Lycée Ozanam
40,Rennes République
41,Betton Collège François Truffaut
46,Bruz Lavoisier
47,Saint-Grégoire
44,Pont-Péan Mouton Blanc
45,Cesson-Sévigné Château de Vaux
51,Villejean Churchill
50,Pacé Pie Neuve
49,Saint-Grégoire Lycée Jean-Paul II
48,Bruz Centre
55,Pacé Parthenay-de-B.
54,Pacé Cimetière
53,Montgermont Chapelle Gévezé
52,Rennes Place Hoche
59,Rennes Villejean-Université
58,Pacé Pâtis Roussel
57,Rennes Villejean-Université
56,Cesson-Sévigné Base de Loisirs
63,Orgères L'Hermitière Village
62,Grand Quartier
61,Le Rheu
60,Le Rheu Cintré
68,ZI Ouest
69,Parthenay Clayes
70,Saint-Saëns
71,Noyal Saint-Erblon Orgères Bourg.
64,La Poterie
65,Pont-Péan Mouton Blanc
66,Thorigné-Fouillard
67,Rennes République
76,Bruz Collège Saint-Joseph
77,L'Hermitage
78,La Chapelle-Thouarault
79,Chavagne Croix Blanche
72,Rennes Henri Fréville
73,Haut Sancé
74,Saint-Erblon Leuzières
75,Orgères Collège Andrée Récipon
85,République
84,Beaulieu
87,Vezin L'Hermitage
86,Villejean
81,Bruz Lycée Anita Conti
80,Pacé Collèges
83,Chantepie Cucé
82,Chartres Vieux Bourg
93,Le Rheu Mordelles Chavagne
92,Le Rheu Mordelles Le Verger
95,Rennes République
94,Montgermont La Chapelle
89,Saint-Jacques Gautrais
88,Rennes Lycée Basch
91,Le Rheu Lycée Théodore Monod
90,Rennes Charles de Gaulle
102,Rennes République
103,Mordelles Pâtis
100,Acigné
101,Le Rheu Lycée Théodore Monod
98,Rennes République
99,L'Hermitage Saint-Gilles
96,Rennes Lycée Mendès-France
97,Vezin Hermitage Chapelle-Th.
110,Rennes République
111,Rennes République
108,Ker-Lann
109,Pacé Collèges
106,L'Hermitage La Chapelle-Th.
