arret_id,trajet_id,heure_depart,stop_sequence,terminus
1497,29069,457,1,0
1618,29069,472,2,0
1637,29069,474,3,1
1497,29067,457,1,0
1618,29067,472,2,0
1637,29067,474,3,1
1497,29068,457,1,0
1618,29068,472,2,0
1637,29068,474,3,1
1638,29076,733,1,0
1619,29076,735,2,0
1497,29076,750,3,1
1638,29072,1085,1,0
1619,29072,1087,2,0
1497,29072,1100,3,1
1638,29073,1085,1,0
1619,29073,1087,2,0
1497,29073,1100,3,1
1638,29074,1085,1,0
1619,29074,1087,2,0
1497,29074,1100,3,1
1638,29075,1085,1,0
1619,29075,1087,2,0
1497,29075,1100,3,1
1497,29070,457,1,0
1618,29070,472,2,0
1637,29070,474,3,1
1497,29071,457,1,0
1618,29071,472,2,0
1637,29071,474,3,1
