arret_id,trajet_id,heure_depart,stop_sequence,terminus
5006,43359,503,6,0
5007,43359,504,7,0
5008,43359,505,8,0
5009,43359,507,9,0
5010,43359,507,10,0
5011,43359,509,11,0
5012,43359,510,12,0
5013,43359,511,13,0
5014,43359,512,14,0
5015,43359,513,15,1
5001,43352,484,1,0
5002,43352,485,2,0
5003,43352,487,3,0
5004,43352,488,4,0
5005,43352,489,5,0
5006,43352,490,6,0
5007,43352,491,7,0
5008,43352,492,8,0
5009,43352,494,9,0
5010,43352,495,10,0
5011,43352,496,11,0
5012,43352,497,12,0
5013,43352,498,13,0
5014,43352,499,14,0
5015,43352,500,15,1
5001,43351,482,1,0
5002,43351,483,2,0
5003,43351,485,3,0
5004,43351,486,4,0
5005,43351,487,5,0
5006,43351,488,6,0
5007,43351,489,7,0
5008,43351,490,8,0
5009,43351,492,9,0
5010,43351,493,10,0
5011,43351,494,11,0
5012,43351,495,12,0
5013,43351,496,13,0
5014,43351,497,14,0
5015,43351,498,15,1
5001,43354,488,1,0
5002,43354,489,2,0
5003,43354,490,3,0
5004,43354,492,4,0
5005,43354,493,5,0
5006,43354,494,6,0
5007,43354,495,7,0
5008,43354,496,8,0
5009,43354,497,9,0
5010,43354,498,10,0
5011,43354,499,11,0
5012,43354,501,12,0
5013,43354,502,13,0
5014,43354,502,14,0
5015,43354,504,15,1
5001,43353,486,1,0
5002,43353,487,2,0
5003,43353,489,3,0
5004,43353,490,4,0
5005,43353,491,5,0
5006,43353,492,6,0
5007,43353,493,7,0
5008,43353,494,8,0
5009,43353,496,9,0
5010,43353,496,10,0
5011,43353,498,11,0
5012,43353,499,12,0
5013,43353,500,13,0
5014,43353,501,14,0
5015,43353,502,15,1
5001,45499,491,1,0
5002,45499,492,2,0
5003,45499,493,3,0
5004,45499,494,4,0
5005,45499,495,5,0
5006,45499,497,6,0
5007,45499,498,7,0
5008,45499,498,8,0
5009,45499,500,9,0
5010,45499,501,10,0
5011,45499,502,11,0
5012,45499,503,12,0
5013,45499,504,13,0
5014,45499,505,14,0
5015,45499,507,15,1
5001,43356,492,1,0
5002,43356,493,2,0
5003,43356,494,3,0
5004,43356,495,4,0
5005,43356,496,5,0
5006,43356,498,6,0
5007,43356,499,7,0
5008,43356,499,8,0
5009,43356,501,9,0
5010,43356,502,10,0
5011,43356,503,11,0
5012,43356,504,12,0
5013,43356,505,13,0
5014,43356,506,14,0
5015,43356,508,15,1
5001,45498,486,1,0
5002,45498,487,2,0
5003,45498,488,3,0
5004,45498,489,4,0
5005,45498,490,5,0
5006,45498,492,6,0
5007,45498,493,7,0
5008,45498,493,8,0
5009,45498,495,9,0
5010,45498,496,10,0
5011,45498,497,11,0
5012,45498,498,12,0
5013,45498,499,13,0
5014,45498,500,14,0
5015,45498,502,15,1
5001,43355,490,1,0
5002,43355,491,2,0
5003,43355,492,3,0
5004,43355,493,4,0
5005,43355,495,5,0
5006,43355,496,6,0
5007,43355,497,7,0
5008,43355,497,8,0
5009,43355,499,9,0
5010,43355,500,10,0
5011,43355,501,11,0
5012,43355,502,12,0
5013,43355,503,13,0
5014,43355,504,14,0
5015,43355,506,15,1
5001,45497,482,1,0
5002,45497,483,2,0
5003,45497,484,3,0
5004,45497,485,4,0
5005,45497,486,5,0
5006,45497,488,6,0
5007,45497,489,7,0
5008,45497,489,8,0
5009,45497,491,9,0
5010,45497,492,10,0
5011,45497,493,11,0
5012,45497,494,12,0
5013,45497,495,13,0
5014,45497,496,14,0
5015,45497,498,15,1
5001,43358,495,1,0
5002,43358,496,2,0
5003,43358,498,3,0
5004,43358,499,4,0
5005,43358,500,5,0
5006,43358,501,6,0
5007,43358,502,7,0
5008,43358,503,8,0
5009,43358,505,9,0
5010,43358,506,10,0
5011,43358,507,11,0
5012,43358,508,12,0
5013,43358,509,13,0
5014,43358,510,14,0
5015,43358,511,15,1
5001,45496,477,1,0
5002,45496,478,2,0
5003,45496,479,3,0
5004,45496,480,4,0
5005,45496,481,5,0
5006,45496,483,6,0
5007,45496,484,7,0
5008,45496,484,8,0
5009,45496,486,9,0
5010,45496,487,10,0
5011,45496,488,11,0
5012,45496,489,12,0
5013,45496,490,13,0
5014,45496,491,14,0
5015,45496,493,15,1
5001,43357,493,1,0
5002,43357,494,2,0
5003,43357,496,3,0
5004,43357,497,4,0
5005,43357,498,5,0
5006,43357,499,6,0
5007,43357,500,7,0
5008,43357,501,8,0
5009,43357,503,9,0
5010,43357,504,10,0
5011,43357,505,11,0
5012,43357,506,12,0
5013,43357,507,13,0
5014,43357,508,14,0
5015,43357,509,15,1
5001,43360,499,1,0
5002,43360,500,2,0
5003,43360,501,3,0
5004,43360,503,4,0
5005,43360,504,5,0
5006,43360,505,6,0
5007,43360,506,7,0
5008,43360,507,8,0
5009,43360,508,9,0
5010,43360,509,10,0
5011,43360,510,11,0
5012,43360,512,12,0
5013,43360,513,13,0
5014,43360,513,14,0
5015,43360,515,15,1
5001,43361,501,1,0
5002,43361,502,2,0
5003,43361,503,3,0
5004,43361,504,4,0
5005,43361,506,5,0
5006,43361,507,6,0
5007,43361,508,7,0
5008,43361,508,8,0
5009,43361,510,9,0
5010,43361,511,10,0
5011,43361,512,11,0
5012,43361,513,12,0
5013,43361,514,13,0
5014,43361,515,14,0
5015,43361,517,15,1
5001,43369,515,1,0
5002,43369,516,2,0
5003,43369,518,3,0
5004,43369,519,4,0
5005,43369,520,5,0
5006,43369,521,6,0
5007,43369,522,7,0
5008,43369,523,8,0
5009,43369,525,9,0
5010,43369,526,10,0
5011,43369,527,11,0
5012,43369,528,12,0
5013,43369,529,13,0
5014,43369,530,14,0
5015,43369,531,15,1
5001,43368,514,1,0
5002,43368,515,2,0
5003,43368,516,3,0
5004,43368,517,4,0
5005,43368,518,5,0
5006,43368,520,6,0
5007,43368,521,7,0
5008,43368,521,8,0
5009,43368,523,9,0
5010,43368,524,10,0
5011,43368,525,11,0
5012,43368,526,12,0
5013,43368,527,13,0
5014,43368,528,14,0
5015,43368,530,15,1
5001,43367,512,1,0
5002,43367,513,2,0
5003,43367,514,3,0
5004,43367,515,4,0
5005,43367,517,5,0
5006,43367,518,6,0
5007,43367,519,7,0
5008,43367,519,8,0
5009,43367,521,9,0
5010,43367,522,10,0
5011,43367,523,11,0
5012,43367,524,12,0
5013,43367,525,13,0
5014,43367,526,14,0
5015,43367,528,15,1
5001,43366,510,1,0
5002,43366,511,2,0
5003,43366,512,3,0
5004,43366,514,4,0
5005,43366,515,5,0
5006,43366,516,6,0
5007,43366,517,7,0
5008,43366,518,8,0
5009,43366,519,9,0
5010,43366,520,10,0
5011,43366,521,11,0
5012,43366,523,12,0
5013,43366,524,13,0
5014,43366,524,14,0
5015,43366,526,15,1
5001,43365,508,1,0
5002,43365,509,2,0
5003,43365,511,3,0
5004,43365,512,4,0
5005,43365,513,5,0
5006,43365,514,6,0
5007,43365,515,7,0
5008,43365,516,8,0
5009,43365,518,9,0
5010,43365,518,10,0
5011,43365,520,11,0
5012,43365,521,12,0
5013,43365,522,13,0
5014,43365,523,14,0
5015,43365,524,15,1
5001,43364,506,1,0
5002,43364,507,2,0
5003,43364,509,3,0
5004,43364,510,4,0
5005,43364,511,5,0
5006,43364,512,6,0
5007,43364,513,7,0
5008,43364,514,8,0
5009,43364,516,9,0
5010,43364,517,10,0
5011,43364,518,11,0
5012,43364,519,12,0
5013,43364,520,13,0
5014,43364,521,14,0
5015,43364,522,15,1
5001,43363,504,1,0
5002,43363,505,2,0
5003,43363,507,3,0
5004,43363,508,4,0
5005,43363,509,5,0
5006,43363,510,6,0
5007,43363,511,7,0
5008,43363,512,8,0
5009,43363,514,9,0
5010,43363,515,10,0
5011,43363,516,11,0
5012,43363,517,12,0
5013,43363,518,13,0
5014,43363,519,14,0
5015,43363,520,15,1
5001,43362,503,1,0
5002,43362,504,2,0
5003,43362,505,3,0
5004,43362,506,4,0
5005,43362,507,5,0
5006,43362,509,6,0
5007,43362,510,7,0
5008,43362,510,8,0
5009,43362,512,9,0
5010,43362,513,10,0
5011,43362,514,11,0
5012,43362,515,12,0
5013,43362,516,13,0
5014,43362,517,14,0
5015,43362,519,15,1
5001,43370,517,1,0
5002,43370,518,2,0
5003,43370,520,3,0
5004,43370,521,4,0
5005,43370,522,5,0
5006,43370,523,6,0
5007,43370,524,7,0
5008,43370,525,8,0
5009,43370,527,9,0
5010,43370,528,10,0
5011,43370,529,11,0
5012,43370,530,12,0
5013,43370,531,13,0
5014,43370,532,14,0
5015,43370,533,15,1
5001,43371,519,1,0
5002,43371,520,2,0
5003,43371,522,3,0
5004,43371,523,4,0
5005,43371,524,5,0
5006,43371,525,6,0
5007,43371,526,7,0
5008,43371,527,8,0
5009,43371,529,9,0
5010,43371,529,10,0
5011,43371,531,11,0
5012,43371,532,12,0
5013,43371,533,13,0
5014,43371,534,14,0
5015,43371,535,15,1
5001,43372,521,1,0
5002,43372,522,2,0
5003,43372,523,3,0
5004,43372,525,4,0
5005,43372,526,5,0
5006,43372,527,6,0
5007,43372,528,7,0
5008,43372,529,8,0
5009,43372,530,9,0
5010,43372,531,10,0
5011,43372,532,11,0
5012,43372,534,12,0
5013,43372,535,13,0
5014,43372,535,14,0
5015,43372,537,15,1
5001,43378,532,1,0
5002,43378,533,2,0
5003,43378,534,3,0
5004,43378,536,4,0
5005,43378,537,5,0
5006,43378,538,6,0
5007,43378,539,7,0
5008,43378,540,8,0
5009,43378,541,9,0
5010,43378,542,10,0
5011,43378,543,11,0
5012,43378,545,12,0
5013,43378,546,13,0
5014,43378,546,14,0
5015,43378,548,15,1
5001,43377,530,1,0
5002,43377,531,2,0
5003,43377,533,3,0
5004,43377,534,4,0
5005,43377,535,5,0
5006,43377,536,6,0
5007,43377,537,7,0
5008,43377,538,8,0
5009,43377,540,9,0
5010,43377,540,10,0
5011,43377,542,11,0
5012,43377,543,12,0
5013,43377,544,13,0
5014,43377,545,14,0
5015,43377,546,15,1
5001,43379,534,1,0
5002,43379,535,2,0
5003,43379,536,3,0
5004,43379,537,4,0
5005,43379,539,5,0
5006,43379,540,6,0
5007,43379,541,7,0
5008,43379,541,8,0
5009,43379,543,9,0
5010,43379,544,10,0
5011,43379,545,11,0
5012,43379,546,12,0
5013,43379,547,13,0
5014,43379,548,14,0
5015,43379,550,15,1
5001,43374,525,1,0
5002,43374,526,2,0
5003,43374,527,3,0
5004,43374,528,4,0
5005,43374,529,5,0
5006,43374,531,6,0
5007,43374,532,7,0
5008,43374,532,8,0
5009,43374,534,9,0
5010,43374,535,10,0
5011,43374,536,11,0
5012,43374,537,12,0
5013,43374,538,13,0
5014,43374,539,14,0
5015,43374,541,15,1
5001,43373,523,1,0
5002,43373,524,2,0
5003,43373,525,3,0
5004,43373,526,4,0
5005,43373,528,5,0
5006,43373,529,6,0
5007,43373,530,7,0
5008,43373,530,8,0
5009,43373,532,9,0
5010,43373,533,10,0
5011,43373,534,11,0
5012,43373,535,12,0
5013,43373,536,13,0
5014,43373,537,14,0
5015,43373,539,15,1
5001,43376,528,1,0
5002,43376,529,2,0
5003,43376,531,3,0
5004,43376,532,4,0
5005,43376,533,5,0
5006,43376,534,6,0
5007,43376,535,7,0
5008,43376,536,8,0
5009,43376,538,9,0
5010,43376,539,10,0
5011,43376,540,11,0
5012,43376,541,12,0
5013,43376,542,13,0
5014,43376,543,14,0
5015,43376,544,15,1
5001,43375,526,1,0
5002,43375,527,2,0
5003,43375,529,3,0
5004,43375,530,4,0
5005,43375,531,5,0
5006,43375,532,6,0
5007,43375,533,7,0
5008,43375,534,8,0
5009,43375,536,9,0
5010,43375,537,10,0
5011,43375,538,11,0
5012,43375,539,12,0
5013,43375,540,13,0
5014,43375,541,14,0
5015,43375,542,15,1
5001,43383,541,1,0
5002,43383,542,2,0
5003,43383,544,3,0
5004,43383,545,4,0
5005,43383,546,5,0
5006,43383,547,6,0
5007,43383,548,7,0
5008,43383,549,8,0
5009,43383,551,9,0
5010,43383,551,10,0
5011,43383,553,11,0
5012,43383,554,12,0
5013,43383,555,13,0
5014,43383,556,14,0
5015,43383,557,15,1
5001,43382,539,1,0
5002,43382,540,2,0
5003,43382,542,3,0
5004,43382,543,4,0
5005,43382,544,5,0
5006,43382,545,6,0
5007,43382,546,7,0
5008,43382,547,8,0
5009,43382,549,9,0
5010,43382,550,10,0
5011,43382,551,11,0
5012,43382,552,12,0
5013,43382,553,13,0
5014,43382,554,14,0
5015,43382,555,15,1
5001,43381,537,1,0
5002,43381,538,2,0
5003,43381,540,3,0
5004,43381,541,4,0
5005,43381,542,5,0
5006,43381,543,6,0
5007,43381,544,7,0
5008,43381,545,8,0
5009,43381,547,9,0
5010,43381,548,10,0
5011,43381,549,11,0
5012,43381,550,12,0
5013,43381,551,13,0
5014,43381,552,14,0
5015,43381,553,15,1
5001,43380,536,1,0
5002,43380,537,2,0
5003,43380,538,3,0
5004,43380,539,4,0
5005,43380,540,5,0
5006,43380,542,6,0
5007,43380,543,7,0
5008,43380,543,8,0
5009,43380,545,9,0
5010,43380,546,10,0
5011,43380,547,11,0
5012,43380,548,12,0
5013,43380,549,13,0
5014,43380,550,14,0
5015,43380,552,15,1
5001,43386,547,1,0
5002,43386,548,2,0
5003,43386,549,3,0
5004,43386,550,4,0
5005,43386,551,5,0
5006,43386,553,6,0
5007,43386,554,7,0
5008,43386,554,8,0
5009,43386,556,9,0
5010,43386,557,10,0
5011,43386,558,11,0
5012,43386,559,12,0
5013,43386,560,13,0
5014,43386,561,14,0
5015,43386,563,15,1
5001,43387,550,1,0
5002,43387,551,2,0
5003,43387,552,3,0
5004,43387,553,4,0
5005,43387,554,5,0
5006,43387,556,6,0
5007,43387,557,7,0
5008,43387,557,8,0
