terminus,heure_depart,trajet_id,stop_sequence,arret_id
0,928,3637,1,schustj1
0,930,3637,2,coeurca1
0,931,3637,3,etangs1
0,932,3637,4,rdkerll1
0,948,3637,5,plelo1
1,950,3637,6,repx2
0,512,3792,1,repbottc
0,514,3792,2,plelo2
0,531,3792,3,rdkerln2
0,532,3792,4,etangs2
0,533,3792,5,coeurca2
1,535,3792,6,schustj2
0,472,3814,1,repbottc
0,474,3814,2,plelo2
0,490,3814,3,rdkerln2
0,491,3814,4,etangs2
0,492,3814,5,coeurca2
1,494,3814,6,schustj2
0,970,3011,1,schustj1
0,972,3011,2,coeurca1
0,973,3011,3,etangs1
0,974,3011,4,rdkerll1
0,990,3011,5,plelo1
1,992,3011,6,repx2
0,1085,2796,1,schustj1
0,1087,2796,2,coeurca1
0,1089,2796,3,etangs1
0,1091,2796,4,rdkerll1
0,1107,2796,5,plelo1
1,1109,2796,6,repx2
0,1050,4288,1,schustj1
0,1052,4288,2,coeurca1
0,1054,4288,3,etangs1
0,1056,4288,4,rdkerll1
0,1073,4288,5,plelo1
1,1075,4288,6,repx2
0,452,1376,1,repbottc
0,454,1376,2,plelo2
0,470,1376,3,rdkerln2
0,471,1376,4,etangs2
0,472,1376,5,coeurca2
1,474,1376,6,schustj2
0,1030,800,1,schustj1
0,1032,800,2,coeurca1
0,1034,800,3,etangs1
0,1036,800,4,rdkerll1
0,1053,800,5,plelo1
1,1055,800,6,repx2
0,990,840,1,schustj1
0,992,840,2,coeurca1
0,993,840,3,etangs1
0,994,840,4,rdkerll1
0,1010,840,5,plelo1
1,1012,840,6,repx2
0,532,837,1,repbottc
0,534,837,2,plelo2
0,551,837,3,rdkerln2
0,552,837,4,etangs2
0,553,837,5,coeurca2
1,555,837,6,schustj2
0,1065,1255,1,schustj1
0,1067,1255,2,coeurca1
0,1069,1255,3,etangs1
0,1071,1255,4,rdkerll1
0,1088,1255,5,plelo1
1,1090,1255,6,repx2
0,492,5222,1,repbottc
0,494,5222,2,plelo2
0,511,5222,3,rdkerln2
0,512,5222,4,etangs2
0,513,5222,5,coeurca2
1,515,5222,6,schustj2
0,1010,4012,1,schustj1
0,1012,4012,2,coeurca1
0,1013,4012,3,etangs1
0,1014,4012,4,rdkerll1
0,1030,4012,5,plelo1
1,1032,4012,6,repx2
