arret_id,trajet_id,heure_depart,stop_sequence,terminus
POT1,6766,317,1,0
BLO1,6766,318,2,0
TRI1,6766,319,3,0
ITA1,6766,320,4,0
HFR1,6766,321,5,0
GCL1,6766,322,6,0
JCA1,6766,323,7,0
GAR1,6766,325,8,0
CDG1,6766,326,9,0
REP1,6766,327,10,0
STA1,6766,328,11,0
ANF1,6766,329,12,0
PON1,6766,330,13,0
VU1,6766,332,14,0
JFK1,6766,333,15,1
JFK2,6767,316,1,0
VU2,6767,317,2,0
PON2,6767,318,3,0
ANF2,6767,319,4,0
STA2,6767,321,5,0
REP2,6767,322,6,0
CDG2,6767,323,7,0
GAR2,6767,324,8,0
JCA2,6767,325,9,0
GCL2,6767,327,10,0
HFR2,6767,328,11,0
ITA2,6767,329,12,0
TRI2,6767,330,13,0
BLO2,6767,331,14,0
POT2,6767,333,15,1
POT1,6768,321,1,0
BLO1,6768,322,2,0
TRI1,6768,323,3,0
ITA1,6768,324,4,0
HFR1,6768,326,5,0
GCL1,6768,327,6,0
JCA1,6768,328,7,0
GAR1,6768,329,8,0
CDG1,6768,330,9,0
REP1,6768,332,10,0
STA1,6768,333,11,0
ANF1,6768,334,12,0
PON1,6768,335,13,0
VU1,6768,337,14,0
JFK1,6768,338,15,1
JFK2,6769,320,1,0
VU2,6769,321,2,0
PON2,6769,322,3,0
ANF2,6769,323,4,0
STA2,6769,325,5,0
REP2,6769,326,6,0
CDG2,6769,327,7,0
GAR2,6769,329,8,0
JCA2,6769,330,9,0
GCL2,6769,331,10,0
HFR2,6769,332,11,0
ITA2,6769,333,12,0
TRI2,6769,335,13,0
BLO2,6769,336,14,0
POT2,6769,338,15,1
POT1,6770,326,1,0
BLO1,6770,327,2,0
TRI1,6770,328,3,0
ITA1,6770,329,4,0
HFR1,6770,330,5,0
GCL1,6770,331,6,0
JCA1,6770,332,7,0
GAR1,6770,334,8,0
CDG1,6770,335,9,0
REP1,6770,336,10,0
STA1,6770,337,11,0
ANF1,6770,338,12,0
PON1,6770,339,13,0
VU1,6770,341,14,0
JFK1,6770,342,15,1
JFK2,6771,325,1,0
VU2,6771,326,2,0
PON2,6771,327,3,0
ANF2,6771,328,4,0
STA2,6771,329,5,0
REP2,6771,331,6,0
CDG2,6771,332,7,0
GAR2,6771,333,8,0
JCA2,6771,334,9,0
GCL2,6771,336,10,0
HFR2,6771,337,11,0
ITA2,6771,338,12,0
TRI2,6771,339,13,0
BLO2,6771,340,14,0
POT2,6771,342,15,1
POT1,6772,330,1,0
BLO1,6772,331,2,0
TRI1,6772,332,3,0
ITA1,6772,333,4,0
HFR1,6772,335,5,0
GCL1,6772,336,6,0
JCA1,6772,337,7,0
GAR1,6772,338,8,0
CDG1,6772,339,9,0
REP1,6772,341,10,0
STA1,6772,342,11,0
ANF1,6772,343,12,0
PON1,6772,344,13,0
VU1,6772,346,14,0
JFK1,6772,347,15,1
JFK2,6773,329,1,0
VU2,6773,330,2,0
PON2,6773,331,3,0
ANF2,6773,332,4,0
STA2,6773,334,5,0
REP2,6773,335,6,0
CDG2,6773,336,7,0
GAR2,6773,338,8,0
JCA2,6773,339,9,0
GCL2,6773,340,10,0
HFR2,6773,341,11,0
ITA2,6773,342,12,0
TRI2,6773,344,13,0
BLO2,6773,345,14,0
POT2,6773,347,15,1
POT1,6774,335,1,0
BLO1,6774,336,2,0
TRI1,6774,337,3,0
ITA1,6774,338,4,0
HFR1,6774,339,5,0
GCL1,6774,340,6,0
JCA1,6774,341,7,0
GAR1,6774,343,8,0
CDG1,6774,344,9,0
REP1,6774,345,10,0
STA1,6774,346,11,0
ANF1,6774,347,12,0
PON1,6774,348,13,0
VU1,6774,350,14,0
JFK1,6774,351,15,1
JFK2,6775,334,1,0
VU2,6775,335,2,0
PON2,6775,336,3,0
ANF2,6775,337,4,0
STA2,6775,339,5,0
REP2,6775,340,6,0
CDG2,6775,341,7,0
GAR2,6775,342,8,0
JCA2,6775,343,9,0
GCL2,6775,345,10,0
HFR2,6775,346,11,0
ITA2,6775,347,12,0
TRI2,6775,348,13,0
BLO2,6775,350,14,0
POT2,6775,353,15,1
POT1,6776,339,1,0
BLO1,6776,340,2,0
TRI1,6776,341,3,0
ITA1,6776,342,4,0
HFR1,6776,344,5,0
GCL1,6776,345,6,0
JCA1,6776,346,7,0
GAR1,6776,347,8,0
CDG1,6776,348,9,0
REP1,6776,350,10,0
STA1,6776,351,11,0
ANF1,6776,352,12,0
PON1,6776,353,13,0
VU1,6776,355,14,0
JFK1,6776,356,15,1
JFK2,6777,338,1,0
VU2,6777,339,2,0
PON2,6777,340,3,0
ANF2,6777,341,4,0
STA2,6777,343,5,0
REP2,6777,344,6,0
CDG2,6777,346,7,0
GAR2,6777,347,8,0
JCA2,6777,348,9,0
GCL2,6777,349,10,0
HFR2,6777,350,11,0
ITA2,6777,351,12,0
TRI2,6777,353,13,0
BLO2,6777,354,14,0
POT2,6777,356,15,1
POT1,6778,344,1,0
BLO1,6778,345,2,0
TRI1,6778,346,3,0
ITA1,6778,347,4,0
HFR1,6778,348,5,0
GCL1,6778,349,6,0
JCA1,6778,350,7,0
GAR1,6778,352,8,0
CDG1,6778,353,9,0
REP1,6778,354,10,0
STA1,6778,355,11,0
ANF1,6778,356,12,0
PON1,6778,357,13,0
VU1,6778,359,14,0
JFK1,6778,360,15,1
JFK2,6779,343,1,0
VU2,6779,344,2,0
PON2,6779,345,3,0
ANF2,6779,346,4,0
STA2,6779,348,5,0
REP2,6779,349,6,0
CDG2,6779,350,7,0
GAR2,6779,351,8,0
JCA2,6779,352,9,0
GCL2,6779,354,10,0
HFR2,6779,355,11,0
ITA2,6779,356,12,0
TRI2,6779,357,13,0
BLO2,6779,358,14,0
POT2,6779,360,15,1
POT1,6780,348,1,0
BLO1,6780,349,2,0
TRI1,6780,350,3,0
ITA1,6780,351,4,0
HFR1,6780,353,5,0
GCL1,6780,354,6,0
JCA1,6780,355,7,0
GAR1,6780,356,8,0
CDG1,6780,357,9,0
REP1,6780,359,10,0
STA1,6780,360,11,0
ANF1,6780,361,12,0
PON1,6780,362,13,0
VU1,6780,364,14,0
JFK1,6780,365,15,1
JFK2,6781,347,1,0
VU2,6781,348,2,0
PON2,6781,349,3,0
ANF2,6781,350,4,0
STA2,6781,352,5,0
REP2,6781,353,6,0
CDG2,6781,355,7,0
GAR2,6781,356,8,0
JCA2,6781,357,9,0
GCL2,6781,358,10,0
HFR2,6781,359,11,0
ITA2,6781,360,12,0
TRI2,6781,362,13,0
BLO2,6781,363,14,0
POT2,6781,365,15,1
POT1,6782,353,1,0
BLO1,6782,354,2,0
TRI1,6782,355,3,0
ITA1,6782,356,4,0
HFR1,6782,357,5,0
GCL1,6782,358,6,0
JCA1,6782,359,7,0
GAR1,6782,361,8,0
CDG1,6782,362,9,0
REP1,6782,363,10,0
STA1,6782,364,11,0
ANF1,6782,365,12,0
PON1,6782,366,13,0
VU1,6782,368,14,0
JFK1,6782,369,15,1
JFK2,6783,352,1,0
VU2,6783,353,2,0
PON2,6783,354,3,0
ANF2,6783,355,4,0
STA2,6783,357,5,0
REP2,6783,358,6,0
CDG2,6783,359,7,0
GAR2,6783,360,8,0
JCA2,6783,361,9,0
GCL2,6783,363,10,0
HFR2,6783,364,11,0
ITA2,6783,365,12,0
