terminus,heure_depart,trajet_id,stop_sequence,arret_id
0,1841,3289,2,bourdon1
0,1844,3289,3,gouges1
0,1845,3289,4,boislab1
0,1847,3289,5,villuni1
0,1848,3289,6,moulin1
0,1849,3289,7,berger1
0,1850,3289,8,lasalle1
0,1852,3289,9,marbeuf1
0,1853,3289,10,lguillg1
0,1854,3289,11,chqpost1
0,1855,3289,12,mail1
0,1855,3289,13,ptbreta1
0,1856,3289,14,plbreta1
1,1857,3289,15,repea
0,1501,3485,2,bourdon1
0,1505,3485,3,gouges1
0,1506,3485,4,boislab1
0,1507,3485,5,villuni1
0,1508,3485,6,moulin1
0,1510,3485,7,berger1
0,1512,3485,8,lasalle1
0,1513,3485,9,marbeuf1
0,1514,3485,10,lguillg1
0,1515,3485,11,chqpost1
0,1517,3485,12,mail1
0,1517,3485,13,ptbreta1
0,1518,3485,14,plbreta1
1,1519,3485,15,repea
0,1526,2969,2,bourdon1
0,1530,2969,3,gouges1
0,1531,2969,4,boislab1
0,1532,2969,5,villuni1
0,1533,2969,6,moulin1
0,1535,2969,7,berger1
0,1537,2969,8,lasalle1
0,1538,2969,9,marbeuf1
0,1539,2969,10,lguillg1
0,1540,2969,11,chqpost1
0,1542,2969,12,mail1
0,1542,2969,13,ptbreta1
0,1543,2969,14,plbreta1
1,1544,2969,15,repea
0,1505,6831,1,repwb
0,1506,6831,2,plbreta2
0,1507,6831,3,ptbreta2
0,1508,6831,4,mail2
0,1509,6831,5,chqpost2
0,1511,6831,6,lguillg2
0,1511,6831,7,marbeuf2
0,1513,6831,8,lasalle2
0,1514,6831,9,berger2
0,1515,6831,10,moulin2
0,1517,6831,11,villuni2
1,1518,6831,12,boislab2
0,1625,4701,1,repwb
0,1626,4701,2,plbreta2
0,1627,4701,3,ptbreta2
0,1628,4701,4,mail2
0,1629,4701,5,chqpost2
0,1631,4701,6,lguillg2
0,1631,4701,7,marbeuf2
0,1633,4701,8,lasalle2
0,1634,4701,9,berger2
0,1635,4701,10,moulin2
0,1637,4701,11,villuni2
1,1638,4701,12,boislab2
0,1476,593,2,bourdon1
0,1480,593,3,gouges1
0,1481,593,4,boislab1
0,1482,593,5,villuni1
0,1483,593,6,moulin1
0,1485,593,7,berger1
0,1487,593,8,lasalle1
0,1488,593,9,marbeuf1
0,1489,593,10,lguillg1
0,1490,593,11,chqpost1
0,1492,593,12,mail1
0,1492,593,13,ptbreta1
0,1493,593,14,plbreta1
1,1494,593,15,repea
0,1780,449,1,repwb
0,1781,449,2,plbreta2
0,1782,449,3,ptbreta2
0,1783,449,4,mail2
0,1783,449,5,chqpost2
0,1785,449,6,lguillg2
0,1786,449,7,marbeuf2
0,1787,449,8,lasalle2
0,1788,449,9,berger2
0,1789,449,10,moulin2
0,1790,449,11,villuni2
1,1792,449,12,boislab2
0,1556,329,2,bourdon1
0,1560,329,3,gouges1
0,1561,329,4,boislab1
0,1562,329,5,villuni1
0,1563,329,6,moulin1
0,1565,329,7,berger1
0,1567,329,8,lasalle1
0,1568,329,9,marbeuf1
0,1569,329,10,lguillg1
0,1570,329,11,chqpost1
0,1572,329,12,mail1
0,1572,329,13,ptbreta1
0,1573,329,14,plbreta1
1,1574,329,15,repea
0,1646,1614,2,bourdon1
0,1650,1614,3,gouges1
0,1651,1614,4,boislab1
0,1652,1614,5,villuni1
0,1653,1614,6,moulin1
0,1655,1614,7,berger1
0,1657,1614,8,lasalle1
0,1658,1614,9,marbeuf1
0,1659,1614,10,lguillg1
0,1660,1614,11,chqpost1
0,1662,1614,12,mail1
0,1662,1614,13,ptbreta1
0,1663,1614,14,plbreta1
1,1664,1614,15,repea
0,1741,211,2,bourdon1
0,1744,211,3,gouges1
0,1745,211,4,boislab1
0,1747,211,5,villuni1
0,1748,211,6,moulin1
0,1749,211,7,berger1
0,1750,211,8,lasalle1
0,1752,211,9,marbeuf1
0,1753,211,10,lguillg1
0,1754,211,11,chqpost1
0,1755,211,12,mail1
0,1755,211,13,ptbreta1
0,1756,211,14,plbreta1
1,1757,211,15,repea
0,1865,5905,1,repwb
0,1866,5905,2,plbreta2
0,1867,5905,3,ptbreta2
0,1868,5905,4,mail2
0,1868,5905,5,chqpost2
0,1870,5905,6,lguillg2
0,1871,5905,7,marbeuf2
0,1872,5905,8,lasalle2
0,1873,5905,9,berger2
0,1874,5905,10,moulin2
0,1875,5905,11,villuni2
1,1877,5905,12,boislab2
0,1660,4805,1,repwb
0,1661,4805,2,plbreta2
0,1662,4805,3,ptbreta2
0,1663,4805,4,mail2
0,1664,4805,5,chqpost2
