arret_id,trajet_id,heure_depart,stop_sequence,terminus
bernard,2209,270,1,0
mtarree1,2209,271,2,0
neruda1,2209,272,3,0
condate1,2209,272,4,0
bellang1,2209,273,5,0
morbiha1,2209,274,6,0
houx1,2209,275,7,0
patton2,2209,276,8,0
hotregi1,2209,277,9,0
lgpres1,2209,277,10,0
gast1,2209,278,11,0
europe1,2209,279,12,0
tregain1,2209,280,13,0
exupery1,2209,281,14,0
metz1,2209,282,15,0
duchann1,2209,283,16,0
brizeux1,2209,284,17,0
diee2,2209,286,18,0
sevivin1,2209,287,19,0
steanne1,2209,288,20,0
chajacq1,2209,288,21,0
ptnemous,2209,290,22,0
colombi2,2209,293,23,0
beaumon2,2209,294,24,0
ginguen2,2209,295,25,0
cartier2,2209,295,26,0
palissy2,2209,296,27,0
garigli2,2209,296,28,0
dullin2,2209,297,29,0
manceau2,2209,298,30,0
suede2,2209,299,31,0
janaich2,2209,308,32,0
toutizon,2209,310,33,1
bernard,3332,240,1,0
mtarree1,3332,241,2,0
neruda1,3332,242,3,0
condate1,3332,242,4,0
bellang1,3332,243,5,0
morbiha1,3332,244,6,0
houx1,3332,245,7,0
patton2,3332,246,8,0
hotregi1,3332,247,9,0
lgpres1,3332,247,10,0
gast1,3332,248,11,0
europe1,3332,249,12,0
tregain1,3332,250,13,0
exupery1,3332,251,14,0
metz1,3332,252,15,0
duchann1,3332,253,16,0
brizeux1,3332,254,17,0
diee2,3332,256,18,0
sevivin1,3332,257,19,0
steanne1,3332,258,20,0
chajacq1,3332,258,21,0
ptnemous,3332,260,22,0
colombi2,3332,263,23,0
beaumon2,3332,264,24,0
ginguen2,3332,265,25,0
cartier2,3332,265,26,0
palissy2,3332,266,27,0
garigli2,3332,266,28,0
dullin2,3332,267,29,0
manceau2,3332,268,30,0
suede2,3332,269,31,0
janaich2,3332,278,32,0
toutizon,3332,280,33,1
anjou,3841,270,1,0
kenguye1,3841,271,2,0
bourdon1,3841,271,3,0
kennedy1,3841,272,4,0
moulin1,3841,273,5,0
berger1,3841,274,6,0
langued1,3841,275,7,0
lasalle1,3841,276,8,0
marbeuf3,3841,277,9,0
geniaux2,3841,279,10,0
stadrep2,3841,280,11,0
clisage1,3841,284,12,0
montand1,3841,284,13,0
recipon1,3841,285,14,0
guerina1,3841,286,15,0
lesseps1,3841,287,16,0
chcice1,3841,288,17,0
dargent1,3841,289,18,0
voltair1,3841,290,19,0
malakof1,3841,291,20,0
surcouf1,3841,292,21,0
inkerma1,3841,293,22,0
arsenal1,3841,294,23,0
ptnante2,3841,295,24,0
foyerre2,3841,295,25,0
mermozm2,3841,296,26,0
pilate2,3841,297,27,0
styves2,3841,298,28,0
pigeonb2,3841,299,29,0
cormr2,3841,300,30,0
janaich2,3841,308,31,0
toutizon,3841,310,32,1
loncham1,544,235,1,0
bouzat1,544,236,2,0
gallet1,544,236,3,0
donzelo1,544,236,4,0
mirabea1,544,237,5,0
turmel1,544,238,6,0
quentin1,544,239,7,0
vitrfou1,544,240,8,0
boisper1,544,240,9,0
mouljml1,544,241,10,0
ptstras1,544,242,11,0
robidou1,544,243,12,0
ptchadu3,544,243,13,0
laennec2,544,246,14,0
martin2,544,248,15,0
croixhe2,544,249,16,0
pire2,544,249,17,0
lbourg2,544,250,18,0
keratry2,544,251,19,0
vincent2,544,252,20,0
lydesca2,544,253,21,0
poteri4,544,255,22,0
galicie1,544,256,23,0
leblosn3,544,257,24,0
triangle,544,259,25,0
italie2,544,260,26,0
frevi04,544,261,27,0
norvege2,544,263,28,0
lybrqsu2,544,264,29,0
eboue2,544,265,30,0
vallstj2,544,272,31,0
janaich2,544,276,32,0
toutizon,544,278,33,1
toutizon,4902,799,1,0
janaich1,4902,800,2,0
vallstj1,4902,802,3,0
eboue1,4902,807,4,0
lybrqsu1,4902,808,5,0
norvege1,4902,808,6,0
frevi04,4902,810,7,1
loncham1,208,265,1,0
bouzat1,208,266,2,0
gallet1,208,266,3,0
donzelo1,208,266,4,0
mirabea1,208,267,5,0
turmel1,208,268,6,0
quentin1,208,269,7,0
vitrfou1,208,270,8,0
boisper1,208,270,9,0
mouljml1,208,271,10,0
ptstras1,208,272,11,0
robidou1,208,273,12,0
ptchadu3,208,273,13,0
laennec2,208,276,14,0
martin2,208,278,15,0
croixhe2,208,279,16,0
pire2,208,279,17,0
lbourg2,208,280,18,0
keratry2,208,281,19,0
vincent2,208,282,20,0
lydesca2,208,283,21,0
poteri4,208,285,22,0
galicie1,208,286,23,0
leblosn3,208,287,24,0
triangle,208,289,25,0
italie2,208,290,26,0
frevi04,208,291,27,0
norvege2,208,293,28,0
lybrqsu2,208,294,29,0
eboue2,208,295,30,0
vallstj2,208,302,31,0
janaich2,208,306,32,0
toutizon,208,308,33,1
frevi04,6478,730,1,0
janaich2,6478,740,2,0
toutizon,6478,742,3,1
anjou,6591,240,1,0
kenguye1,6591,241,2,0
bourdon1,6591,241,3,0
kennedy1,6591,242,4,0
moulin1,6591,243,5,0
berger1,6591,244,6,0
langued1,6591,245,7,0
lasalle1,6591,246,8,0
marbeuf3,6591,247,9,0
geniaux2,6591,249,10,0
stadrep2,6591,250,11,0
clisage1,6591,254,12,0
montand1,6591,254,13,0
recipon1,6591,255,14,0
guerina1,6591,256,15,0
lesseps1,6591,257,16,0
chcice1,6591,258,17,0
dargent1,6591,259,18,0
voltair1,6591,260,19,0
malakof1,6591,261,20,0
surcouf1,6591,262,21,0
inkerma1,6591,263,22,0
arsenal1,6591,264,23,0
ptnante2,6591,265,24,0
foyerre2,6591,265,25,0
mermozm2,6591,266,26,0
pilate2,6591,267,27,0
styves2,6591,268,28,0
pigeonb2,6591,269,29,0
cormr2,6591,270,30,0
janaich2,6591,278,31,0
toutizon,6591,280,32,1
