distance,correspondanceId,arretId
67,egherm2,egherm1
84,stadrep2,stadren1
19,coteaux2,coteaux1
19,coteaux1,coteaux2
57,touca2,touca1
198,geriat2,touca1
57,touca1,touca2
39,bignon1,bignon2
103,cram1,bignon2
56,cram2,bignon2
39,bignon2,bignon1
183,htsance,bignon1
67,cram1,bignon1
54,cram2,bignon1
22,steannaa,steannec
133,steanne1,steannec
63,steanne2,steannec
198,chajacq2,steannec
27,lavoisi1,lavoisi2
67,egherm1,egherm2
27,lavoisi2,lavoisi1
71,painlev2,painlev1
86,painlen1,painlev1
197,metz2,painlev1
48,chenam2,chenam1
71,painlev1,painlev2
49,painlen1,painlev2
164,sevivin2,sevivin1
81,sevigne2,sevivin1
17,parcexp2,parcexp1
164,sevivin1,sevivin2
139,sevivin3,sevivin2
132,sevigne2,sevivin2
188,brizeux1,sevivin2
17,parcexp1,parcexp2
139,sevivin2,sevivin3
197,rectora1,sevivin3
181,diee2,sevivin3
21,parrena2,parrena1
21,parrena1,parrena2
48,chenam1,chenam2
39,quentin1,quentin2
121,vitrpeg2,quentin2
102,vitrpeg1,quentin2
195,vitrfou2,quentin2
175,vitrdan1,quentin2
198,turmel1,quentin2
182,turmel2,quentin2
39,quentin2,quentin1
82,vitrpeg2,quentin1
64,vitrpeg1,quentin1
179,vitrfou2,quentin1
199,vitrfou1,quentin1
139,vitrdan1,quentin1
173,vitrdan2,quentin1
23,riaval1,riaval2
23,riaval2,riaval1
22,cimorg1,cimorg2
40,repjof2,repto1
46,repjof3,repto1
28,repjof4,repto1
163,repx2,repto1
170,repwe,repto1
110,repwb,repto1
199,ptnemoun,repto1
64,repjaurs,repto1
77,repjaurn,repto1
103,repea,repto1
83,repbottb,repto1
156,repbottc,repto1
34,repjoffa,repto1
22,cimorg2,cimorg1
121,chdagu1,chdagu2
121,chdagu2,chdagu1
40,repto1,repjof2
8,repjof3,repjof2
14,repjof4,repjof2
127,repx2,repjof2
133,repwe,repjof2
70,repwb,repjof2
161,ptnemoun,repjof2
172,ptnemous,repjof2
36,repjaurs,repjof2
57,repjaurn,repjof2
65,repea,repjof2
58,repbottb,repjof2
188,mairieb,repjof2
128,repbottc,repjof2
8,repjoffa,repjof2
46,repto1,repjof3
8,repjof2,repjof3
19,repjof4,repjof3
120,repx2,repjof3
125,repwe,repjof3
64,repwb,repjof3
154,ptnemoun,repjof3
164,ptnemous,repjof3
38,repjaurs,repjof3
62,repjaurn,repjof3
57,repea,repjof3
51,repbottb,repjof3
183,mairieb,repjof3
121,repbottc,repjof3
16,repjoffa,repjof3
39,victoir1,victoir2
39,victoir2,victoir1
31,ouessa2,ouessa1
84,stadren1,stadrep2
144,donelie1,donelie2
32,basvil2,basvil1
32,basvil1,basvil2
8,calvcha2,calvcha1
8,calvcha1,calvcha2
144,donelie2,donelie1
156,troicro2,donelie1
14,voltair2,voltair1
14,voltair1,voltair2
196,chapitr1,chapitr2
196,chapitr2,chapitr1
39,chnoel1,chnoel2
39,chnoel2,chnoel1
29,monnia2,monnia1
29,monnia1,monnia2
29,paam1,paam2
31,ouessa1,ouessa2
29,paam2,paam1
24,maconu2,maconu1
24,maconu1,maconu2
25,macceui2,macceui1
25,macceui1,macceui2
28,repto1,repjof4
14,repjof2,repjof4
19,repjof3,repjof4
136,repx2,repjof4
142,repwe,repjof4
82,repwb,repjof4
171,ptnemoun,repjof4
181,ptnemous,repjof4
47,repjaurs,repjof4
67,repjaurn,repjof4
75,repea,repjof4
59,repbottb,repjof4
132,repbottc,repjof4
13,repjoffa,repjof4
29,valosta2,valosta1
21,macheva1,macheva2
30,htbois2,htbois1
18,broceli1,broceli2
148,omblais2,broceli2
127,omblais1,broceli2
21,macheva2,macheva1
30,htbois1,htbois2
29,terseul2,terseul1
17,brest2,brest1
22,anatfra1,anatfra2
102,anatfra4,anatfra2
156,anatfra3,anatfra2
17,brest1,brest2
22,anatfra2,anatfra1
97,anatfra4,anatfra1
162,anatfra3,anatfra1
62,cxignon1,cxignon2
102,anatfra2,anatfra4
97,anatfra1,anatfra4
86,anatfra3,anatfra4
156,anatfra2,anatfra3
162,anatfra1,anatfra3
86,anatfra4,anatfra3
178,legrave1,anatfra3
170,legrave2,anatfra3
18,broceli2,broceli1
143,omblais2,broceli1
120,omblais1,broceli1
62,cxignon2,cxignon1
82,geniaux1,geniaux2
58,geniau30,geniaux2
82,geniaux2,geniaux1
52,geniau30,geniaux1
26,bourian1,bourian2
33,plesse1,plesse2
191,launay2,plesse2
151,launay1,plesse2
29,terseul1,terseul2
26,bourian2,bourian1
33,plesse2,plesse1
182,launay2,plesse1
149,launay1,plesse1
56,ormeaux2,ormeaux1
147,bigopre1,ormeaux1
191,bigopre2,ormeaux1
141,chatill1,ormeaux1
170,chatill2,ormeaux1
56,ormeaux1,ormeaux2
95,bigopre1,ormeaux2
136,bigopre2,ormeaux2
197,chatill1,ormeaux2
90,bourdon2,bourdon1
165,church2,bourdon1
143,kennedy1,bourdon1
171,kennedy2,bourdon1
101,saens2,saens1
196,prega2,saens1
90,bourdon1,bourdon2
101,saens1,saens2
107,prega1,saens2
96,prega2,saens2
45,hovilce2,hovilce1
45,hovilce1,hovilce2
79,landesd1,landstd2
26,maronn1,maronn2
26,maronn2,maronn1
27,pasteur1,pasteur2
24,chevahs2,chevahs
27,pasteur2,pasteur1
22,steannec,steannaa
135,steanne1,steannaa
83,steanne2,steannaa
185,chajacq2,steannaa
25,perelle2,perelle1
26,rossel2,rossel1
25,perelle1,perelle2
39,colpace1,colpace2
39,colpace2,colpace1
26,rossel1,rossel2
64,chaeau1,chaeau2
172,nomi2,chaeau2
174,nomi1,chaeau2
64,chaeau2,chaeau1
119,nomi2,chaeau1
113,nomi1,chaeau1
40,gaudais2,gaudais1
40,gaudais1,gaudais2
68,norvege2,norvege1
182,suede1,norvege1
126,suede2,norvege1
31,schuman2,schuman1
31,schuman1,schuman2
68,norvege1,norvege2
131,suede1,norvege2
65,suede2,norvege2
199,canacha1,norvege2
27,grquart2,gdquart
187,robique2,gdquart
25,lbouhar1,lbouhar2
25,lbouhar2,lbouhar1
98,noecin1,noecin2
30,horizon2,horizon1
179,lices2,horizon1
138,lices1,horizon1
98,noecin2,noecin1
29,valosta1,valosta2
30,horizon1,horizon2
181,lices2,horizon2
150,lices1,horizon2
24,europe2,europe1
192,tregain1,europe1
24,europe1,europe2
188,gast1,europe2
87,lybrqsu2,lybrqsu1
22,chverpp2,chverpn1
87,lybrqsu1,lybrqsu2
194,lybrequ1,lybrqsu2
194,lybrequ2,lybrqsu2
29,quince1,quince2
25,quince,quince2
84,retarda1,retarda2
29,quince2,quince1
17,quince,quince1
84,retarda2,retarda1
93,mareuch2,mareuch1
190,ledant2,mareuch1
185,ledante1,mareuch1
80,mareuil1,mareuch1
56,mareuil2,mareuch1
18,pprena1,pprena2
93,mareuch1,mareuch2
111,mareuil1,mareuch2
95,mareuil2,mareuch2
65,bouvrai1,bouvrai2
191,egverg1,bouvrai2
65,bouvrai2,bouvrai1
18,pprena2,pprena1
182,gddomai2,bloisce
33,pontrean,ptrean1
163,repto1,repx2
127,repjof2,repx2
120,repjof3,repx2
136,repjof4,repx2
10,repwe,repx2
63,repwb,repx2
160,nemours2,repx2
40,ptnemoun,repx2
46,ptnemous,repx2
134,repjaurs,repx2
155,repjaurn,repx2
65,repea,repx2
88,repbottb,repx2
136,mairieb,repx2
48,repbottc,repx2
135,repjoffa,repx2
32,ensabb1,ensabb2
32,ensabb2,ensabb1
24,pontno1,pontno2
26,surcouo1,surcouo2
26,surcouo2,surcouo1
26,htlauna1,htlauna2
24,pontno2,pontno1
26,htlauna2,htlauna1
68,alma1,alma
168,alma2,alma
13,thabor2,thabor1
198,bert1,thabor1
33,valblan1,valblan2
130,ptpaste1,zola1
57,ptpastm1,zola1
56,ptpastm2,zola1
168,ppaskl2,zola1
33,valblan2,valblan1
13,thabor1,thabor2
198,bert1,thabor2
79,landstd2,landesd1
183,bignon1,htsance
130,cram1,htsance
157,cram2,htsance
74,garenne1,garenne2
74,garenne2,garenne1
129,durafou2,durafou4
154,durafou1,durafou4
147,durafst2,durafou4
21,durafst1,durafou4
182,bloisce,gddomai2
175,gddomai1,gddomai2
175,gddomai2,gddomai1
182,belepin2,gddomai1
45,hilbint2,hilbint1
45,hilbint1,hilbint2
129,durafou4,durafou2
