terminus,heure_depart,trajet_id,stop_sequence,arret_id
0,1100,2165,1,frevi02
0,1104,2165,2,triangl2
0,1113,2165,3,landpin2
0,1114,2165,4,cennoch4
0,1116,2165,5,coteaux2
0,1118,2165,6,leuzier2
0,1120,2165,7,master2
0,1125,2165,8,renbour2
0,1126,2165,9,maibour2
1,1128,2165,10,marbour1
0,1010,3491,1,marbour1
0,1011,3491,2,maibour1
0,1012,3491,3,renbour1
0,1017,3491,4,master1
0,1018,3491,5,leuzier1
0,1020,3491,6,coteaux1
0,1022,3491,7,cennoch3
0,1023,3491,8,landpin1
0,1033,3491,9,triangl1
1,1036,3491,10,frevi02
0,1040,3097,1,frevi02
0,1044,3097,2,triangl2
0,1053,3097,3,landpin2
0,1054,3097,4,cennoch4
0,1056,3097,5,coteaux2
0,1058,3097,6,leuzier2
0,1060,3097,7,master2
0,1065,3097,8,renbour2
0,1066,3097,9,maibour2
1,1068,3097,10,marbour1
0,1070,3197,1,marbour1
0,1071,3197,2,maibour1
0,1072,3197,3,renbour1
0,1077,3197,4,master1
0,1078,3197,5,leuzier1
0,1080,3197,6,coteaux1
0,1082,3197,7,cennoch3
0,1083,3197,8,landpin1
0,1093,3197,9,triangl1
1,1096,3197,10,frevi02
0,460,4676,1,frevi02
0,464,4676,2,triangl2
0,473,4676,3,landpin2
0,474,4676,4,cennoch4
0,476,4676,5,coteaux2
0,478,4676,6,leuzier2
0,480,4676,7,master2
0,485,4676,8,renbour2
0,486,4676,9,maibour2
1,488,4676,10,marbour1
0,1060,4569,1,frevi02
0,1064,4569,2,triangl2
0,1073,4569,3,landpin2
0,1074,4569,4,cennoch4
0,1076,4569,5,coteaux2
0,1078,4569,6,leuzier2
0,1080,4569,7,master2
0,1085,4569,8,renbour2
0,1086,4569,9,maibour2
1,1088,4569,10,marbour1
0,980,1656,1,frevi02
0,984,1656,2,triangl2
0,993,1656,3,landpin2
0,994,1656,4,cennoch4
0,996,1656,5,coteaux2
0,998,1656,6,leuzier2
0,1000,1656,7,master2
0,1005,1656,8,renbour2
0,1006,1656,9,maibour2
1,1008,1656,10,marbour1
0,450,5821,1,marbour1
0,451,5821,2,maibour1
0,452,5821,3,renbour1
0,457,5821,4,master1
0,458,5821,5,leuzier1
0,460,5821,6,coteaux1
0,462,5821,7,cennoch3
0,463,5821,8,landpin1
0,473,5821,9,triangl1
0,476,5821,10,frevi02
1,481,5821,11,lybrqsu2
0,430,2304,1,marbour1
0,431,2304,2,maibour1
0,432,2304,3,renbour1
0,437,2304,4,master1
0,438,2304,5,leuzier1
0,440,2304,6,coteaux1
0,442,2304,7,cennoch3
0,443,2304,8,landpin1
0,453,2304,9,triangl1
1,456,2304,10,frevi02
0,1000,758,1,frevi02
0,1004,758,2,triangl2
0,1013,758,3,landpin2
0,1014,758,4,cennoch4
0,1016,758,5,coteaux2
0,1018,758,6,leuzier2
0,1020,758,7,master2
0,1025,758,8,renbour2
0,1026,758,9,maibour2
1,1028,758,10,marbour1
0,490,2562,1,marbour1
0,491,2562,2,maibour1
0,492,2562,3,renbour1
0,497,2562,4,master1
0,498,2562,5,leuzier1
0,500,2562,6,coteaux1
0,502,2562,7,cennoch3
0,503,2562,8,landpin1
0,513,2562,9,triangl1
1,516,2562,10,frevi02
0,1120,6225,1,frevi02
0,1124,6225,2,triangl2
0,1133,6225,3,landpin2
0,1134,6225,4,cennoch4
0,1136,6225,5,coteaux2
0,1138,6225,6,leuzier2
0,1140,6225,7,master2
0,1145,6225,8,renbour2
0,1146,6225,9,maibour2
1,1148,6225,10,marbour1
0,1030,4079,1,marbour1
0,1031,4079,2,maibour1
0,1032,4079,3,renbour1
0,1037,4079,4,master1
0,1038,4079,5,leuzier1
0,1040,4079,6,coteaux1
0,1042,4079,7,cennoch3
0,1043,4079,8,landpin1
0,1053,4079,9,triangl1
1,1056,4079,10,frevi02
0,1090,5166,1,marbour1
0,1091,5166,2,maibour1
0,1092,5166,3,renbour1
0,1097,5166,4,master1
0,1098,5166,5,leuzier1
0,1100,5166,6,coteaux1
0,1102,5166,7,cennoch3
0,1103,5166,8,landpin1
0,1113,5166,9,triangl1
1,1116,5166,10,frevi02
