arret_id,trajet_id,heure_depart,stop_sequence,terminus
cxmalter,17,618,1,0
belaive1,17,620,2,0
egvern1,17,621,3,0
cxrouve1,17,622,4,0
fossega1,17,623,5,0
solidor1,17,625,6,0
hteabb1,17,625,7,0
bretoni3,17,628,8,0
valdors1,17,629,9,0
garenne1,17,630,10,0
hallerv1,17,631,11,0
martich1,17,632,12,0
poteri4,17,636,13,0
galicie1,17,637,14,0
steelis2,17,638,15,0
hopisud2,17,638,16,0
torigne2,17,639,17,0
tage2,17,640,18,0
douro2,17,641,19,0
portuga2,17,642,20,0
frevi04,17,645,21,0
norvege2,17,648,22,0
lybrqsu2,17,650,23,0
eboue2,17,650,24,0
vallstj2,17,653,25,0
janaich2,17,655,26,0
cxpotie2,17,657,27,0
doublee3,17,661,28,0
lavoisi2,17,662,29,0
chnigue2,17,663,30,0
bobinai2,17,664,31,0
pasteur2,17,665,32,0
dugues2,17,666,33,0
epalet2,17,667,34,0
noebru2,17,669,35,0
herveri2,17,670,36,0
cenbru2,17,671,37,1
cenbru2,12,977,1,0
herveri1,12,979,2,0
noebru1,12,980,3,0
epalet1,12,982,4,0
dugues1,12,983,5,0
pasteur1,12,984,6,0
bobinai1,12,985,7,0
chnigue1,12,986,8,0
lavoisi1,12,986,9,0
doublee4,12,988,10,0
cxpotie1,12,991,11,0
janaich1,12,993,12,0
vallstj1,12,995,13,0
eboue1,12,998,14,0
lybrqsu1,12,999,15,0
norvege1,12,1001,16,0
frevi01,12,1005,17,0
portuga1,12,1009,18,0
douro1,12,1010,19,0
tage1,12,1011,20,0
torigne1,12,1012,21,0
hopisud1,12,1013,22,0
steelis1,12,1014,23,0
galicie2,12,1015,24,0
potepl2,12,1016,25,0
martich2,12,1019,26,0
hallerv2,12,1020,27,0
garenne2,12,1021,28,0
valdors2,12,1023,29,0
bretoni4,12,1025,30,0
hteabb2,12,1026,31,0
solidor2,12,1027,32,0
fossega2,12,1028,33,0
cxrouve2,12,1029,34,0
egvern2,12,1031,35,0
belaive2,12,1032,36,0
toucver2,12,1033,37,0
cxmalter,12,1034,38,1
cngare1,3283,1190,1,0
huberd1,3283,1191,2,0
kildare1,3283,1192,3,0
maconu1,3283,1193,4,0
cheher1,3283,1193,5,0
laugar1,3283,1197,6,0
plegsta1,3283,1201,7,0
stagare1,3283,1202,8,0
valosta1,3283,1203,9,0
vaugon1,3283,1206,10,0
cxmalter,3283,1207,11,0
belaive1,3283,1209,12,0
egvern1,3283,1210,13,0
cxrouve1,3283,1211,14,0
fossega1,3283,1212,15,0
solidor1,3283,1214,16,0
hteabb1,3283,1214,17,0
valdors1,3283,1218,18,0
garenne1,3283,1219,19,0
hallerv1,3283,1220,20,0
martich1,3283,1221,21,0
potepl2,3283,1224,22,1
cenbru2,2119,1187,1,0
herveri1,2119,1189,2,0
noebru1,2119,1190,3,0
epalet1,2119,1192,4,0
dugues1,2119,1193,5,0
pasteur1,2119,1194,6,0
bobinai1,2119,1195,7,0
chnigue1,2119,1196,8,0
lavoisi1,2119,1196,9,0
doublee4,2119,1198,10,0
cxpotie1,2119,1201,11,0
janaich1,2119,1203,12,0
vallstj1,2119,1204,13,0
eboue1,2119,1207,14,0
lybrqsu1,2119,1208,15,0
norvege1,2119,1210,16,0
frevi01,2119,1214,17,0
portuga1,2119,1218,18,0
douro1,2119,1219,19,0
tage1,2119,1220,20,0
torigne1,2119,1221,21,0
hopisud1,2119,1222,22,0
steelis1,2119,1223,23,0
galicie2,2119,1224,24,0
potepl2,2119,1225,25,0
martich2,2119,1228,26,0
hallerv2,2119,1229,27,0
garenne2,2119,1230,28,0
valdors2,2119,1232,29,0
bretoni4,2119,1234,30,0
hteabb2,2119,1235,31,0
solidor2,2119,1236,32,0
fossega2,2119,1237,33,0
cxrouve2,2119,1238,34,0
egvern2,2119,1240,35,0
belaive2,2119,1241,36,0
toucver2,2119,1242,37,0
cxmalter,2119,1243,38,0
vaugon2,2119,1245,39,0
valosta2,2119,1247,40,0
stagare2,2119,1248,41,0
plegsta1,2119,1250,42,0
laugar2,2119,1254,43,0
cheher2,2119,1257,44,0
maconu2,2119,1257,45,0
kildare2,2119,1257,46,0
huberd2,2119,1258,47,0
garecn,2119,1259,48,1
cxmalter,3266,918,1,0
belaive1,3266,920,2,0
egvern1,3266,921,3,0
cxrouve1,3266,922,4,0
fossega1,3266,923,5,0
solidor1,3266,925,6,0
hteabb1,3266,925,7,0
bretoni3,3266,928,8,0
valdors1,3266,929,9,0
garenne1,3266,930,10,0
hallerv1,3266,931,11,0
martich1,3266,932,12,0
poteri4,3266,936,13,0
galicie1,3266,937,14,0
steelis2,3266,938,15,0
hopisud2,3266,938,16,0
torigne2,3266,939,17,0
tage2,3266,940,18,0
douro2,3266,941,19,0
portuga2,3266,942,20,0
frevi04,3266,945,21,0
norvege2,3266,948,22,0
lybrqsu2,3266,950,23,0
eboue2,3266,950,24,0
vallstj2,3266,953,25,0
janaich2,3266,955,26,0
cxpotie2,3266,957,27,0
doublee3,3266,961,28,0
lavoisi2,3266,962,29,0
chnigue2,3266,963,30,0
bobinai2,3266,964,31,0
pasteur2,3266,965,32,0
dugues2,3266,966,33,0
epalet2,3266,967,34,0
noebru2,3266,969,35,0
herveri2,3266,971,36,0
cenbru2,3266,972,37,1
cngare1,2207,1200,1,0
huberd1,2207,1201,2,0
kildare1,2207,1202,3,0
maconu1,2207,1203,4,0
cheher1,2207,1203,5,0
laugar1,2207,1207,6,0
plegsta1,2207,1211,7,0
stagare1,2207,1212,8,0
valosta1,2207,1213,9,0
vaugon1,2207,1216,10,0
cxmalter,2207,1217,11,0
belaive1,2207,1219,12,0
egvern1,2207,1220,13,0
cxrouve1,2207,1221,14,0
fossega1,2207,1222,15,0
solidor1,2207,1224,16,0
hteabb1,2207,1224,17,0
bretoni3,2207,1227,18,0
valdors1,2207,1228,19,0
garenne1,2207,1229,20,0
hallerv1,2207,1230,21,0
martich1,2207,1231,22,0
poteri4,2207,1235,23,0
galicie1,2207,1236,24,0
steelis2,2207,1237,25,0
hopisud2,2207,1237,26,0
torigne2,2207,1238,27,0
tage2,2207,1239,28,0
douro2,2207,1240,29,0
portuga2,2207,1241,30,0
frevi04,2207,1244,31,0
norvege2,2207,1247,32,0
lybrqsu2,2207,1249,33,0
eboue2,2207,1249,34,0
vallstj2,2207,1252,35,0
janaich2,2207,1254,36,0
cxpotie2,2207,1256,37,0
doublee3,2207,1260,38,0
lavoisi2,2207,1261,39,0
chnigue2,2207,1262,40,0
bobinai2,2207,1263,41,0
pasteur2,2207,1264,42,0
dugues2,2207,1265,43,0
epalet2,2207,1266,44,0
noebru2,2207,1268,45,0
herveri2,2207,1269,46,0
cenbru2,2207,1270,47,1
cenbru2,2223,460,1,0
herveri1,2223,462,2,0
noebru1,2223,463,3,0
epalet1,2223,465,4,0
dugues1,2223,467,5,0
pasteur1,2223,468,6,0
bobinai1,2223,469,7,0
chnigue1,2223,470,8,0
lavoisi1,2223,471,9,0
doublee4,2223,472,10,0
cxpotie1,2223,476,11,0
janaich1,2223,479,12,0
vallstj1,2223,481,13,0
eboue1,2223,485,14,0
