terminus,heure_depart,trajet_id,stop_sequence,arret_id
0,1735,3296,1,repea
0,1736,3296,2,ptpastm2
0,1737,3296,3,bert2
0,1737,3296,4,ptchadu2
0,1738,3296,5,robidou2
0,1739,3296,6,ptstras2
0,1741,3296,7,plbaud2
0,1743,3296,8,tourneb2
0,1744,3296,9,beauec2
0,1745,3296,10,insa2
0,1746,3296,11,restuni2
0,1747,3296,12,iutguil2
1,1748,3296,13,closco
0,1810,2053,1,closco
0,1811,2053,2,iutguil1
0,1813,2053,3,restuni1
0,1814,2053,4,insa1
0,1814,2053,5,beauec1
0,1815,2053,6,tourneb1
0,1817,2053,7,plbaud1
0,1819,2053,8,ptstras1
0,1820,2053,9,robidou1
0,1821,2053,10,ptchadu1
0,1822,2053,11,bert1
0,1822,2053,12,ptpastm1
1,1823,2053,13,repwb
0,1550,3725,1,repea
0,1551,3725,2,ptpastm2
0,1552,3725,3,bert2
0,1553,3725,4,ptchadu2
0,1554,3725,5,robidou2
0,1554,3725,6,ptstras2
0,1557,3725,7,plbaud2
0,1559,3725,8,tourneb2
0,1561,3725,9,beauec2
0,1561,3725,10,insa2
0,1562,3725,11,restuni2
0,1564,3725,12,iutguil2
1,1565,3725,13,closco
0,1890,3764,1,repea
0,1891,3764,2,ptpastm2
0,1892,3764,3,bert2
0,1892,3764,4,ptchadu2
0,1893,3764,5,robidou2
0,1894,3764,6,ptstras2
0,1896,3764,7,plbaud2
0,1898,3764,8,tourneb2
0,1899,3764,9,beauec2
0,1900,3764,10,insa2
0,1901,3764,11,restuni2
0,1902,3764,12,iutguil2
1,1903,3764,13,closco
0,1540,106,1,closco
0,1541,106,2,iutguil1
0,1543,106,3,restuni1
0,1544,106,4,insa1
0,1545,106,5,beauec1
0,1546,106,6,tourneb1
0,1548,106,7,plbaud1
0,1550,106,8,ptstras1
0,1551,106,9,robidou1
0,1552,106,10,ptchadu1
0,1553,106,11,bert1
0,1554,106,12,ptpastm1
1,1555,106,13,repwb
0,1625,1829,1,closco
0,1626,1829,2,iutguil1
0,1628,1829,3,restuni1
0,1629,1829,4,insa1
0,1630,1829,5,beauec1
0,1631,1829,6,tourneb1
0,1633,1829,7,plbaud1
0,1635,1829,8,ptstras1
0,1636,1829,9,robidou1
0,1637,1829,10,ptchadu1
0,1638,1829,11,bert1
0,1639,1829,12,ptpastm1
1,1640,1829,13,repwb
0,1510,4611,1,closco
0,1511,4611,2,iutguil1
0,1513,4611,3,restuni1
0,1514,4611,4,insa1
0,1515,4611,5,beauec1
0,1516,4611,6,tourneb1
0,1518,4611,7,plbaud1
0,1520,4611,8,ptstras1
0,1521,4611,9,robidou1
0,1522,4611,10,ptchadu1
0,1523,4611,11,bert1
0,1524,4611,12,ptpastm1
1,1525,4611,13,repwb
0,1495,434,1,repea
0,1496,434,2,ptpastm2
0,1497,434,3,bert2
0,1498,434,4,ptchadu2
0,1499,434,5,robidou2
0,1499,434,6,ptstras2
0,1502,434,7,plbaud2
0,1504,434,8,tourneb2
0,1506,434,9,beauec2
0,1506,434,10,insa2
0,1507,434,11,restuni2
0,1509,434,12,iutguil2
1,1510,434,13,closco
0,1750,1765,1,closco
0,1751,1765,2,iutguil1
0,1753,1765,3,restuni1
0,1754,1765,4,insa1
0,1754,1765,5,beauec1
0,1755,1765,6,tourneb1
0,1757,1765,7,plbaud1
0,1759,1765,8,ptstras1
0,1760,1765,9,robidou1
0,1761,1765,10,ptchadu1
0,1762,1765,11,bert1
0,1762,1765,12,ptpastm1
1,1763,1765,13,repwb
0,1860,6706,1,repea
0,1861,6706,2,ptpastm2
0,1862,6706,3,bert2
0,1862,6706,4,ptchadu2
0,1863,6706,5,robidou2
0,1864,6706,6,ptstras2
0,1866,6706,7,plbaud2
0,1868,6706,8,tourneb2
0,1869,6706,9,beauec2
0,1870,6706,10,insa2
0,1871,6706,11,restuni2
0,1872,6706,12,iutguil2
1,1873,6706,13,closco
0,1485,488,1,closco
0,1486,488,2,iutguil1
0,1488,488,3,restuni1
0,1489,488,4,insa1
0,1490,488,5,beauec1
0,1491,488,6,tourneb1
0,1493,488,7,plbaud1
0,1495,488,8,ptstras1
0,1496,488,9,robidou1
0,1497,488,10,ptchadu1
0,1498,488,11,bert1
0,1499,488,12,ptpastm1
1,1500,488,13,repwb
0,1795,480,1,repea
0,1796,480,2,ptpastm2
0,1797,480,3,bert2
0,1797,480,4,ptchadu2
0,1798,480,5,robidou2
0,1799,480,6,ptstras2
0,1801,480,7,plbaud2
0,1803,480,8,tourneb2
0,1804,480,9,beauec2
0,1805,480,10,insa2
0,1806,480,11,restuni2
0,1807,480,12,iutguil2
1,1808,480,13,closco
0,1640,4931,1,repea
0,1641,4931,2,ptpastm2
0,1642,4931,3,bert2
0,1643,4931,4,ptchadu2
0,1644,4931,5,robidou2
0,1644,4931,6,ptstras2
0,1647,4931,7,plbaud2
0,1649,4931,8,tourneb2
0,1651,4931,9,beauec2
0,1651,4931,10,insa2
0,1652,4931,11,restuni2
0,1654,4931,12,iutguil2
1,1655,4931,13,closco
0,1875,4912,1,closco
0,1876,4912,2,iutguil1
0,1878,4912,3,restuni1
0,1879,4912,4,insa1
0,1879,4912,5,beauec1
0,1880,4912,6,tourneb1
0,1882,4912,7,plbaud1
0,1884,4912,8,ptstras1
0,1885,4912,9,robidou1
0,1886,4912,10,ptchadu1
0,1887,4912,11,bert1
0,1887,4912,12,ptpastm1
1,1888,4912,13,repwb
0,1655,4898,1,closco
0,1656,4898,2,iutguil1
0,1658,4898,3,restuni1
0,1659,4898,4,insa1
0,1660,4898,5,beauec1
0,1661,4898,6,tourneb1
0,1663,4898,7,plbaud1
0,1665,4898,8,ptstras1
0,1666,4898,9,robidou1
0,1667,4898,10,ptchadu1
0,1668,4898,11,bert1
0,1669,4898,12,ptpastm1
1,1670,4898,13,repwb
0,1825,6932,1,repea
0,1826,6932,2,ptpastm2
0,1827,6932,3,bert2
0,1827,6932,4,ptchadu2
0,1828,6932,5,robidou2
0,1829,6932,6,ptstras2
0,1831,6932,7,plbaud2
0,1833,6932,8,tourneb2
0,1834,6932,9,beauec2
0,1835,6932,10,insa2
0,1836,6932,11,restuni2
0,1837,6932,12,iutguil2
1,1838,6932,13,closco
0,1685,266,1,closco
0,1686,266,2,iutguil1
0,1688,266,3,restuni1
0,1689,266,4,insa1
0,1689,266,5,beauec1
0,1690,266,6,tourneb1
0,1692,266,7,plbaud1
0,1694,266,8,ptstras1
0,1695,266,9,robidou1
0,1696,266,10,ptchadu1
0,1697,266,11,bert1
0,1697,266,12,ptpastm1
1,1698,266,13,repwb
0,1565,4224,1,closco
0,1566,4224,2,iutguil1
0,1568,4224,3,restuni1
0,1569,4224,4,insa1
0,1570,4224,5,beauec1
0,1571,4224,6,tourneb1
0,1573,4224,7,plbaud1
0,1575,4224,8,ptstras1
0,1576,4224,9,robidou1
0,1577,4224,10,ptchadu1
0,1578,4224,11,bert1
0,1579,4224,12,ptpastm1
1,1580,4224,13,repwb
0,1580,5651,1,repea
0,1581,5651,2,ptpastm2
0,1582,5651,3,bert2
0,1583,5651,4,ptchadu2
0,1584,5651,5,robidou2
0,1584,5651,6,ptstras2
0,1587,5651,7,plbaud2
0,1589,5651,8,tourneb2
0,1591,5651,9,beauec2
0,1591,5651,10,insa2
0,1592,5651,11,restuni2
0,1594,5651,12,iutguil2
1,1595,5651,13,closco
0,1465,1289,1,closco
0,1466,1289,2,iutguil1
0,1468,1289,3,restuni1
0,1469,1289,4,insa1
0,1470,1289,5,beauec1
0,1471,1289,6,tourneb1
0,1473,1289,7,plbaud1
0,1475,1289,8,ptstras1
0,1476,1289,9,robidou1
0,1477,1289,10,ptchadu1
0,1478,1289,11,bert1
0,1479,1289,12,ptpastm1
1,1480,1289,13,repwb
0,1720,2735,1,closco
0,1721,2735,2,iutguil1
0,1723,2735,3,restuni1
0,1724,2735,4,insa1
0,1724,2735,5,beauec1
0,1725,2735,6,tourneb1
0,1727,2735,7,plbaud1
0,1729,2735,8,ptstras1
0,1730,2735,9,robidou1
0,1731,2735,10,ptchadu1
0,1732,2735,11,bert1
0,1732,2735,12,ptpastm1
1,1733,2735,13,repwb
0,1705,1084,1,repea
0,1706,1084,2,ptpastm2
0,1707,1084,3,bert2
0,1707,1084,4,ptchadu2
0,1708,1084,5,robidou2
0,1709,1084,6,ptstras2
0,1711,1084,7,plbaud2
0,1713,1084,8,tourneb2
0,1714,1084,9,beauec2
0,1715,1084,10,insa2
0,1716,1084,11,restuni2
0,1717,1084,12,iutguil2
1,1718,1084,13,closco
0,1670,5392,1,repea
0,1671,5392,2,ptpastm2
0,1672,5392,3,bert2
0,1673,5392,4,ptchadu2
0,1674,5392,5,robidou2
0,1674,5392,6,ptstras2
0,1677,5392,7,plbaud2
0,1679,5392,8,tourneb2
0,1681,5392,9,beauec2
0,1681,5392,10,insa2
0,1682,5392,11,restuni2
