arret_id,trajet_id,heure_depart,stop_sequence,terminus
bernard,2240,270,1,0
mtarree1,2240,271,2,0
neruda1,2240,272,3,0
condate1,2240,272,4,0
bellang1,2240,273,5,0
morbiha1,2240,274,6,0
houx1,2240,275,7,0
patton2,2240,276,8,0
hotregi1,2240,277,9,0
lgpres1,2240,277,10,0
gast1,2240,278,11,0
europe1,2240,279,12,0
tregain1,2240,280,13,0
exupery1,2240,281,14,0
metz1,2240,282,15,0
duchann1,2240,283,16,0
brizeux1,2240,284,17,0
diee2,2240,286,18,0
sevivin1,2240,287,19,0
steanne1,2240,288,20,0
chajacq1,2240,288,21,0
ptnemous,2240,290,22,0
colombi2,2240,293,23,0
beaumon2,2240,294,24,0
ginguen2,2240,295,25,0
cartier2,2240,295,26,0
palissy2,2240,296,27,0
garigli2,2240,296,28,0
dullin2,2240,297,29,0
manceau2,2240,298,30,0
suede2,2240,299,31,0
janaich2,2240,308,32,0
toutizon,2240,310,33,1
bernard,3447,240,1,0
mtarree1,3447,241,2,0
neruda1,3447,242,3,0
condate1,3447,242,4,0
bellang1,3447,243,5,0
morbiha1,3447,244,6,0
houx1,3447,245,7,0
patton2,3447,246,8,0
hotregi1,3447,247,9,0
lgpres1,3447,247,10,0
gast1,3447,248,11,0
europe1,3447,249,12,0
tregain1,3447,250,13,0
exupery1,3447,251,14,0
metz1,3447,252,15,0
duchann1,3447,253,16,0
brizeux1,3447,254,17,0
diee2,3447,256,18,0
sevivin1,3447,257,19,0
steanne1,3447,258,20,0
chajacq1,3447,258,21,0
ptnemous,3447,260,22,0
colombi2,3447,263,23,0
beaumon2,3447,264,24,0
ginguen2,3447,265,25,0
cartier2,3447,265,26,0
palissy2,3447,266,27,0
garigli2,3447,266,28,0
dullin2,3447,267,29,0
manceau2,3447,268,30,0
suede2,3447,269,31,0
janaich2,3447,278,32,0
toutizon,3447,280,33,1
anjou,454,240,1,0
kenguye1,454,241,2,0
bourdon1,454,241,3,0
kennedy1,454,242,4,0
moulin1,454,243,5,0
berger1,454,244,6,0
langued1,454,245,7,0
lasalle1,454,246,8,0
marbeuf3,454,247,9,0
geniaux2,454,249,10,0
stadrep2,454,250,11,0
clisage1,454,254,12,0
montand1,454,255,13,0
recipon1,454,256,14,0
guerina1,454,256,15,0
lesseps1,454,257,16,0
chcice1,454,258,17,0
dargent1,454,259,18,0
voltair1,454,260,19,0
malakof1,454,261,20,0
surcouf1,454,262,21,0
inkerma1,454,263,22,0
arsenal1,454,264,23,0
ptnante2,454,264,24,0
foyerre2,454,265,25,0
mermozm2,454,266,26,0
pilate2,454,267,27,0
styves2,454,268,28,0
pigeonb2,454,269,29,0
cormr2,454,270,30,0
janaich2,454,278,31,0
toutizon,454,280,32,1
loncham1,254,265,1,0
bouzat1,254,266,2,0
gallet1,254,266,3,0
donzelo1,254,266,4,0
mirabea1,254,267,5,0
turmel1,254,268,6,0
quentin1,254,269,7,0
vitrfou1,254,270,8,0
boisper1,254,270,9,0
mouljml1,254,271,10,0
ptstras1,254,272,11,0
robidou1,254,272,12,0
ptchadu3,254,273,13,0
laennec2,254,276,14,0
martin2,254,278,15,0
croixhe2,254,279,16,0
pire2,254,279,17,0
lbourg2,254,280,18,0
keratry2,254,281,19,0
vincent2,254,282,20,0
lydesca2,254,283,21,0
poteri4,254,285,22,0
galicie1,254,286,23,0
leblosn3,254,287,24,0
triangle,254,289,25,0
italie2,254,290,26,0
frevi04,254,291,27,0
norvege2,254,293,28,0
lybrqsu2,254,294,29,0
eboue2,254,295,30,0
vallstj2,254,302,31,0
janaich2,254,306,32,0
toutizon,254,308,33,1
loncham1,1214,235,1,0
bouzat1,1214,236,2,0
gallet1,1214,236,3,0
donzelo1,1214,236,4,0
mirabea1,1214,237,5,0
turmel1,1214,238,6,0
quentin1,1214,239,7,0
vitrfou1,1214,240,8,0
boisper1,1214,240,9,0
mouljml1,1214,241,10,0
ptstras1,1214,242,11,0
robidou1,1214,242,12,0
ptchadu3,1214,243,13,0
laennec2,1214,246,14,0
martin2,1214,248,15,0
croixhe2,1214,249,16,0
pire2,1214,249,17,0
lbourg2,1214,250,18,0
keratry2,1214,251,19,0
vincent2,1214,252,20,0
lydesca2,1214,253,21,0
poteri4,1214,255,22,0
galicie1,1214,256,23,0
leblosn3,1214,257,24,0
triangle,1214,259,25,0
italie2,1214,260,26,0
frevi04,1214,261,27,0
norvege2,1214,263,28,0
lybrqsu2,1214,264,29,0
eboue2,1214,265,30,0
vallstj2,1214,272,31,0
janaich2,1214,276,32,0
toutizon,1214,278,33,1
toutizon,5395,799,1,0
janaich1,5395,800,2,0
vallstj1,5395,803,3,0
eboue1,5395,808,4,0
lybrqsu1,5395,808,5,0
norvege1,5395,809,6,0
frevi04,5395,810,7,1
frevi04,6603,730,1,0
janaich2,6603,740,2,0
toutizon,6603,742,3,1
anjou,1924,270,1,0
kenguye1,1924,271,2,0
bourdon1,1924,271,3,0
kennedy1,1924,272,4,0
moulin1,1924,273,5,0
berger1,1924,274,6,0
langued1,1924,275,7,0
lasalle1,1924,276,8,0
marbeuf3,1924,277,9,0
geniaux2,1924,279,10,0
stadrep2,1924,280,11,0
clisage1,1924,284,12,0
montand1,1924,285,13,0
recipon1,1924,286,14,0
guerina1,1924,286,15,0
lesseps1,1924,287,16,0
chcice1,1924,288,17,0
dargent1,1924,289,18,0
voltair1,1924,290,19,0
malakof1,1924,291,20,0
surcouf1,1924,292,21,0
inkerma1,1924,293,22,0
arsenal1,1924,294,23,0
ptnante2,1924,294,24,0
foyerre2,1924,295,25,0
mermozm2,1924,296,26,0
pilate2,1924,297,27,0
styves2,1924,298,28,0
pigeonb2,1924,299,29,0
cormr2,1924,300,30,0
janaich2,1924,308,31,0
toutizon,1924,310,32,1
