id,direction_id,ligne_id,calendrier_id
3499,110,78,1
3449,115,78,4
3592,115,78,4
3560,115,78,1
3867,110,78,4
3870,110,78,5
3880,110,78,1
3108,110,78,1
1875,115,78,1
4624,110,78,4
6780,110,78,1
1715,115,78,1
450,115,78,1
2869,115,78,1
4560,110,78,4
4540,115,78,5
1675,110,78,1
4820,115,78,2
6930,115,78,1
1479,110,78,1
1460,115,78,1
913,115,78,1
2501,115,78,1
2534,115,78,1
1383,115,78,1
1336,115,78,4
835,110,78,1
872,115,78,4
2319,115,78,4
2381,110,78,1
2740,110,78,2
1115,110,78,1
1156,110,78,5
683,115,78,1
2650,115,78,1
1075,115,78,4
1065,110,78,5
4323,115,78,1
5420,115,78,4
5357,110,78,5
5259,115,78,1
4002,110,78,5
6231,110,78,1
1990,110,78,1
82,34,77,3
65,43,77,1
2157,43,77,1
2170,43,77,1
2205,34,77,1
2262,43,77,1
3393,43,77,1
3342,102,77,3
2275,43,77,4
3304,43,77,1
3419,34,77,1
3422,34,77,1
3442,43,77,1
3508,102,77,3
2017,34,77,4
3549,34,77,4
2089,34,77,3
2060,34,77,5
3693,43,77,5
3631,43,77,4
3754,34,77,4
3812,43,77,5
4964,43,77,1
3001,43,77,4
3088,43,77,5
3929,34,77,1
3940,34,77,4
3944,43,77,5
3901,34,77,1
3189,34,77,5
536,34,77,3
1810,43,77,4
6886,102,77,3
1803,34,77,4
1896,148,77,9
4618,34,77,5
2850,34,77,1
2846,43,77,4
2862,34,77,1
1791,43,77,4
6724,34,77,4
6727,34,77,5
2789,34,77,1
333,34,77,4
1624,34,77,4
4949,43,77,5
4903,43,77,4
1586,34,77,4
5945,34,77,5
5940,43,77,4
5991,34,77,4
5979,34,77,1
4839,34,77,4
4795,34,77,1
4784,43,77,1
1499,43,77,2
5851,43,77,1
5838,43,77,5
1416,43,77,4
968,43,77,4
4208,34,77,1
5746,34,77,1
2444,34,77,4
4238,34,77,5
2450,43,77,1
4276,43,77,5
1339,34,77,4
836,34,77,3
2411,43,77,5
2339,43,77,4
2341,43,77,1
5616,34,77,1
2311,34,77,3
2348,102,77,3
5671,34,77,1
1201,43,77,1
778,34,77,4
2720,34,77,5
1189,34,77,4
2683,34,77,1
2693,34,77,4
679,43,77,1
2606,34,77,1
2569,148,77,9
5422,43,77,5
5484,34,77,4
5498,34,77,1
5465,34,77,1
1031,34,77,4
5460,34,77,1
1019,34,77,1
1020,34,77,1
5363,102,77,3
6010,43,77,5
5233,34,77,5
5231,43,77,1
5207,34,77,4
5268,102,77,3
5265,43,77,4
4034,102,77,3
6182,34,77,5
6122,43,77,1
6105,34,77,1
5076,43,77,4
5071,34,77,1
5096,43,77,5
5095,43,77,5
6415,43,77,5
6409,34,77,3
6441,34,77,1
6385,102,77,3
6341,34,77,3
6615,43,77,4
6692,34,77,3
6696,34,77,1
6648,34,77,1
6637,43,77,1
6545,43,77,1
6518,34,77,4
6509,43,77,1
6543,43,77,5
6855,150,159,1
304,161,159,1
4818,161,159,1
4494,150,159,1
2584,161,159,1
4354,150,159,1
5456,161,159,1
6023,150,159,1
6410,150,159,1
28,21,33,1
86,35,33,1
61,21,33,4
96,21,33,1
3287,35,33,1
3269,35,33,1
2136,35,33,4
2146,35,33,1
2147,21,33,4
3232,35,33,4
2198,35,33,4
2216,21,33,1
3356,35,33,4
3357,35,33,4
3373,21,33,1
3300,21,33,4
3418,21,33,1
3428,35,33,1
3474,21,33,1
3501,21,33,1
3599,21,33,4
3528,21,33,1
2064,21,33,1
2061,21,33,1
2036,21,33,1
3567,21,33,1
3690,21,33,1
3695,21,33,4
3648,35,33,4
3673,21,33,1
3667,21,33,1
152,35,33,1
168,35,33,4
184,35,33,4
120,35,33,4
147,35,33,4
142,35,33,4
3805,35,33,1
3803,35,33,4
3008,21,33,4
3063,35,33,4
3942,35,33,4
3931,35,33,1
3166,21,33,1
548,35,33,4
6894,35,33,1
1842,21,33,1
2971,35,33,4
568,35,33,1
2912,21,33,1
4616,21,33,1
4662,35,33,1
4688,35,33,1
2896,35,33,1
2881,21,33,4
462,35,33,4
466,21,33,4
1746,21,33,4
6714,21,33,4
6711,21,33,1
4518,35,33,1
482,35,33,1
2799,35,33,1
4927,35,33,4
4871,21,33,4
5983,21,33,1
202,21,33,1
6963,35,33,4
6964,21,33,1
4822,21,33,4
6983,21,33,1
1557,35,33,1
1543,21,33,4
6915,21,33,4
1458,21,33,1
5819,21,33,4
5863,21,33,4
