service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
19,0,0,0,0,0,1,0,20120421,20120520
22,0,0,0,0,1,0,0,20120421,20120520
17,0,0,1,0,0,0,0,20120421,20120520
23,0,0,0,0,1,0,0,20120421,20120520
18,0,0,1,0,0,0,0,20120421,20120520
24,0,0,0,0,1,0,0,20120421,20120520
15,0,0,1,0,0,0,0,20120421,20120520
16,0,0,1,0,0,0,0,20120421,20120520
13,0,1,0,0,0,0,0,20120421,20120520
14,0,1,0,0,0,0,0,20120421,20120520
11,0,1,0,0,0,0,0,20120421,20120520
12,0,1,0,0,0,0,0,20120421,20120520
3,0,0,0,1,0,0,0,20120421,20120520
21,0,0,0,0,1,0,0,20120421,20120520
2,0,0,0,0,0,0,1,20120421,20120520
20,0,0,0,0,0,1,0,20120421,20120520
1,0,0,0,0,0,0,1,20120421,20120520
10,1,0,0,0,0,0,0,20120421,20120520
7,1,0,0,0,0,0,0,20120421,20120520
6,0,0,0,1,0,0,0,20120421,20120520
5,0,0,0,1,0,0,0,20120421,20120520
4,0,0,0,1,0,0,0,20120421,20120520
9,1,0,0,0,0,0,0,20120421,20120520
8,1,0,0,0,0,0,0,20120421,20120520
25,1,1,1,1,1,1,0,20120421,20120520
