stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
1411,1411,Bellangerais,Rennes,48.13216462,-1.672900991,,,,
1410,1410,Hélias,Rennes,48.13648729,-1.662537228,,,,
1415,1415,Chambre Agriculture,Rennes,48.11486395,-1.713006328,,,,
1414,1414,Merlin,Rennes,48.11638523,-1.712159364,,,,
1413,1413,Bourgogne,Rennes,48.11858799,-1.708020983,,,,
1412,1412,Cours Kennedy,Rennes,48.12134176,-1.707771069,,,,
1419,1419,Les Arts,Rennes,48.11116252,-1.712918334,,,,
1418,1418,Géniaux,Rennes,48.10927667,-1.710259939,,,,
1417,1417,Les Arts,Rennes,48.11145919,-1.713389011,,,,
1416,1416,Atalante Champeaux,Rennes,48.11351143,-1.714366373,,,,
1420,1420,Atalante Champeaux,Rennes,48.11367265,-1.712590412,,,,
1422,1422,Merlin,Rennes,48.11628685,-1.711464025,,,,
1421,1421,Chambre Agriculture,Rennes,48.11470188,-1.715622821,,,,
1424,1424,Cours Kennedy,Rennes,48.12127976,-1.707883997,,,,
1423,1423,Bourgogne,Rennes,48.11853034,-1.70811008,,,,
1426,1426,Bellangerais,Rennes,48.1320738,-1.672690969,,,,
1425,1425,Trois Croix,Rennes,48.12797868,-1.682521249,,,,
1428,1428,Hôtel de Région,Rennes,48.13448588,-1.658670775,,,,
1427,1427,Hélias,Rennes,48.13642056,-1.663312396,,,,
1429,1429,Joliot Curie,Rennes,48.1276684,-1.650987077,,,,
2942,2942,Collège Pôle Sud,Chartres-de-Bretagne,48.04202434,-1.696123991,,,,
1437,1437,Villebois-Mareuil,Rennes,48.1010717,-1.649749074,,,,
1436,1436,Cimetière de l'Est,Rennes,48.10363132,-1.649759037,,,,
1435,1435,Chardonnet,Rennes,48.10569626,-1.650654103,,,,
1434,1434,Pont de Strasbourg,Rennes,48.10936607,-1.655190062,,,,
1433,1433,Durafour Strasbourg,Rennes,48.1135831,-1.656598216,,,,
1432,1432,Vitré Foulon,Rennes,48.11876913,-1.649907175,,,,
1431,1431,Vitré Péguy,Rennes,48.11949082,-1.651034228,,,,
1430,1430,Painlevé,Rennes,48.12365829,-1.659398453,,,,
1439,1439,Bourgeois,Rennes,48.09826154,-1.655167048,,,,
1438,1438,Le Dantec,Rennes,48.09922271,-1.652850366,,,,
1440,1440,Le Blosne,Rennes,48.08773094,-1.653849202,,,,
1446,1446,Argonautes,Rennes,48.09039394,-1.674911884,,,,
1445,1445,Clemenceau,Rennes,48.09317349,-1.674606128,,,,
1448,1448,Alma,Rennes,48.08135857,-1.679749324,,,,
1447,1447,Henri Fréville,Rennes,48.08731588,-1.675016295,,,,
1442,1442,Binquenais,Rennes,48.09159334,-1.66740233,,,,
1441,1441,Triangle,Rennes,48.08606218,-1.660940332,,,,
1444,1444,Combes,Rennes,48.09355955,-1.669648197,,,,
