POT1,BLO1,TRI1,ITA1,HFR1,GCL1,JCA1,GAR1,CDG1,REP1,STA1,ANF1,PON1,VU1,JFK1,JFK2,VU2,PON2,ANF2,STA2,REP2,CDG2,GAR2,JCA2,GCL2,HFR2,ITA2,TRI2,BLO2,POT2
07:27,07:28,07:29,07:30,07:31,07:32,07:33,07:35,07:36,07:37,07:38,07:39,07:40,07:42,07:44,07:26,07:27,07:28,07:29,07:30,07:32,07:33,07:34,07:35,07:37,07:38,07:39,07:40,07:41,07:43
07:31,07:32,07:33,07:34,07:36,07:37,07:38,07:39,07:40,07:42,07:43,07:44,07:45,07:47,07:48,07:30,07:31,07:32,07:33,07:35,07:36,07:37,07:39,07:40,07:41,07:42,07:43,07:45,07:46,07:48
07:36,07:37,07:38,07:39,07:40,07:41,07:42,07:44,07:45,07:46,07:47,07:48,07:49,07:51,07:53,07:35,07:36,07:37,07:38,07:39,07:41,07:42,07:43,07:44,07:46,07:47,07:48,07:49,07:50,07:52
07:40,07:41,07:42,07:43,07:45,07:46,07:47,07:48,07:49,07:51,07:52,07:53,07:54,07:56,07:57,07:39,07:40,07:41,07:42,07:44,07:45,07:46,07:48,07:49,07:50,07:51,07:52,07:54,07:55,07:57
07:45,07:46,07:47,07:48,07:49,07:50,07:51,07:53,07:54,07:55,07:56,07:57,07:58,08:00,08:02,07:44,07:45,07:46,07:47,07:49,07:50,07:51,07:52,07:53,07:55,07:56,07:57,07:58,07:59,08:01
07:49,07:50,07:51,07:52,07:54,07:55,07:56,07:57,07:58,08:00,08:01,08:02,08:03,08:05,08:06,07:48,07:49,07:50,07:51,07:53,07:54,07:56,07:57,07:58,07:59,08:00,08:01,08:03,08:04,08:06
07:54,07:55,07:56,07:57,07:58,07:59,08:00,08:02,08:03,08:04,08:05,08:06,08:07,08:09,08:11,07:53,07:54,07:55,07:56,07:58,07:59,08:00,08:01,08:02,08:04,08:05,08:06,08:07,08:08,08:10
07:58,07:59,08:00,08:01,08:03,08:04,08:05,08:06,08:07,08:09,08:10,08:11,08:12,08:14,08:15,07:57,07:58,07:59,08:00,08:02,08:03,08:05,08:06,08:07,08:08,08:09,08:10,08:12,08:13,08:15
08:02,08:03,08:04,08:05,08:07,08:08,08:09,08:10,08:11,08:13,08:14,08:15,08:16,08:18,08:19,08:01,08:02,08:03,08:04,08:06,08:07,08:09,08:10,08:11,08:12,08:13,08:14,08:16,08:17,08:19
08:06,08:07,08:08,08:09,08:11,08:12,08:13,08:14,08:15,08:17,08:18,08:19,08:20,08:22,08:23,08:05,08:06,08:07,08:08,08:10,08:11,08:13,08:14,08:15,08:16,08:17,08:18,08:20,08:21,08:23
08:10,08:11,08:12,08:13,08:15,08:16,08:17,08:18,08:19,08:21,08:22,08:23,08:24,08:26,08:27,08:09,08:10,08:11,08:12,08:14,08:15,08:17,08:18,08:19,08:20,08:21,08:22,08:24,08:25,08:27
